Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
24938,ALCO2,2,CARLOS AV /W,2000,Alhambra,Alnus rubra,RED ALDER,BDM
9881,CULE,2,LINDA VISTA AV /W,101,Alhambra,x Cupressocyparis leylandii,LEYLAND CYPRESS,CEL
3,LIST,3,1ST ST /N,15,Alhambra,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
5,FIMINI,2,1ST ST /N,16,Alhambra,Ficus elastica,RUBBER TREE,BEM
6,SCMO,2,1ST ST /N,16,Alhambra,Schinus molle,CALIFORNIA PEPPER,BEM
7,LITU,1,1ST ST /N,19,Alhambra,Liriodendron tulipifera,TULIP TREE,BDL
8,LIST,3,1ST ST /N,29,Alhambra,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
9,LIST,5,1ST ST /N,30,Alhambra,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
10,LIST,3,1ST ST /N,33,Alhambra,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
11,LIST,4,1ST ST /N,34,Alhambra,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
13,LIST,4,1ST ST /N,101,Alhambra,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
14,LIST,3,1ST ST /N,104,Alhambra,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
12576,CULE,3,HOLE 16,2,Alhambra,x Cupressocyparis leylandii,LEYLAND CYPRESS,CEL
16,LIST,4,1ST ST /N,108,Alhambra,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
17,LIST,4,1ST ST /N,112,Alhambra,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
18,LIST,4,1ST ST /N,113,Alhambra,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
19,LIST,4,1ST ST /N,115,Alhambra,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
20,LIST,4,1ST ST /N,117,Alhambra,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
21,LIST,3,1ST ST /N,119,Alhambra,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
22,LIST,3,1ST ST /N,121,Alhambra,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
23,LIST,4,1ST ST /N,123,Alhambra,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
24,LIST,3,1ST ST /N,134,Alhambra,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
25,LIST,4,1ST ST /N,134,Alhambra,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
12580,CULE,3,HOLE 16,2,Alhambra,x Cupressocyparis leylandii,LEYLAND CYPRESS,CEL
