Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
4875,ACME,4,NORTHSIDE PARK,2,Azusa,Acacia melanoxylon,BLACK ACACIA,BEL
4889,ACME,5,NORTHSIDE PARK,2,Azusa,Acacia melanoxylon,BLACK ACACIA,BEL
11790,ACME,5,GLADSTONE PARK,2,Azusa,Acacia melanoxylon,BLACK ACACIA,BEL
11792,ACME,5,GLADSTONE PARK,2,Azusa,Acacia melanoxylon,BLACK ACACIA,BEL
12818,ACME,4,SLAUSON PARK,2,Azusa,Acacia melanoxylon,BLACK ACACIA,BEL
12509,LAIN,2,PASADENA AV /N,539,Azusa,Acer buergerianum,TRIDENT MAPLE,BDS
5328,ACRU,3,BARBARA AV,508,Azusa,Acer negundo,BOX ELDER,BDL
11516,ACRU,3,BARBARA AV,445,Azusa,Acer negundo,BOX ELDER,BDL
12182,ACPA,2,HALTERN ST /E,932,Azusa,Acer palmatum,JAPANESE MAPLE,BDS
167,ACOB,2,BARBARA AV,226,Azusa,Acer paxii,ACER PAXII,BEM
168,ACSA1,2,BARBARA AV,226,Azusa,Acer saccharinum,SILVER MAPLE,BDL
187,ACSA1,2,SUNSET AV /N,624,Azusa,Acer saccharinum,SILVER MAPLE,BDL
2093,ACSA1,5,SOLDANO AV /N,1027,Azusa,Acer saccharinum,SILVER MAPLE,BDL
2094,ACSA1,5,SOLDANO AV /N,1027,Azusa,Acer saccharinum,SILVER MAPLE,BDL
2124,ACSA1,4,SOLDANO AV /N,930,Azusa,Acer saccharinum,SILVER MAPLE,BDL
3064,ACSA1,4,THIRTEENTH ST /E,220,Azusa,Acer saccharinum,SILVER MAPLE,BDL
3392,ACSA1,4,TENTH ST /E,563,Azusa,Acer saccharinum,SILVER MAPLE,BDL
3393,ACSA1,4,TENTH ST /E,563,Azusa,Acer saccharinum,SILVER MAPLE,BDL
3394,ACSA1,4,TENTH ST /E,563,Azusa,Acer saccharinum,SILVER MAPLE,BDL
3395,ACSA1,4,TENTH ST /E,563,Azusa,Acer saccharinum,SILVER MAPLE,BDL
4806,ACSA1,6,NORTHSIDE PARK,2,Azusa,Acer saccharinum,SILVER MAPLE,BDL
4833,ACSA1,5,NORTHSIDE PARK,2,Azusa,Acer saccharinum,SILVER MAPLE,BDL
4894,ACSA1,3,NORTHSIDE PARK,2,Azusa,Acer saccharinum,SILVER MAPLE,BDL
5852,ACSA1,6,LOUISE AV /N,602,Azusa,Acer saccharinum,SILVER MAPLE,BDL
7355,ACSA1,2,LOUISE AV /S,102,Azusa,Acer saccharinum,SILVER MAPLE,BDL
9100,ACSA1,5,VICEROY AV /N,233,Azusa,Acer saccharinum,SILVER MAPLE,BDL
9103,ACSA1,5,VICEROY AV /N,233,Azusa,Acer saccharinum,SILVER MAPLE,BDL
9375,ACSA1,6,GLENLYN DR,751,Azusa,Acer saccharinum,SILVER MAPLE,BDL
10615,ACSA1,6,NEARFIELD ST,956,Azusa,Acer saccharinum,SILVER MAPLE,BDL
10620,ACSA1,6,NEARFIELD ST,932,Azusa,Acer saccharinum,SILVER MAPLE,BDL
10621,ACSA1,5,NEARFIELD ST,926,Azusa,Acer saccharinum,SILVER MAPLE,BDL
10622,ACSA1,5,NEARFIELD ST,922,Azusa,Acer saccharinum,SILVER MAPLE,BDL
10653,ACSA1,2,FONDALE ST,1011,Azusa,Acer saccharinum,SILVER MAPLE,BDL
10756,ACSA1,4,FAIRVALE AV /S,335,Azusa,Acer saccharinum,SILVER MAPLE,BDL
6868,AECA2,1,SAN GABRIEL CANYON RD,2,Azusa,Aesculus californica,CALIFORNIA BUCKEYE,BDS
6869,AECA2,1,SAN GABRIEL CANYON RD,2,Azusa,Aesculus californica,CALIFORNIA BUCKEYE,BDS
