Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
416523,TACH3,1,ROCK SPRINGS DR,2501,Chino Hills,Tabebuia impetiginosa,PINK TRUMPET TREE,BES
416524,TACH3,1,ROCK SPRINGS DR,2501,Chino Hills,Tabebuia impetiginosa,PINK TRUMPET TREE,BES
416525,TACH3,1,ROCK SPRINGS DR,2501,Chino Hills,Tabebuia impetiginosa,PINK TRUMPET TREE,BES
416526,PRCE,1,ROCK SPRINGS DR,2501,Chino Hills,Prunus cerasifera,PURPLE-LEAF PLUM,BDS
416527,PRCE,1,ROCK SPRINGS DR,2501,Chino Hills,Prunus cerasifera,PURPLE-LEAF PLUM,BDS
416528,PRCE,2,ROCK SPRINGS DR,2501,Chino Hills,Prunus cerasifera,PURPLE-LEAF PLUM,BDS
416529,CECA,1,ROCK SPRINGS DR,2501,Chino Hills,Cercis canadensis,EASTERN REDBUD,BDS
416530,PRCE,2,ROCK SPRINGS DR,2501,Chino Hills,Prunus cerasifera,PURPLE-LEAF PLUM,BDS
416531,CECA,1,ROCK SPRINGS DR,2501,Chino Hills,Cercis canadensis,EASTERN REDBUD,BDS
416532,PRCE,2,ROCK SPRINGS DR,2501,Chino Hills,Prunus cerasifera,PURPLE-LEAF PLUM,BDS
416533,PRCE,2,ROCK SPRINGS DR,2501,Chino Hills,Prunus cerasifera,PURPLE-LEAF PLUM,BDS
416534,TACH3,1,ROCK SPRINGS DR,2501,Chino Hills,Tabebuia impetiginosa,PINK TRUMPET TREE,BES
416535,TACH3,1,ROCK SPRINGS DR,2501,Chino Hills,Tabebuia impetiginosa,PINK TRUMPET TREE,BES
416536,TACH3,1,ROCK SPRINGS DR,2501,Chino Hills,Tabebuia impetiginosa,PINK TRUMPET TREE,BES
416537,CECA,1,ROCK SPRINGS DR,2501,Chino Hills,Cercis canadensis,EASTERN REDBUD,BDS
416538,CECA,1,ROCK SPRINGS DR,2501,Chino Hills,Cercis canadensis,EASTERN REDBUD,BDS
416539,CECA,1,ROCK SPRINGS DR,2501,Chino Hills,Cercis canadensis,EASTERN REDBUD,BDS
416540,CECA,1,ROCK SPRINGS DR,2501,Chino Hills,Cercis canadensis,EASTERN REDBUD,BDS
416542,CECA,1,ROCK SPRINGS DR,2501,Chino Hills,Cercis canadensis,EASTERN REDBUD,BDS
416543,TACH3,1,ROCK SPRINGS DR,2501,Chino Hills,Tabebuia impetiginosa,PINK TRUMPET TREE,BES
416544,PRCE,1,ROCK SPRINGS DR,2501,Chino Hills,Prunus cerasifera,PURPLE-LEAF PLUM,BDS
416545,CECA,1,ROCK SPRINGS DR,2501,Chino Hills,Cercis canadensis,EASTERN REDBUD,BDS
416546,CECA,1,ROCK SPRINGS DR,2501,Chino Hills,Cercis canadensis,EASTERN REDBUD,BDS
416547,PRCE,2,ROCK SPRINGS DR,2501,Chino Hills,Prunus cerasifera,PURPLE-LEAF PLUM,BDS
416548,CECA,1,ROCK SPRINGS DR,2501,Chino Hills,Cercis canadensis,EASTERN REDBUD,BDS
416549,PRCE,2,ROCK SPRINGS DR,2501,Chino Hills,Prunus cerasifera,PURPLE-LEAF PLUM,BDS
416550,CECA,1,ROCK SPRINGS DR,2501,Chino Hills,Cercis canadensis,EASTERN REDBUD,BDS
416551,TACH3,1,ROCK SPRINGS DR,2501,Chino Hills,Tabebuia impetiginosa,PINK TRUMPET TREE,BES
416552,PRCE,2,ROCK SPRINGS DR,2501,Chino Hills,Prunus cerasifera,PURPLE-LEAF PLUM,BDS
416553,TACH3,1,ROCK SPRINGS DR,2501,Chino Hills,Tabebuia impetiginosa,PINK TRUMPET TREE,BES
416554,CECA,1,ROCK SPRINGS DR,2501,Chino Hills,Cercis canadensis,EASTERN REDBUD,BDS
416555,CECA,1,ROCK SPRINGS DR,2501,Chino Hills,Cercis canadensis,EASTERN REDBUD,BDS
416556,TACH3,1,ROCK SPRINGS DR,2501,Chino Hills,Tabebuia impetiginosa,PINK TRUMPET TREE,BES
416557,TACH3,1,ROCK SPRINGS DR,2501,Chino Hills,Tabebuia impetiginosa,PINK TRUMPET TREE,BES
416558,CECA,1,ROCK SPRINGS DR,2501,Chino Hills,Cercis canadensis,EASTERN REDBUD,BDS
416559,TACH3,1,ROCK SPRINGS DR,2501,Chino Hills,Tabebuia impetiginosa,PINK TRUMPET TREE,BES
416590,CECA,1,GRAND AV,2200,Chino Hills,Cercis canadensis 'Forest Pansy',FOREST PANSY REDBUD,BDS
416591,BRPO,2,GRAND AV,2200,Chino Hills,Brachychiton populneus,BOTTLE TREE,BEM
416793,PICA,5,BAYBERRY DR,3519,Chino Hills,Pinus canariensis,CANARY ISLAND PINE,CEL
416912,CESI3,2,PEYTON DR,15900,Chino Hills,Ceratonia siliqua,CAROB,BEM
416914,CESI3,2,PEYTON DR,15900,Chino Hills,Ceratonia siliqua,CAROB,BEM
416915,CESI3,2,PEYTON DR,15900,Chino Hills,Ceratonia siliqua,CAROB,BEM
416916,CESI3,2,PEYTON DR,15900,Chino Hills,Ceratonia siliqua,CAROB,BEM
416917,CESI3,2,PEYTON DR,15900,Chino Hills,Ceratonia siliqua,CAROB,BEM
416918,CESI3,2,PEYTON DR,15900,Chino Hills,Ceratonia siliqua,CAROB,BEM
416920,CESI3,2,PEYTON DR,15900,Chino Hills,Ceratonia siliqua,CAROB,BEM
692384,LIST,2,VALLE VISTA DR,3589,Chino Hills,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
692571,BRPO,2,GRAND AV,2600,Chino Hills,Brachychiton populneus,BOTTLE TREE,BEM
692572,TRCO,2,GRAND AV,2600,Chino Hills,Tristaniopsis conferta,BRISBANE BOX,BEM
692573,TRCO,2,GRAND AV,2600,Chino Hills,Tristaniopsis conferta,BRISBANE BOX,BEM
692575,BRPO,2,GRAND AV,2600,Chino Hills,Brachychiton populneus,BOTTLE TREE,BEM
692576,TRCO,2,GRAND AV,2600,Chino Hills,Tristaniopsis conferta,BRISBANE BOX,BEM
692577,TRCO,2,GRAND AV,2600,Chino Hills,Tristaniopsis conferta,BRISBANE BOX,BEM
692578,TRCO,2,GRAND AV,2600,Chino Hills,Tristaniopsis conferta,BRISBANE BOX,BEM
692579,TRCO,2,GRAND AV,2600,Chino Hills,Tristaniopsis conferta,BRISBANE BOX,BEM
692580,TRCO,2,GRAND AV,2600,Chino Hills,Tristaniopsis conferta,BRISBANE BOX,BEM
692582,BRPO,2,GRAND AV,2600,Chino Hills,Brachychiton populneus,BOTTLE TREE,BEM
692583,BRPO,2,GRAND AV,2600,Chino Hills,Brachychiton populneus,BOTTLE TREE,BEM
692584,BRPO,2,GRAND AV,2600,Chino Hills,Brachychiton populneus,BOTTLE TREE,BEM
692585,BRPO,2,GRAND AV,2600,Chino Hills,Brachychiton populneus,BOTTLE TREE,BEM
692586,BRPO,2,GRAND AV,2600,Chino Hills,Brachychiton populneus,BOTTLE TREE,BEM
692588,CECA,1,GRAND AV,2600,Chino Hills,Cercis canadensis,EASTERN REDBUD,BDS
692589,BRPO,2,GRAND AV,2600,Chino Hills,Brachychiton populneus,BOTTLE TREE,BEM
692590,BRPO,2,GRAND AV,2600,Chino Hills,Brachychiton populneus,BOTTLE TREE,BEM
