Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,PLRA,4,SAN FERNANDO CT,2402,Claremont,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
2,GIBI,4,SAN FERNANDO CT,2402,Claremont,Ginkgo biloba,MAIDENHAIR TREE,BDL
3,SCTE,2,SAN FERNANDO CT,2402,Claremont,Schinus terebinthifolius,BRAZILIAN PEPPER,BES
4,BRAR,3,SAN FERNANDO CT,2401,Claremont,Brahea armata,MEXICAN BLUE PALM,PES
5,BRAR,4,SAN FERNANDO CT,2401,Claremont,Brahea armata,MEXICAN BLUE PALM,PES
6,QUAG,2,HIGGINBOTHAM PARK,2,Claremont,Quercus agrifolia,COAST LIVE OAK,BEL
7,QUAG,3,HIGGINBOTHAM PARK,2,Claremont,Quercus agrifolia,COAST LIVE OAK,BEL
8,SCMO,5,HIGGINBOTHAM PARK,2,Claremont,Schinus molle,CALIFORNIA PEPPER,BEM
9,QULO,2,HIGGINBOTHAM PARK,2,Claremont,Quercus lobata,VALLEY OAK,BDL
10,QUVI,2,HIGGINBOTHAM PARK,2,Claremont,Quercus virginiana,SOUTHERN LIVE OAK,BEL
11,SCTE,3,HIGGINBOTHAM PARK,2,Claremont,Schinus terebinthifolius,BRAZILIAN PEPPER,BES
12,CEDE,1,HIGGINBOTHAM PARK,2,Claremont,Cedrus deodara,DEODAR CEDAR,CEL
13,SCMO,4,HIGGINBOTHAM PARK,2,Claremont,Schinus molle,CALIFORNIA PEPPER,BEM
14,SCMO,4,HIGGINBOTHAM PARK,2,Claremont,Schinus molle,CALIFORNIA PEPPER,BEM
15,SCMO,3,HIGGINBOTHAM PARK,2,Claremont,Schinus molle,CALIFORNIA PEPPER,BEM
16,SCMO,2,HIGGINBOTHAM PARK,2,Claremont,Schinus molle,CALIFORNIA PEPPER,BEM
17,QUVI,1,HIGGINBOTHAM PARK,2,Claremont,Quercus virginiana,SOUTHERN LIVE OAK,BEL
18,QULO,2,HIGGINBOTHAM PARK,2,Claremont,Quercus lobata,VALLEY OAK,BDL
19,EUSI,2,HIGGINBOTHAM PARK,2,Claremont,Eucalyptus sideroxylon,RED IRONBARK,BEL
20,QUVI,2,HIGGINBOTHAM PARK,2,Claremont,Quercus virginiana,SOUTHERN LIVE OAK,BEL
21,QUVI,2,HIGGINBOTHAM PARK,2,Claremont,Quercus virginiana,SOUTHERN LIVE OAK,BEL
22,SCMO,4,HIGGINBOTHAM PARK,2,Claremont,Schinus molle,CALIFORNIA PEPPER,BEM
