Id.x,SpCode,DBH,StreetName,StreetNumber,City
1,MAGR,1,FIRE STATION 6,2,El Cajon
2,MAGR,2,FIRE STATION 6,2,El Cajon
3,TRCO,1,FIRE STATION 6,2,El Cajon
4,TRCO,1,FIRE STATION 6,2,El Cajon
5,TRCO,1,FIRE STATION 6,2,El Cajon
10,MAGR,2,FIRE STATION 6,2,El Cajon
11,LAIN,2,FIRE STATION 6,2,El Cajon
12,LAIN,2,FIRE STATION 6,2,El Cajon
13,LAIN,2,FIRE STATION 6,2,El Cajon
14,LAIN,2,FIRE STATION 6,2,El Cajon
15,LAIN,2,FIRE STATION 6,2,El Cajon
16,LAIN,2,FIRE STATION 6,2,El Cajon
17,LAIN,2,FIRE STATION 6,2,El Cajon
18,LAIN,2,FIRE STATION 6,2,El Cajon
19,MAGR,2,FIRE STATION 6,2,El Cajon
20,MAGR,2,FIRE STATION 6,2,El Cajon
21,MAGR,2,FIRE STATION 6,2,El Cajon
22,MAGR,2,FIRE STATION 6,2,El Cajon
23,MAGR,2,FIRE STATION 6,2,El Cajon
24,MAGR,2,FIRE STATION 6,2,El Cajon
25,ACPA,2,FIRE STATION 6,2,El Cajon
26,ACPA,2,FIRE STATION 6,2,El Cajon
27,ACPA,2,FIRE STATION 6,2,El Cajon
28,MAGR,2,FIRE STATION 6,2,El Cajon
29,LIST,3,FIRE STATION 9,2,El Cajon
30,LIST,3,FIRE STATION 9,2,El Cajon
31,LIST,4,FIRE STATION 9,2,El Cajon
32,PICA,4,FIRE STATION 9,2,El Cajon
36,JUCH,2,FIRE STATION 9,2,El Cajon
37,CACI,2,FIRE STATION 9,2,El Cajon
38,CAVI,2,FIRE STATION 9,2,El Cajon
43,CAVI,2,FIRE STATION 9,2,El Cajon
44,CAVI,2,FIRE STATION 9,2,El Cajon
45,CAVI,2,FIRE STATION 9,2,El Cajon
46,CAVI,2,FIRE STATION 9,2,El Cajon
47,CACI,1,FIRE STATION 9,2,El Cajon
48,CACI,1,FIRE STATION 9,2,El Cajon
49,CACI,1,FIRE STATION 9,2,El Cajon
50,CACI,1,FIRE STATION 9,2,El Cajon
51,CACI,1,FIRE STATION 9,2,El Cajon
52,CACI,1,FIRE STATION 9,2,El Cajon
53,CACI,1,FIRE STATION 9,2,El Cajon
54,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
55,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
56,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
57,TRCO,2,ALBERT VAN ZANTEN PARK,2,El Cajon
58,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
59,LAIN,3,ALBERT VAN ZANTEN PARK,2,El Cajon
60,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
61,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
62,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
63,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
65,EUNI,4,ALBERT VAN ZANTEN PARK,2,El Cajon
66,LAIN,1,ALBERT VAN ZANTEN PARK,2,El Cajon
67,LAIN,1,ALBERT VAN ZANTEN PARK,2,El Cajon
68,LAIN,1,ALBERT VAN ZANTEN PARK,2,El Cajon
69,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
70,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
72,LAIN,1,ALBERT VAN ZANTEN PARK,2,El Cajon
73,LAIN,1,ALBERT VAN ZANTEN PARK,2,El Cajon
74,LAIN,3,ALBERT VAN ZANTEN PARK,2,El Cajon
75,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
76,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
77,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
78,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
79,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
80,EUNI,4,ALBERT VAN ZANTEN PARK,2,El Cajon
81,LAIN,1,ALBERT VAN ZANTEN PARK,2,El Cajon
82,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
83,LAIN,1,ALBERT VAN ZANTEN PARK,2,El Cajon
84,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
85,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
87,EUNI,3,ALBERT VAN ZANTEN PARK,2,El Cajon
88,TRCO,1,ALBERT VAN ZANTEN PARK,2,El Cajon
89,LAIN,1,ALBERT VAN ZANTEN PARK,2,El Cajon
90,TRCO,1,ALBERT VAN ZANTEN PARK,2,El Cajon
92,TRCO,1,ALBERT VAN ZANTEN PARK,2,El Cajon
94,LAIN,1,ALBERT VAN ZANTEN PARK,2,El Cajon
95,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
98,EUNI,2,ALBERT VAN ZANTEN PARK,2,El Cajon
99,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
100,LAIN,2,ALBERT VAN ZANTEN PARK,2,El Cajon
