Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,PICH,3,WOODCROFT AV /E,320,Glendora,Pistacia chinensis,CHINESE PISTACHE,BDM
2,PIRA,5,WOODCROFT AV /E,350,Glendora,Pinus species,PINE,CEL
3,TRCO,3,WINDSOR PL,1628,Glendora,Tristaniopsis conferta,BRISBANE BOX,BEM
4,FRVE,3,WINDSOR PL,1627,Glendora,Fraxinus velutina,ARIZONA ASH,BDM
5,ULPA,3,AVON PL,1616,Glendora,Ulmus parvifolia,CHINESE ELM,BDM
6,ULPA,3,AVON PL,1621,Glendora,Ulmus parvifolia,CHINESE ELM,BDM
7,PLRA,4,WINDSOR PL,1633,Glendora,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
12,PLRA,3,AVON PL,1634,Glendora,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
13,PLRA,3,AVON PL,1634,Glendora,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
14,PLRA,3,BONNIE COVE AV,163,Glendora,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
15,PLRA,4,BONNIE COVE AV,163,Glendora,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
16,PLRA,4,PLYMOUTH ST,450,Glendora,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
17,PLRA,3,PLYMOUTH ST,444,Glendora,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
18,PLRA,1,PLYMOUTH ST,436,Glendora,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
19,PLRA,3,PLYMOUTH ST,430,Glendora,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
20,PLRA,4,PLYMOUTH ST,416,Glendora,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
21,PLRA,3,PLYMOUTH ST,408,Glendora,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
22,PLRA,3,PLYMOUTH ST,402,Glendora,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
23,LAIN,1,HAMPTON ST,840,Glendora,Lagerstroemia indica,CRAPE MYRTLE,BDS
24,LAIN,1,HAMPTON ST,840,Glendora,Lagerstroemia indica,CRAPE MYRTLE,BDS
25,PLRA,3,HAMPTON ST,840,Glendora,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
26,LAIN,1,HAMPTON ST,840,Glendora,Lagerstroemia indica,CRAPE MYRTLE,BDS
27,PLRA,3,HAMPTON ST,840,Glendora,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
28,LAIN,1,HAMPTON ST,840,Glendora,Lagerstroemia indica,CRAPE MYRTLE,BDS
29,LAIN,1,HAMPTON ST,840,Glendora,Lagerstroemia indica,CRAPE MYRTLE,BDS
30,PLRA,3,HAMPTON ST,840,Glendora,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
31,PLRA,3,HAMPTON ST,840,Glendora,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
40,FIMA2,3,SUNFLOWER AV,1644,Glendora,Ficus microcarpa nitida,INDIAN LAUREL FIG,BEL
43,CUAN,3,SUNFLOWER AV,1728,Glendora,Cupaniopsis anacardioides,CARROTWOOD,BEM
44,CUAN,3,SUNFLOWER AV,1732,Glendora,Cupaniopsis anacardioides,CARROTWOOD,BEM
45,FRVE,3,BONNIE COVE AV,1633,Glendora,Fraxinus velutina,ARIZONA ASH,BDM
46,FRVE,3,BONNIE COVE AV,1633,Glendora,Fraxinus velutina,ARIZONA ASH,BDM
47,PICH,3,BONNIE COVE AV,1627,Glendora,Pistacia chinensis,CHINESE PISTACHE,BDM
49,CUAN,3,BONNIE COVE AV,1636,Glendora,Cupaniopsis anacardioides,CARROTWOOD,BEM
55,LAIN,1,ARROW HWY /E,505,Glendora,Lagerstroemia indica,CRAPE MYRTLE,BDS
56,LAIN,1,ARROW HWY /E,505,Glendora,Lagerstroemia indica,CRAPE MYRTLE,BDS
58,LAIN,1,NEWBURGH ST /E,236,Glendora,Lagerstroemia indica,CRAPE MYRTLE,BDS
59,LAIN,1,NEWBURGH ST /E,237,Glendora,Lagerstroemia indica,CRAPE MYRTLE,BDS
60,BAVA,3,LAXFORD ST /E,201,Glendora,Bauhinia variegata,PURPLE ORCHID TREE,BEM
61,BAVA,3,LAXFORD ST /E,202,Glendora,Bauhinia variegata,PURPLE ORCHID TREE,BEM
62,LAIN,2,LAXFORD ST /E,214,Glendora,Lagerstroemia indica,CRAPE MYRTLE,BDS
63,LAIN,1,LAXFORD ST /E,222,Glendora,Lagerstroemia indica,CRAPE MYRTLE,BDS
64,LAIN,1,LAXFORD ST /E,222,Glendora,Lagerstroemia indica,CRAPE MYRTLE,BDS
65,BAVA,3,LAXFORD ST /E,222,Glendora,Bauhinia variegata,PURPLE ORCHID TREE,BEM
66,QUAG,1,LAXFORD ST /E,222,Glendora,Quercus agrifolia,COAST LIVE OAK,BEL
67,FRUH,3,LAXFORD ST /E,222,Glendora,Fraxinus uhdei,SHAMEL ASH,BDL
68,PEL OTHER,3,LAXFORD ST /E,233,Glendora,Syagrus romanzoffiana,QUEEN PALM,PEL
70,LIST,3,LAXFORD ST /E,225,Glendora,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
74,LITU,3,LAXFORD ST /E,138,Glendora,Liriodendron tulipifera,TULIP TREE,BDL
77,CUAN,3,LAXFORD ST /E,156,Glendora,Cupaniopsis anacardioides,CARROTWOOD,BEM
78,ARHE,3,RIMHURST AV,1701,Glendora,Araucaria heterophylla,NORFOLK ISLAND PINE,CEL
79,ARHE,3,RIMHURST AV,1701,Glendora,Araucaria heterophylla,NORFOLK ISLAND PINE,CEL
80,ARHE,3,RIMHURST AV,1701,Glendora,Araucaria heterophylla,NORFOLK ISLAND PINE,CEL
81,PIHA,4,RIMHURST AV,1714,Glendora,Pinus halepensis,ALEPPO PINE,CEL
82,PEL OTHER,3,LAXFORD ST /E,201,Glendora,Syagrus romanzoffiana,QUEEN PALM,PEL
83,PEL OTHER,3,LAXFORD ST /E,201,Glendora,Syagrus romanzoffiana,QUEEN PALM,PEL
84,PEL OTHER,3,LAXFORD ST /E,201,Glendora,Syagrus romanzoffiana,QUEEN PALM,PEL
85,PEL OTHER,3,LAXFORD ST /E,201,Glendora,Syagrus romanzoffiana,QUEEN PALM,PEL
86,CACI,3,NEWBURGH ST /E,201,Glendora,Callistemon citrinus,LEMON BOTTLEBRUSH,BES
