Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,LAIN,2,FOOTHILL BL,449,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
2,LAIN,1,FOOTHILL BL,449,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
3,LAIN,1,FOOTHILL BL,449,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
4,PRSE2,2,FOOTHILL BL,402,La Canada Flintridge,Prunus serrulata 'Kwanzan',KWANZAN CHERRY,BDL
5,LIST,1,FOOTHILL BL,402,La Canada Flintridge,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
6,GIBI,2,FOOTHILL BL,402,La Canada Flintridge,Ginkgo biloba,MAIDENHAIR TREE,BDL
7,GIBI,2,FOOTHILL BL,402,La Canada Flintridge,Ginkgo biloba,MAIDENHAIR TREE,BDL
8,GIBI,2,FOOTHILL BL,402,La Canada Flintridge,Ginkgo biloba,MAIDENHAIR TREE,BDL
9,GIBI,2,FOOTHILL BL,402,La Canada Flintridge,Ginkgo biloba,MAIDENHAIR TREE,BDL
10,GIBI,1,FOOTHILL BL,402,La Canada Flintridge,Ginkgo biloba,MAIDENHAIR TREE,BDL
11,GIBI,1,FOOTHILL BL,402,La Canada Flintridge,Ginkgo biloba,MAIDENHAIR TREE,BDL
12,LIST,3,FOOTHILL BL,402,La Canada Flintridge,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
13,LIST,2,FOOTHILL BL,402,La Canada Flintridge,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
14,LIST,3,FOOTHILL BL,402,La Canada Flintridge,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
15,LIST,3,FOOTHILL BL,402,La Canada Flintridge,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
16,LIST,3,FOOTHILL BL,402,La Canada Flintridge,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
17,LIST,3,FOOTHILL BL,402,La Canada Flintridge,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
18,LIST,2,FOOTHILL BL,420,La Canada Flintridge,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
19,LIST,1,FOOTHILL BL,420,La Canada Flintridge,Liquidambar styraciflua,AMERICAN SWEETGUM,BDS
20,LAIN,2,FOOTHILL BL,430,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
21,LAIN,1,FOOTHILL BL,430,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
22,LAIN,1,FOOTHILL BL,440,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
23,LAIN,2,FOOTHILL BL,440,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
24,LAIN,2,FOOTHILL BL,444,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
25,LAIN,2,FOOTHILL BL,444,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
26,LAIN,2,FOOTHILL BL,456,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
27,LAIN,2,FOOTHILL BL,456,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
28,LAIN,1,FOOTHILL BL,466,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
29,LAIN,2,FOOTHILL BL,466,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDL
30,LIST,1,FOOTHILL BL,462,La Canada Flintridge,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
31,LIST,1,FOOTHILL BL,462,La Canada Flintridge,Liquidambar styraciflua,AMERICAN SWEETGUM,BDS
32,LAIN,1,FOOTHILL BL,510,La Canada Flintridge,Lagerstroemia x 'Muskogee',MUSKOGEE CRAPE MYRTLE,BDS
33,LAIN,2,FOOTHILL BL,510,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
34,LAIN,1,FOOTHILL BL,510,La Canada Flintridge,Lagerstroemia x 'Muskogee',MUSKOGEE CRAPE MYRTLE,BDS
35,LAIN,2,FOOTHILL BL,510,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
36,PRSE2,2,FOOTHILL BL,520,La Canada Flintridge,Prunus serrulata 'Kwanzan',KWANZAN CHERRY,BDS
37,PRSE2,1,FOOTHILL BL,520,La Canada Flintridge,Prunus serrulata 'Kwanzan',KWANZAN CHERRY,BDS
38,PRSE2,2,FOOTHILL BL,520,La Canada Flintridge,Prunus serrulata 'Kwanzan',KWANZAN CHERRY,BDL
39,LIST,3,FOOTHILL BL,520,La Canada Flintridge,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
40,LIST,3,FOOTHILL BL,520,La Canada Flintridge,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
41,LIST,3,FOOTHILL BL,520,La Canada Flintridge,Liquidambar styraciflua,AMERICAN SWEETGUM,BDS
42,LAIN,1,FOOTHILL BL,475,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
43,LAIN,1,FOOTHILL BL,459,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
44,LAIN,2,FOOTHILL BL,459,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
45,LAIN,1,FOOTHILL BL,459,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
46,LAIN,1,FOOTHILL BL,459,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
47,LAIN,1,FOOTHILL BL,449,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
48,LAIN,1,FOOTHILL BL,449,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
49,LAIN,1,FOOTHILL BL,555,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
50,LAIN,2,FOOTHILL BL,555,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
51,LAIN,1,FOOTHILL BL,555,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
52,LAIN,1,FOOTHILL BL,607,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
53,LAIN,2,FOOTHILL BL,607,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
54,LAIN,1,FOOTHILL BL,623,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
55,LAIN,1,FOOTHILL BL,623,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDL
56,PLAC,1,FOOTHILL BL,663,La Canada Flintridge,Platanus acerifolia,LONDON PLANE,BDS
57,LAIN,1,FOOTHILL BL,712,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
58,LAIN,1,FOOTHILL BL,714,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
59,LAIN,1,FOOTHILL BL,714,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDL
60,LIST,2,FOOTHILL BL,730,La Canada Flintridge,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
61,LIST,2,FOOTHILL BL,730,La Canada Flintridge,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
62,LIST,2,FOOTHILL BL,730,La Canada Flintridge,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
63,LIST,2,FOOTHILL BL,730,La Canada Flintridge,Liquidambar styraciflua,AMERICAN SWEETGUM,BDS
64,LAIN,1,FOOTHILL BL,734,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
65,LAIN,2,FOOTHILL BL,734,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
66,LAIN,1,FOOTHILL BL,742,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
67,LAIN,1,FOOTHILL BL,742,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
68,LAIN,1,FOOTHILL BL,744,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
69,LAIN,1,FOOTHILL BL,806,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
70,LAIN,2,FOOTHILL BL,806,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
71,LAIN,1,FOOTHILL BL,814,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
72,LAIN,1,FOOTHILL BL,822,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDS
73,LAIN,2,FOOTHILL BL,822,La Canada Flintridge,Lagerstroemia indica,CRAPE MYRTLE,BDL
74,LIST,2,FOOTHILL BL,812,La Canada Flintridge,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
