Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,CUAN,1,POLICE STATION,2,Montclair,Cupaniopsis anacardioides,CARROTWOOD,BEM
2,CUAN,1,POLICE STATION,2,Montclair,Cupaniopsis anacardioides,CARROTWOOD,BEM
3,CUAN,1,POLICE STATION,2,Montclair,Cupaniopsis anacardioides,CARROTWOOD,BEM
4,CUAN,1,POLICE STATION,2,Montclair,Cupaniopsis anacardioides,CARROTWOOD,BEM
5,CUAN,1,POLICE STATION,2,Montclair,Cupaniopsis anacardioides,CARROTWOOD,BEM
6,CUAN,1,POLICE STATION,2,Montclair,Cupaniopsis anacardioides,CARROTWOOD,BEM
7,PLRA,1,POLICE STATION,2,Montclair,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
8,PIHA,1,POLICE STATION,2,Montclair,Pinus halepensis,ALEPPO PINE,CEL
9,PIHA,1,POLICE STATION,2,Montclair,Pinus halepensis,ALEPPO PINE,CEL
10,PIHA,1,POLICE STATION,2,Montclair,Pinus halepensis,ALEPPO PINE,CEL
11,PLAC,1,POLICE STATION,2,Montclair,Platanus acerifolia,LONDON PLANE,BDL
12,PIHA,1,POLICE STATION,2,Montclair,Pinus halepensis,ALEPPO PINE,CEL
13,PIHA,1,POLICE STATION,2,Montclair,Pinus halepensis,ALEPPO PINE,CEL
14,PIHA,1,POLICE STATION,2,Montclair,Pinus halepensis,ALEPPO PINE,CEL
15,PLRA,1,POLICE STATION,2,Montclair,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
16,PIHA,1,POLICE STATION,2,Montclair,Pinus halepensis,ALEPPO PINE,CEL
17,PIHA,1,POLICE STATION,2,Montclair,Pinus halepensis,ALEPPO PINE,CEL
18,PIHA,1,POLICE STATION,2,Montclair,Pinus halepensis,ALEPPO PINE,CEL
19,PIHA,1,POLICE STATION,2,Montclair,Pinus halepensis,ALEPPO PINE,CEL
20,PLRA,1,POLICE STATION,2,Montclair,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
21,PIHA,1,POLICE STATION,2,Montclair,Pinus halepensis,ALEPPO PINE,CEL
22,PIHA,1,POLICE STATION,2,Montclair,Pinus halepensis,ALEPPO PINE,CEL
23,PLRA,2,POLICE STATION,2,Montclair,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
24,PIHA,1,POLICE STATION,2,Montclair,Pinus halepensis,ALEPPO PINE,CEL
25,PIHA,1,POLICE STATION,2,Montclair,Pinus halepensis,ALEPPO PINE,CEL
26,PLRA,2,POLICE STATION,2,Montclair,Platanus racemosa,CALIFORNIA SYCAMORE,BDL
27,PIHA,1,POLICE STATION,2,Montclair,Pinus halepensis,ALEPPO PINE,CEL
28,ULPA,1,POLICE STATION,2,Montclair,Ulmus parvifolia,CHINESE ELM,BDM
29,CUAN,1,POLICE STATION,2,Montclair,Cupaniopsis anacardioides,CARROTWOOD,BEM
