Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,SCMO,2,VALLEY VIEW AV,3911,Norco,Tamarix aphylla,ATHEL TREE,BEM
2,SCMO,6,VALLEY VIEW AV,3911,Norco,Tamarix aphylla,ATHEL TREE,BEM
3,SCMO,5,VALLEY VIEW AV,3911,Norco,Tamarix aphylla,ATHEL TREE,BEM
4,SCMO,6,VALLEY VIEW AV,3911,Norco,Tamarix aphylla,ATHEL TREE,BEM
5,SCMO,6,VALLEY VIEW AV,3911,Norco,Tamarix aphylla,ATHEL TREE,BEM
6,SCMO,4,VALLEY VIEW AV,3911,Norco,Tamarix aphylla,ATHEL TREE,BEM
7,SCMO,6,VALLEY VIEW AV,3911,Norco,Tamarix aphylla,ATHEL TREE,BEM
8,SCMO,5,VALLEY VIEW AV,3911,Norco,Tamarix aphylla,ATHEL TREE,BEM
9,SCMO,5,VALLEY VIEW AV,3911,Norco,Tamarix aphylla,ATHEL TREE,BEM
10,SCMO,6,VALLEY VIEW AV,3911,Norco,Tamarix aphylla,ATHEL TREE,BEM
11,SCMO,6,VALLEY VIEW AV,3911,Norco,Tamarix aphylla,ATHEL TREE,BEM
12,SCMO,6,VALLEY VIEW AV,3911,Norco,Tamarix aphylla,ATHEL TREE,BEM
13,SCMO,6,VALLEY VIEW AV,3911,Norco,Tamarix aphylla,ATHEL TREE,BEM
14,ROPS,3,VALLEY VIEW AV,3999,Norco,Robinia pseudoacacia,BLACK LOCUST,BDL
15,SCMO,2,VALLEY VIEW AV,3999,Norco,Tamarix aphylla,ATHEL TREE,BEM
16,SCMO,4,VALLEY VIEW AV,3999,Norco,Tamarix aphylla,ATHEL TREE,BEM
17,SCMO,6,VALLEY VIEW AV,4021,Norco,Tamarix aphylla,ATHEL TREE,BEM
18,SCMO,6,VALLEY VIEW AV,4021,Norco,Tamarix aphylla,ATHEL TREE,BEM
19,SCMO,6,VALLEY VIEW AV,4111,Norco,Tamarix aphylla,ATHEL TREE,BEM
20,SCMO,6,VALLEY VIEW AV,4111,Norco,Tamarix aphylla,ATHEL TREE,BEM
21,SCMO,6,VALLEY VIEW AV,4111,Norco,Tamarix aphylla,ATHEL TREE,BEM
22,EUPO,6,VALLEY VIEW AV,4157,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
23,EUPO,6,VALLEY VIEW AV,4157,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
25,EUPO,4,VALLEY VIEW AV,4157,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
26,EUPO,3,VALLEY VIEW AV,4157,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
29,EUPO,6,VALLEY VIEW AV,4191,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
30,EUPO,4,VALLEY VIEW AV,4211,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
32,EUPO,6,VALLEY VIEW AV,4211,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
33,EUPO,5,VALLEY VIEW AV,4211,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
36,EUPO,4,VALLEY VIEW AV,4211,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
37,EUPO,4,VALLEY VIEW AV,4211,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
38,EUPO,3,VALLEY VIEW AV,4211,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
39,EUPO,3,VALLEY VIEW AV,4211,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
40,EUPO,6,VALLEY VIEW AV,4231,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
41,EUPO,5,VALLEY VIEW AV,4231,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
43,EURU,4,VALLEY VIEW AV,4283,Norco,Eucalyptus rudis,DESERT GUM,BEL
44,EUPO,6,VALLEY VIEW AV,4315,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
45,EUPO,4,VALLEY VIEW AV,4315,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
46,EUPO,5,VALLEY VIEW AV,4315,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
47,EUPO,5,VALLEY VIEW AV,4315,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
48,EUPO,6,VALLEY VIEW AV,4315,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
49,EUPO,6,VALLEY VIEW AV,4315,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
50,EUPO,6,VALLEY VIEW AV,4329,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
51,EUPO,6,VALLEY VIEW AV,4329,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
52,EUPO,6,VALLEY VIEW AV,4329,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
53,EUCA1,6,VALLEY VIEW AV,4353,Norco,Eucalyptus camaldulensis,RED GUM,BEL
54,EUCA1,4,7TH ST,1286,Norco,Eucalyptus camaldulensis,RED GUM,BEL
55,MEAZ,4,VALLEY VIEW AV,4412,Norco,Melia azedarach,CHINABERRY,BDM
56,FRUH,4,VALLEY VIEW AV,4412,Norco,Fraxinus uhdei,SHAMEL ASH,BDL
57,EUCA1,4,VALLEY VIEW AV,4364,Norco,Eucalyptus camaldulensis,RED GUM,BEL
58,EUPO,4,VALLEY VIEW AV,4254,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
59,CECA,2,DETROIT ST,1307,Norco,Cercis occidentalis,WESTERN REDBUD,BDS
60,EUPO,5,DETROIT ST,1307,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
61,ULPU,6,VALLEY VIEW AV,4120,Norco,Ulmus pumila,SIBERIAN ELM,BDL
62,SCMO,4,VALLEY VIEW AV,4060,Norco,Schinus molle,CALIFORNIA PEPPER,BEM
63,SCMO,6,VALLEY VIEW AV,4060,Norco,Schinus molle,CALIFORNIA PEPPER,BEM
64,SCMO,2,VALLEY VIEW AV,3976,Norco,Tamarix aphylla,ATHEL TREE,BEM
65,KOBI,2,6TH ST,1325,Norco,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
66,KOBI,2,6TH ST,1325,Norco,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
67,KOBI,2,6TH ST,1325,Norco,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
68,KOBI,2,6TH ST,1325,Norco,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
69,EUPO,6,6TH ST,1501,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
70,EUPO,4,6TH ST,1511,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
71,EUPO,5,SIERRA AV,4000,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
72,EUPO,4,SIERRA AV,4010,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
73,EUPO,4,SIERRA AV,4020,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
74,EUPO,4,SIERRA AV,4020,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
75,WARO,3,SIERRA AV,4040,Norco,Washingtonia robusta,MEXICAN FAN PALM,PES
76,EUPO,5,SIERRA AV,4060,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
77,EUPO,4,SIERRA AV,4100,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
78,SCMO,6,SIERRA AV,4117,Norco,Tamarix aphylla,ATHEL TREE,BEM
79,EURU,2,SIERRA AV,4117,Norco,Eucalyptus rudis,DESERT GUM,BEL
80,SCMO,6,SIERRA AV,4117,Norco,Tamarix aphylla,ATHEL TREE,BEM
81,AIAL,2,SIERRA AV,4043,Norco,Ailanthus altissima,TREE OF HEAVEN,BDM
82,SCMO,6,SIERRA AV,4043,Norco,Tamarix aphylla,ATHEL TREE,BEM
83,EUPO,4,SIERRA AV,4294,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
84,JURE,4,SIERRA AV,4294,Norco,Juglans nigra,BLACK WALNUT,BDL
85,EUPO,4,SIERRA AV,4294,Norco,Eucalyptus polyanthemos,SILVER DOLLAR GUM,BEM
86,MEAZ,6,SIERRA AV,4280,Norco,Melia azedarach,CHINABERRY,BDM
87,JUCH,3,SIERRA AV,4271,Norco,Juniperus chinensis 'Torulosa',HOLLYWOOD JUNIPER,CES
88,JUCH,2,SIERRA AV,4271,Norco,Juniperus chinensis 'Torulosa',HOLLYWOOD JUNIPER,CES
89,LILU,2,SIERRA AV,4275,Norco,Ligustrum lucidum,GLOSSY PRIVET,BEM
90,LILU,2,SIERRA AV,4275,Norco,Ligustrum lucidum,GLOSSY PRIVET,BEM
91,LILU,2,SIERRA AV,4275,Norco,Ligustrum lucidum,GLOSSY PRIVET,BEM
92,ULPA,4,SIERRA AV,4275,Norco,Ulmus parvifolia,CHINESE ELM,BDM
93,LILU,2,SIERRA AV,4275,Norco,Ligustrum lucidum,GLOSSY PRIVET,BEM
