Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,CHHU,4,WESTMONT PARK,2,Pomona,Chamaerops humilis,MEDITERRANEAN FAN PALM,PES
2,SCTE,4,WESTMONT PARK,2,Pomona,Schinus terebinthifolius,BRAZILIAN PEPPER,BES
3,SCTE,4,WESTMONT PARK,2,Pomona,Schinus terebinthifolius,BRAZILIAN PEPPER,BES
4,SCTE,5,WESTMONT PARK,2,Pomona,Schinus terebinthifolius,BRAZILIAN PEPPER,BES
5,SCTE,6,WESTMONT PARK,2,Pomona,Schinus terebinthifolius,BRAZILIAN PEPPER,BES
6,SCTE,6,WESTMONT PARK,2,Pomona,Schinus terebinthifolius,BRAZILIAN PEPPER,BES
7,BDM OTHER,1,WESTMONT PARK,2,Pomona,UNKNOWN,OTHER TREE,BDM OTHER
8,ILAL,3,WESTMONT PARK,2,Pomona,Ilex aquifolium,ENGLISH HOLLY,BES
9,BDM OTHER,1,WESTMONT PARK,2,Pomona,UNKNOWN,OTHER TREE,BDM OTHER
10,BDM OTHER,1,WESTMONT PARK,2,Pomona,UNKNOWN,OTHER TREE,BDM OTHER
11,BDM OTHER,1,WESTMONT PARK,2,Pomona,UNKNOWN,OTHER TREE,BDM OTHER
12,CHHU,2,WESTMONT PARK,2,Pomona,Chamaerops humilis,MEDITERRANEAN FAN PALM,PES
13,CHHU,2,WESTMONT PARK,2,Pomona,Chamaerops humilis,MEDITERRANEAN FAN PALM,PES
14,BDM OTHER,1,WESTMONT PARK,2,Pomona,UNKNOWN,OTHER TREE,BDM OTHER
15,BDM OTHER,1,WESTMONT PARK,2,Pomona,UNKNOWN,OTHER TREE,BDM OTHER
16,ALRH,3,WESTMONT PARK,2,Pomona,Alnus rhombifolia,WHITE ALDER,BDL
17,ULPA,4,WESTMONT PARK,2,Pomona,Ulmus parvifolia,CHINESE ELM,BDM
18,ULPA,4,WESTMONT PARK,2,Pomona,Ulmus parvifolia,CHINESE ELM,BDM
19,JURE,6,WESTMONT PARK,2,Pomona,Juglans species,WALNUT,BDL
20,PICA,5,WESTMONT PARK,2,Pomona,Pinus canariensis,CANARY ISLAND PINE,CEL
21,ZESE,3,WESTMONT PARK,2,Pomona,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
22,ZESE,3,WESTMONT PARK,2,Pomona,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
23,ULPA,3,WESTMONT PARK,2,Pomona,Ulmus parvifolia,CHINESE ELM,BDM
24,ALJU,3,WESTMONT PARK,2,Pomona,Albizia julibrissin,SILK TREE,BDS
25,PICA,5,WESTMONT PARK,2,Pomona,Pinus canariensis,CANARY ISLAND PINE,CEL
26,KOBI,2,WESTMONT PARK,2,Pomona,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
27,KOBI,2,WESTMONT PARK,2,Pomona,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
28,JAMI,3,WESTMONT PARK,2,Pomona,Jacaranda mimosifolia,JACARANDA,BDM
29,ULPA,5,WESTMONT PARK,2,Pomona,Ulmus parvifolia,CHINESE ELM,BDM
30,JAMI,2,WESTMONT PARK,2,Pomona,Jacaranda mimosifolia,JACARANDA,BDM
31,OLEU,3,WESTMONT PARK,2,Pomona,Olea europaea,OLIVE,BEM
32,JAMI,3,WESTMONT PARK,2,Pomona,Jacaranda mimosifolia,JACARANDA,BDM
33,FRUH,6,WESTMONT PARK,2,Pomona,Fraxinus uhdei,SHAMEL ASH,BDL
34,FRUH,6,WESTMONT PARK,2,Pomona,Fraxinus uhdei,SHAMEL ASH,BDL
35,JAMI,5,WESTMONT PARK,2,Pomona,Jacaranda mimosifolia,JACARANDA,BDM
36,JURE,3,WESTMONT PARK,2,Pomona,Juglans species,WALNUT,BDL
37,PIHA,4,WESTMONT PARK,2,Pomona,Pinus halepensis,ALEPPO PINE,CEL
38,PICA,3,WESTMONT PARK,2,Pomona,Pinus canariensis,CANARY ISLAND PINE,CEL
39,PIHA,6,WESTMONT PARK,2,Pomona,Pinus halepensis,ALEPPO PINE,CEL
40,QUSU,2,WESTMONT PARK,2,Pomona,Quercus suber,CORK OAK,BEL
41,QUSU,3,WESTMONT PARK,2,Pomona,Quercus suber,CORK OAK,BEL
42,JAMI,2,WESTMONT PARK,2,Pomona,Jacaranda mimosifolia,JACARANDA,BDM
43,GLTR,4,WESTMONT PARK,2,Pomona,Gleditsia triacanthos,HONEY LOCUST,BDL
44,JAMI,3,WESTMONT PARK,2,Pomona,Jacaranda mimosifolia,JACARANDA,BDM
45,JAMI,3,WESTMONT PARK,2,Pomona,Jacaranda mimosifolia,JACARANDA,BDM
46,PLAC,1,WESTMONT PARK,2,Pomona,Platanus acerifolia,LONDON PLANE,BDL
47,ULPA,3,WESTMONT PARK,2,Pomona,Ulmus parvifolia,CHINESE ELM,BDM
48,QUSU,3,WESTMONT PARK,2,Pomona,Quercus suber,CORK OAK,BEL
49,PIHA,6,WESTMONT PARK,2,Pomona,Pinus halepensis,ALEPPO PINE,CEL
50,PIHA,3,WESTMONT PARK,2,Pomona,Pinus halepensis,ALEPPO PINE,CEL
51,PICA,4,WESTMONT PARK,2,Pomona,Pinus canariensis,CANARY ISLAND PINE,CEL
52,PICA,3,WESTMONT PARK,2,Pomona,Pinus canariensis,CANARY ISLAND PINE,CEL
53,PICA,5,WESTMONT PARK,2,Pomona,Pinus canariensis,CANARY ISLAND PINE,CEL
54,GLTR,3,WESTMONT PARK,2,Pomona,Gleditsia triacanthos,HONEY LOCUST,BDL
55,GLTR,3,WESTMONT PARK,2,Pomona,Gleditsia triacanthos,HONEY LOCUST,BDL
56,GLTR,3,WESTMONT PARK,2,Pomona,Gleditsia triacanthos,HONEY LOCUST,BDL
57,GLTR,3,WESTMONT PARK,2,Pomona,Gleditsia triacanthos,HONEY LOCUST,BDL
58,PHCA,4,COUNTRY CROSSING PARK,2,Pomona,Phoenix canariensis,CANARY ISLAND DATE PALM,PEL
59,QUSU,5,COUNTRY CROSSING PARK,2,Pomona,Quercus suber,CORK OAK,BEL
60,PHCA,5,COUNTRY CROSSING PARK,2,Pomona,Phoenix canariensis,CANARY ISLAND DATE PALM,PEL
61,LAIN,2,COUNTRY CROSSING PARK,2,Pomona,Lagerstroemia indica,CRAPE MYRTLE,BDS
62,LAIN,2,COUNTRY CROSSING PARK,2,Pomona,Lagerstroemia indica,CRAPE MYRTLE,BDS
63,LAIN,2,COUNTRY CROSSING PARK,2,Pomona,Lagerstroemia indica,CRAPE MYRTLE,BDS
64,LAIN,2,COUNTRY CROSSING PARK,2,Pomona,Lagerstroemia indica,CRAPE MYRTLE,BDS
65,LAIN,2,COUNTRY CROSSING PARK,2,Pomona,Lagerstroemia indica,CRAPE MYRTLE,BDS
66,PHCA,4,COUNTRY CROSSING PARK,2,Pomona,Phoenix canariensis,CANARY ISLAND DATE PALM,PEL
67,WAFI,4,COUNTRY CROSSING PARK,2,Pomona,Washingtonia filifera,CALIFORNIA FAN PALM,PES
68,QUAG,3,COUNTRY CROSSING PARK,2,Pomona,Quercus agrifolia,COAST LIVE OAK,BEL
69,LILU,5,COUNTRY CROSSING PARK,2,Pomona,Ligustrum lucidum,GLOSSY PRIVET,BEM
70,MATI,3,COUNTRY CROSSING PARK,2,Pomona,Tipuana tipu,TIPU,BDM
71,CESI3,6,COUNTRY CROSSING PARK,2,Pomona,Ceratonia siliqua,CAROB,BEM
