Id.x,SpCode,DBH,StreetName,StreetNumber,City
13040,ACBA2,2,LA PAZ SUMMIT,2,Poway
13008,ACBA2,1,LA PAZ SUMMIT,2,Poway
13038,ACBA2,2,LA PAZ SUMMIT,2,Poway
2028,ACBA2,1,SCRIPPS POWAY PKWY,13051,Poway
13009,ACBA2,1,LA PAZ SUMMIT,2,Poway
2026,ACBA2,2,SCRIPPS POWAY PKWY,13051,Poway
13035,ACBA2,2,LA PAZ SUMMIT,2,Poway
13032,ACBA2,3,LA PAZ SUMMIT,2,Poway
13051,ACBA2,2,LA PAZ SUMMIT,2,Poway
13015,ACBA2,2,LA PAZ SUMMIT,2,Poway
13021,ACBA2,2,LA PAZ SUMMIT,2,Poway
12994,ACBA2,2,LA PAZ SUMMIT,2,Poway
13016,ACBA2,1,LA PAZ SUMMIT,2,Poway
12913,ACBA2,2,LA PAZ SUMMIT,2,Poway
13012,ACBA2,2,LA PAZ SUMMIT,2,Poway
13049,ACBA2,2,LA PAZ SUMMIT,2,Poway
12915,ACBA2,2,LA PAZ SUMMIT,2,Poway
13007,ACBA2,1,LA PAZ SUMMIT,2,Poway
13020,ACBA2,1,LA PAZ SUMMIT,2,Poway
13050,ACBA2,2,LA PAZ SUMMIT,2,Poway
12914,ACBA2,1,LA PAZ SUMMIT,2,Poway
13006,ACBA2,2,LA PAZ SUMMIT,2,Poway
13047,ACBA2,2,LA PAZ SUMMIT,2,Poway
13048,ACBA2,1,LA PAZ SUMMIT,2,Poway
12995,ACBA2,2,LA PAZ SUMMIT,2,Poway
13013,ACBA2,1,LA PAZ SUMMIT,2,Poway
13014,ACBA2,1,LA PAZ SUMMIT,2,Poway
5607,ACLO,3,TWIN PEAKS RD,13300,Poway
2831,ACLO,2,COMMUNITY RD,12301,Poway
7532,ACLO,1,MEADOWBROOK SOCCER FIELD,2,Poway
5644,ACLO,2,TWIN PEAKS RD,13500,Poway
26,ACLO,1,CELESTIAL RESERVOIR,2,Poway
5599,ACLO,1,TWIN PEAKS RD,13300,Poway
5600,ACLO,2,TWIN PEAKS RD,13300,Poway
5415,ACLO,2,LAKE POWAY RD,14401,Poway
8825,ACLO,2,SILVERSET PARK,2,Poway
5645,ACLO,2,TWIN PEAKS RD,13500,Poway
5555,ACLO,2,TWIN PEAKS RD,13300,Poway
15538,ACLO,2,TWIN PEAKS RD,12900,Poway
6780,ACLO,1,SPORTSPLEX,2,Poway
6781,ACLO,2,SPORTSPLEX,2,Poway
5601,ACLO,1,TWIN PEAKS RD,13300,Poway
5511,ACLO,2,LAKE POWAY RD,14401,Poway
10000,ACLO,2,ESPOLA RD,16801,Poway
9999,ACLO,2,ESPOLA RD,16801,Poway
8830,ACLO,2,SILVERSET PARK,2,Poway
5646,ACLO,2,TWIN PEAKS RD,13500,Poway
14051,ACLO,2,TED WILLIAMS PKWY,12401,Poway
7368,ACSA1,1,COMMUNITY PARK,2,Poway
7372,ACSA1,2,COMMUNITY PARK,2,Poway
8240,ACSA1,1,LAKE POWAY RECREATION AREA,2,Poway
7220,ACSA1,2,COMMUNITY PARK,2,Poway
7373,ACSA1,1,COMMUNITY PARK,2,Poway
7104,ACSA1,1,COMMUNITY PARK,2,Poway
7361,ACSA1,2,COMMUNITY PARK,2,Poway
8239,ACSA1,1,LAKE POWAY RECREATION AREA,2,Poway
15081,AECA2,2,TWIN PEAKS RD,12600,Poway
11165,AGFL,1,FIRE STATION 3,2,Poway
2543,AGFL,2,COMMUNITY RD,12301,Poway
11166,AGFL,1,FIRE STATION 3,2,Poway
11188,AGFL,1,FIRE STATION 3,2,Poway
14255,AIAL,1,POMERADO RD,14700,Poway
8620,ALRH,3,LAKE POWAY RECREATION AREA,2,Poway
10384,ALRH,2,DEL PONIENTE RD,13801,Poway
10379,ALRH,2,DEL PONIENTE RD,13801,Poway
11080,ALRH,2,FIRE STATION 1,2,Poway
9562,ALRH,2,ESPOLA RD,16059,Poway
8619,ALRH,3,LAKE POWAY RECREATION AREA,2,Poway
10368,ALRH,2,DEL PONIENTE RD,13801,Poway
11245,ALRH,2,TED WILLIAMS PKWY,12400,Poway
10407,ALRH,1,DEL PONIENTE RD,13801,Poway
7662,ALRH,2,HILLEARY PARK,2,Poway
10414,ALRH,2,DEL PONIENTE RD,13801,Poway
9537,ALRH,1,ESPOLA RD,16059,Poway
9078,ALRH,1,ESPOLA RD,15561,Poway
7209,ALRH,2,COMMUNITY PARK,2,Poway
10392,ALRH,2,DEL PONIENTE RD,13801,Poway
7654,ALRH,2,HILLEARY PARK,2,Poway
7428,ALRH,2,STARRIDGE NEIGHBORHOOD PARK,2,Poway
7348,ALRH,2,COMMUNITY PARK,2,Poway
10369,ALRH,2,DEL PONIENTE RD,13801,Poway
10427,ALRH,2,DEL PONIENTE RD,13801,Poway
10386,ALRH,2,DEL PONIENTE RD,13801,Poway
8063,ALRH,1,LAKE POWAY RECREATION AREA,2,Poway
7335,ALRH,3,COMMUNITY PARK,2,Poway
11081,ALRH,2,FIRE STATION 1,2,Poway
11079,ALRH,2,FIRE STATION 1,2,Poway
9572,ALRH,4,ESPOLA RD,16059,Poway
10372,ALRH,2,DEL PONIENTE RD,13801,Poway
10406,ALRH,3,DEL PONIENTE RD,13801,Poway
10365,ALRH,2,DEL PONIENTE RD,13801,Poway
7298,ALRH,2,COMMUNITY PARK,2,Poway
7332,ALRH,2,COMMUNITY PARK,2,Poway
7360,ALRH,2,COMMUNITY PARK,2,Poway
7659,ALRH,2,HILLEARY PARK,2,Poway
7657,ALRH,2,HILLEARY PARK,2,Poway
8061,ALRH,2,LAKE POWAY RECREATION AREA,2,Poway
10395,ALRH,3,DEL PONIENTE RD,13801,Poway
10442,ALRH,2,DEL PONIENTE RD,13801,Poway
9670,ALRH,2,ESPOLA RD,16061,Poway
10380,ALRH,2,DEL PONIENTE RD,13801,Poway
7595,ALRH,3,HILLEARY PARK,2,Poway
7143,ALRH,3,COMMUNITY SWIM CENTER,2,Poway
7663,ALRH,3,HILLEARY PARK,2,Poway
7658,ALRH,3,HILLEARY PARK,2,Poway
9565,ALRH,3,ESPOLA RD,16059,Poway
7331,ALRH,3,COMMUNITY PARK,2,Poway
7141,ALRH,3,COMMUNITY SWIM CENTER,2,Poway
7211,ALRH,2,COMMUNITY PARK,2,Poway
9536,ALRH,2,ESPOLA RD,16059,Poway
10438,ALRH,2,DEL PONIENTE RD,13801,Poway
11793,ALRH,2,CAMINO DEL NORTE,14200,Poway
9699,ALRH,3,ESPOLA RD,16101,Poway
9471,ALRH,2,ESPOLA RD,16001,Poway
10364,ALRH,2,DEL PONIENTE RD,13801,Poway
10375,ALRH,2,DEL PONIENTE RD,13801,Poway
7448,ALRH,2,STARRIDGE NEIGHBORHOOD PARK,2,Poway
9671,ALRH,2,ESPOLA RD,16061,Poway
10387,ALRH,2,DEL PONIENTE RD,13801,Poway
10436,ALRH,2,DEL PONIENTE RD,13801,Poway
10445,ALRH,3,DEL PONIENTE RD,13801,Poway
9609,ALRH,2,ESPOLA RD,16059,Poway
10401,ALRH,2,DEL PONIENTE RD,13801,Poway
10371,ALRH,2,DEL PONIENTE RD,13801,Poway
10405,ALRH,3,DEL PONIENTE RD,13801,Poway
9696,ALRH,2,ESPOLA RD,16061,Poway
10394,ALRH,2,DEL PONIENTE RD,13801,Poway
10383,ALRH,3,DEL PONIENTE RD,13801,Poway
10374,ALRH,2,DEL PONIENTE RD,13801,Poway
7439,ALRH,2,STARRIDGE NEIGHBORHOOD PARK,2,Poway
10396,ALRH,2,DEL PONIENTE RD,13801,Poway
11248,ALRH,2,TED WILLIAMS PKWY,12400,Poway
10378,ALRH,3,DEL PONIENTE RD,13801,Poway
10938,ALRH,2,POWAY RD,14200,Poway
7431,ALRH,2,STARRIDGE NEIGHBORHOOD PARK,2,Poway
7661,ALRH,2,HILLEARY PARK,2,Poway
10404,ALRH,2,DEL PONIENTE RD,13801,Poway
10412,ALRH,2,DEL PONIENTE RD,13801,Poway
7093,ALRH,3,COMMUNITY PARK,2,Poway
9676,ALRH,2,ESPOLA RD,16061,Poway
7140,ALRH,3,COMMUNITY SWIM CENTER,2,Poway
7092,ALRH,4,COMMUNITY PARK,2,Poway
10367,ALRH,2,DEL PONIENTE RD,13801,Poway
10376,ALRH,2,DEL PONIENTE RD,13801,Poway
