Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,FIMINI,3,BANYON ST /W,1238,Rialto,Ficus benjamina,WEEPING FIG,BEM
2,CICA,3,BANYON ST /W,1238,Rialto,Cinnamomum camphora,CAMPHOR TREE,BEM
3,PRCE,3,BANYON ST /W,1238,Rialto,Prunus cerasifera,PURPLE-LEAF PLUM,BDS
4,PRCE,3,BANYON ST /W,1238,Rialto,Prunus cerasifera,PURPLE-LEAF PLUM,BDS
5,CICA,3,CHURCH AV /N,2475,Rialto,Cinnamomum camphora,CAMPHOR TREE,BEM
6,CICA,3,CHURCH AV /N,2475,Rialto,Cinnamomum camphora,CAMPHOR TREE,BEM
7,CICA,3,CHURCH AV /N,2485,Rialto,Cinnamomum camphora,CAMPHOR TREE,BEM
8,CICA,3,CHURCH AV /N,2485,Rialto,Cinnamomum camphora,CAMPHOR TREE,BEM
9,TRFO,3,CHURCH AV /N,2495,Rialto,Trachycarpus fortunei,WINDMILL PALM,PES
10,TRFO,3,CHURCH AV /N,2495,Rialto,Trachycarpus fortunei,WINDMILL PALM,PES
11,TRCO,3,CHURCH AV /N,2513,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
12,TRCO,3,CHURCH AV /N,2523,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
13,TRCO,3,CHURCH AV /N,2523,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
14,TRCO,3,CHURCH AV /N,2533,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
15,TRCO,3,CHURCH AV /N,2533,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
16,TRCO,3,EVERGREEN ST /W,1225,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
17,EUMA23,3,EVERGREEN ST /W,1225,Rialto,Eucalyptus maculata,SPOTTED GUM,BEL
18,EURU,3,EVERGREEN ST /W,1225,Rialto,Eucalyptus rudis,DESERT GUM,BEL
19,TRCO,3,EVERGREEN ST /W,1225,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
20,TRCO,3,EVERGREEN ST /W,1225,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
21,TRCO,3,CHURCH AV /N,2563,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
23,TRCO,3,CHURCH AV /N,2583,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
24,TRCO,3,CHURCH AV /N,2583,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
27,TRCO,3,CHURCH AV /N,2598,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
28,TRCO,3,CHURCH AV /N,2588,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
30,TRCO,3,CHURCH AV /N,2568,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
32,LIST,3,CHURCH AV /N,2548,Rialto,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
33,LIST,3,CHURCH AV /N,2548,Rialto,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
34,TRCO,3,CHURCH AV /N,2528,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
35,TRCO,3,CHURCH AV /N,2528,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
36,PEL OTHER,3,CHURCH AV /N,2518,Rialto,Syagrus romanzoffiana,QUEEN PALM,PEL
38,TRCO,3,CHURCH AV /N,2508,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
39,TRCO,3,CHURCH AV /N,2496,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
41,LAIN,3,QUINCE AV /N,2485,Rialto,Lagerstroemia indica,CRAPE MYRTLE,BDS
42,BRPO,3,QUINCE AV /N,2490,Rialto,Brachychiton populneus,BOTTLE TREE,BEM
43,TRCO,3,QUINCE AV /N,2490,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
44,LAIN,3,QUINCE AV /N,2512,Rialto,Lagerstroemia indica,CRAPE MYRTLE,BDS
45,TRCO,3,QUINCE AV /N,2512,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
46,TRCO,3,QUINCE AV /N,2512,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
47,CUAN,3,QUINCE AV /N,2503,Rialto,Cupaniopsis anacardioides,CARROTWOOD,BEM
48,JAMI,3,QUINCE AV /N,2511,Rialto,Jacaranda mimosifolia,JACARANDA,BDM
49,JAMI,3,QUINCE AV /N,2511,Rialto,Jacaranda mimosifolia,JACARANDA,BDM
50,CUAN,3,QUINCE AV /N,2521,Rialto,Cupaniopsis anacardioides,CARROTWOOD,BEM
51,CUAN,3,QUINCE AV /N,2521,Rialto,Cupaniopsis anacardioides,CARROTWOOD,BEM
52,CUAN,3,QUINCE AV /N,2529,Rialto,Cupaniopsis anacardioides,CARROTWOOD,BEM
53,CUAN,3,QUINCE AV /N,2529,Rialto,Cupaniopsis anacardioides,CARROTWOOD,BEM
54,CUAN,3,QUINCE AV /N,2539,Rialto,Cupaniopsis anacardioides,CARROTWOOD,BEM
55,CUAN,3,QUINCE AV /N,2549,Rialto,Cupaniopsis anacardioides,CARROTWOOD,BEM
56,CUAN,3,QUINCE AV /N,2549,Rialto,Cupaniopsis anacardioides,CARROTWOOD,BEM
59,TRCO,2,QUINCE AV /N,2569,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
60,TRCO,3,QUINCE AV /N,2569,Rialto,Tristaniopsis conferta,BRISBANE BOX,BEM
61,MOAL,3,QUINCE AV /N,2569,Rialto,Morus alba,WHITE MULBERRY,BDM
62,LIST,3,QUINCE AV /N,2579,Rialto,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
