Id.x,SpCode,DBH,StreetName,StreetNumber,City
7727,ACBA2,2,LONE HILL AV /N,401,San Dimas
7728,ACBA2,2,LONE HILL AV /N,401,San Dimas
7726,ACBA2,2,LONE HILL AV /N,401,San Dimas
7723,ACBA2,2,LONE HILL AV /N,401,San Dimas
7730,ACBA2,2,LONE HILL AV /N,401,San Dimas
7724,ACBA2,2,LONE HILL AV /N,401,San Dimas
7729,ACBA2,2,LONE HILL AV /N,401,San Dimas
7725,ACBA2,2,LONE HILL AV /N,401,San Dimas
7722,ACLO,3,LONE HILL AV /N,401,San Dimas
7721,ACLO,2,LONE HILL AV /N,401,San Dimas
8305,ACME,4,3RD ST /W,444,San Dimas
6440,ACPA,2,LONE HILL PARK,2,San Dimas
346,ACPA,1,HALLOCK AV,622,San Dimas
2039,ACPA,2,FERNRIDGE DR,1902,San Dimas
8114,ACSA1,4,4TH ST /W,329,San Dimas
1562,ACSA1,3,BASELINE RD /E,508,San Dimas
2486,ACSA1,5,CHARFORD ST,2648,San Dimas
9119,ACSA1,4,NUBIA ST,132,San Dimas
2492,ACSA1,3,CHARFORD ST,2639,San Dimas
2462,ACSA1,3,CHARFORD ST,2403,San Dimas
8113,ACSA1,4,4TH ST /W,329,San Dimas
2298,ACSA1,3,VALEVIEW AV,1311,San Dimas
2489,ACSA1,4,CHARFORD ST,2639,San Dimas
2596,ACSA1,1,ALFORD ST,115,San Dimas
2490,ACSA1,3,CHARFORD ST,2639,San Dimas
6800,AECA2,1,HORSETHIEF CANYON PARK,2,San Dimas
2485,AGFL,1,CHARFORD ST,2648,San Dimas
550,AGFL,1,PAYSON ST,524,San Dimas
2496,AGFL,1,CHARFORD ST,2623,San Dimas
2478,AGFL,1,CHARFORD ST,2570,San Dimas
2474,AGFL,1,CHARFORD ST,2542,San Dimas
2447,AGFL,1,CHARFORD ST,2517,San Dimas
3130,AGFL,1,NUGGET CT,343,San Dimas
2446,AGFL,1,CHARFORD ST,2517,San Dimas
2470,AGFL,1,CHARFORD ST,2514,San Dimas
2451,AGFL,1,CHARFORD ST,2437,San Dimas
2468,AGFL,1,CHARFORD ST,2502,San Dimas
2487,AGFL,1,CHARFORD ST,2645,San Dimas
2526,AGFL,1,CHARFORD ST,2541,San Dimas
2499,AGFL,1,CHARFORD ST,2605,San Dimas
2469,AGFL,1,CHARFORD ST,2508,San Dimas
2488,AGFL,1,CHARFORD ST,2645,San Dimas
2480,AGFL,1,CHARFORD ST,2614,San Dimas
144,AIAL,6,IGLESIA ST,225,San Dimas
9517,AIAL,3,MONTE VISTA AV /N,123,San Dimas
567,AIAL,3,PAYSON ST,633,San Dimas
7784,AIAL,5,PIONEER PARK,2,San Dimas
6380,ALJU,2,LONE HILL PARK,2,San Dimas
6092,ALJU,3,VIA VERDE PARK,2,San Dimas
8723,ALJU,3,EUCLA AV /N,317,San Dimas
8035,ALJU,3,4TH ST /W,326,San Dimas
3268,ALJU,4,ARROW HWY /W,1300,San Dimas
8993,ALJU,1,NUBIA ST,336,San Dimas
6541,ALJU,3,SENIOR CITIZEN/COMMUNITY CENTER,2,San Dimas
5995,ALJU,2,VIA VERDE PARK,2,San Dimas
9565,ALJU,3,MONTE VISTA AV /N,123,San Dimas
3262,ALJU,3,ARROW HWY /W,1300,San Dimas
6093,ALJU,3,VIA VERDE PARK,2,San Dimas
8332,ALJU,4,3RD ST /W,312,San Dimas
7760,ALJU,3,PIONEER PARK,2,San Dimas
6373,ALJU,2,LONE HILL PARK,2,San Dimas
5994,ALJU,2,VIA VERDE PARK,2,San Dimas
9272,ALJU,2,GAFFNEY AV,214,San Dimas
3266,ALJU,3,ARROW HWY /W,1300,San Dimas
7758,ALJU,3,PIONEER PARK,2,San Dimas
5996,ALJU,2,VIA VERDE PARK,2,San Dimas
7759,ALJU,3,PIONEER PARK,2,San Dimas
7673,ALJU,3,CITY YARD,2,San Dimas
182,ALRH,5,2ND ST /E,203,San Dimas
5118,ALRH,3,AVENIDA LOMA VISTA,948,San Dimas
2432,ALRH,3,SIERRA VIEW DR,1243,San Dimas
5951,ALRH,3,LADERA SERRA PARK,2,San Dimas
7654,ALRH,3,BONITA AV /E,650,San Dimas
7823,ALRH,4,MARCHANT PARK,2,San Dimas
6201,ALRH,3,SPORTSPLEX,2,San Dimas
7829,ALRH,4,MARCHANT PARK,2,San Dimas
6754,ALRH,3,LOMA VISTA PARK,2,San Dimas
7830,ALRH,4,MARCHANT PARK,2,San Dimas
2413,ALRH,4,SIERRA VIEW DR,1242,San Dimas
5047,ALRH,3,PASEO GRACIA,1443,San Dimas
7832,ALRH,5,MARCHANT PARK,2,San Dimas
5950,ALRH,3,LADERA SERRA PARK,2,San Dimas
