Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,CICA,2,LIVE OAK PARK,2,Temple City,Cinnamomum camphora,CAMPHOR TREE,BEM
2,CICA,3,LIVE OAK PARK,2,Temple City,Cinnamomum camphora,CAMPHOR TREE,BEM
3,CICA,3,LIVE OAK PARK,2,Temple City,Cinnamomum camphora,CAMPHOR TREE,BEM
4,CICA,3,LIVE OAK PARK,2,Temple City,Cinnamomum camphora,CAMPHOR TREE,BEM
5,TACH3,1,LIVE OAK PARK,2,Temple City,Tabebuia impetiginosa,PINK TRUMPET TREE,BES
6,TACH3,1,LIVE OAK PARK,2,Temple City,Tabebuia impetiginosa,PINK TRUMPET TREE,BES
7,TACH3,1,LIVE OAK PARK,2,Temple City,Tabebuia impetiginosa,PINK TRUMPET TREE,BES
8,TACH3,1,LIVE OAK PARK,2,Temple City,Tabebuia impetiginosa,PINK TRUMPET TREE,BES
9,TACH3,1,LIVE OAK PARK,2,Temple City,Tabebuia impetiginosa,PINK TRUMPET TREE,BES
10,TACH3,1,LIVE OAK PARK,2,Temple City,Tabebuia impetiginosa,PINK TRUMPET TREE,BES
11,TACH3,1,LIVE OAK PARK,2,Temple City,Tabebuia impetiginosa,PINK TRUMPET TREE,BES
12,QUIL2,3,LIVE OAK PARK,2,Temple City,Quercus ilex,HOLLY OAK,BEL
13,QUIL2,3,LIVE OAK PARK,2,Temple City,Quercus ilex,HOLLY OAK,BEL
14,ERDE,2,LIVE OAK PARK,2,Temple City,Eriobotrya deflexa,BRONZE LOQUAT,BES
15,PHRO,1,LIVE OAK PARK,2,Temple City,Phoenix roebelenii,PYGMY DATE PALM,PES
16,PHRO,1,LIVE OAK PARK,2,Temple City,Phoenix roebelenii,PYGMY DATE PALM,PES
17,PHRO,1,LIVE OAK PARK,2,Temple City,Phoenix roebelenii,PYGMY DATE PALM,PES
18,PHRO,1,LIVE OAK PARK,2,Temple City,Phoenix roebelenii,PYGMY DATE PALM,PES
19,PHRO,1,LIVE OAK PARK,2,Temple City,Phoenix roebelenii,PYGMY DATE PALM,PES
20,PHRO,1,LIVE OAK PARK,2,Temple City,Phoenix roebelenii,PYGMY DATE PALM,PES
21,LAIN,1,LIVE OAK PARK,2,Temple City,Lagerstroemia indica,CRAPE MYRTLE,BDS
22,LAIN,1,LIVE OAK PARK,2,Temple City,Lagerstroemia indica,CRAPE MYRTLE,BDS
23,LAIN,2,LIVE OAK PARK,2,Temple City,Lagerstroemia indica,CRAPE MYRTLE,BDS
25,CEDE,2,LIVE OAK PARK,2,Temple City,Cedrus deodara,DEODAR CEDAR,CEL
27,ACPA,3,LIVE OAK PARK,2,Temple City,Acer palmatum,JAPANESE MAPLE,BDS
28,ACPA,3,LIVE OAK PARK,2,Temple City,Acer palmatum,JAPANESE MAPLE,BDS
29,PYCA,2,LIVE OAK PARK,2,Temple City,Pyrus calleryana,ORNAMENTAL PEAR,BDM
30,PYCA,2,LIVE OAK PARK,2,Temple City,Pyrus calleryana,ORNAMENTAL PEAR,BDM
31,PYCA,2,LIVE OAK PARK,2,Temple City,Pyrus calleryana,ORNAMENTAL PEAR,BDM
32,PYCA,2,LIVE OAK PARK,2,Temple City,Pyrus calleryana,ORNAMENTAL PEAR,BDM
33,PYCA,2,LIVE OAK PARK,2,Temple City,Pyrus calleryana,ORNAMENTAL PEAR,BDM
34,PYCA,2,LIVE OAK PARK,2,Temple City,Pyrus calleryana,ORNAMENTAL PEAR,BDM
35,ERDE,2,LIVE OAK PARK,2,Temple City,Eriobotrya deflexa,BRONZE LOQUAT,BES
36,JUCH,2,LIVE OAK PARK,2,Temple City,Juniperus chinensis 'Torulosa',HOLLYWOOD JUNIPER,CES
37,JUCH,2,LIVE OAK PARK,2,Temple City,Juniperus chinensis 'Torulosa',HOLLYWOOD JUNIPER,CES
38,JUCH,2,LIVE OAK PARK,2,Temple City,Juniperus chinensis 'Torulosa',HOLLYWOOD JUNIPER,CES
39,JUCH,2,LIVE OAK PARK,2,Temple City,Juniperus chinensis 'Torulosa',HOLLYWOOD JUNIPER,CES
41,LAIN,2,LIVE OAK PARK,2,Temple City,Lagerstroemia indica,CRAPE MYRTLE,BDS
42,LAIN,2,LIVE OAK PARK,2,Temple City,Lagerstroemia indica,CRAPE MYRTLE,BDS
43,CICA,3,LIVE OAK PARK,2,Temple City,Cinnamomum camphora,CAMPHOR TREE,BEM
44,CEDE,4,LIVE OAK PARK,2,Temple City,Cedrus deodara,DEODAR CEDAR,CEL
