Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
2,FRUH,3,EUCLID AV /N,1403,Upland,Fraxinus uhdei,SHAMEL ASH,BDL
3,FRUH,3,EUCLID AV /N,1403,Upland,Fraxinus uhdei,SHAMEL ASH,BDL
4,FRUH,3,EUCLID AV /N,1403,Upland,Fraxinus uhdei,SHAMEL ASH,BDL
5,FRUH,3,LAUREL AV /N,1404,Upland,Fraxinus uhdei,SHAMEL ASH,BDL
6,FRUH,3,LAUREL AV /N,1404,Upland,Fraxinus uhdei,SHAMEL ASH,BDL
7,FRUH,3,LAUREL AV /N,1404,Upland,Fraxinus uhdei,SHAMEL ASH,BDL
8,FRUH,3,14TH ST /W,109,Upland,Fraxinus uhdei,SHAMEL ASH,BDL
9,FRUH,3,14TH ST /W,143,Upland,Fraxinus uhdei,SHAMEL ASH,BDL
10,FRUH,3,14TH ST /W,143,Upland,Fraxinus uhdei,SHAMEL ASH,BDL
11,FRUH,3,PALM AV /N,1403,Upland,Fraxinus uhdei,SHAMEL ASH,BDL
12,FRUH,3,PALM AV /N,1403,Upland,Fraxinus uhdei,SHAMEL ASH,BDL
13,FRUH,3,PALM AV /N,1403,Upland,Fraxinus uhdei,SHAMEL ASH,BDL
14,LIST,4,PALOMINO AV /N,1502,Upland,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
15,LIST,3,PALOMINO AV /N,1502,Upland,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
16,LIST,3,PALOMINO AV /N,1502,Upland,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
17,MEQU,3,21ST ST /W,1201,Upland,Melaleuca quinquenervia,CAJEPUT TREE,BEL
18,MEQU,3,21ST ST /W,1201,Upland,Melaleuca quinquenervia,CAJEPUT TREE,BEL
19,MEQU,3,21ST ST /W,1201,Upland,Melaleuca quinquenervia,CAJEPUT TREE,BEL
20,MEQU,3,21ST ST /W,1201,Upland,Melaleuca quinquenervia,CAJEPUT TREE,BEL
21,MEQU,3,21ST ST /W,1201,Upland,Melaleuca quinquenervia,CAJEPUT TREE,BEL
22,MEQU,3,21ST ST /W,1201,Upland,Melaleuca quinquenervia,CAJEPUT TREE,BEL
23,MEQU,3,21ST ST /W,1201,Upland,Melaleuca quinquenervia,CAJEPUT TREE,BEL
24,MEQU,3,21ST ST /W,1201,Upland,Melaleuca quinquenervia,CAJEPUT TREE,BEL
25,MEQU,3,21ST ST /W,1201,Upland,Melaleuca quinquenervia,CAJEPUT TREE,BEL
26,MEQU,3,21ST ST /W,1201,Upland,Melaleuca quinquenervia,CAJEPUT TREE,BEL
27,MEQU,3,21ST ST /W,1201,Upland,Melaleuca quinquenervia,CAJEPUT TREE,BEL
28,MEQU,3,21ST ST /W,1201,Upland,Melaleuca quinquenervia,CAJEPUT TREE,BEL
29,MEQU,3,21ST ST /W,1201,Upland,Melaleuca quinquenervia,CAJEPUT TREE,BEL
30,MEQU,3,21ST ST /W,1201,Upland,Melaleuca quinquenervia,CAJEPUT TREE,BEL
31,MEQU,3,21ST ST /W,1201,Upland,Melaleuca quinquenervia,CAJEPUT TREE,BEL
32,MEQU,3,21ST ST /W,1201,Upland,Melaleuca quinquenervia,CAJEPUT TREE,BEL
33,MEQU,3,21ST ST /W,1261,Upland,Melaleuca quinquenervia,CAJEPUT TREE,BEL
34,MEQU,3,21ST ST /W,1261,Upland,Melaleuca quinquenervia,CAJEPUT TREE,BEL
35,MEQU,4,21ST ST /W,1261,Upland,Melaleuca quinquenervia,CAJEPUT TREE,BEL
36,LITU,3,21ST ST /W,1261,Upland,Liriodendron tulipifera,TULIP TREE,BDL
38,LITU,3,21ST ST /W,1261,Upland,Liriodendron tulipifera,TULIP TREE,BDL
39,LITU,3,21ST ST /W,1261,Upland,Liriodendron tulipifera,TULIP TREE,BDL
40,LITU,3,21ST ST /W,1261,Upland,Liriodendron tulipifera,TULIP TREE,BDL
41,HYFL,3,21ST ST /W,1261,Upland,Hymenosporum flavum,SWEETSHADE,BEM
42,PRCE,1,BENSON AV /N,2075,Upland,Prunus cerasifera,PURPLE-LEAF PLUM,BDS
43,PRCE,1,BENSON AV /N,2075,Upland,Prunus cerasifera,PURPLE-LEAF PLUM,BDS
44,PRCE,1,BENSON AV /N,2075,Upland,Prunus cerasifera,PURPLE-LEAF PLUM,BDS
