Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,AC,3,CLIFFWOOD AV,356,Brentwood,Acer species,Maple,BDM
2,ACSP2,2,AVONDALE AVE,118,Brentwood,Acacia melanoxylon,Black acacia,BEL
3,ACSP2,2,AVONDALE AVE,118,Brentwood,Acacia melanoxylon,Black acacia,BEL
4,ACSP2,1,MAYFIELD AVE,11944,Brentwood,Acacia retinodes,water wattle,BES
5,ACSP2,1,AVONDALE AVE,112,Brentwood,Acacia retinodes,water wattle,BES
6,ALJU,3,KIOWA AVE,11901,Brentwood,Albizia julibrissin,Mimosa; Silk tree,BDS
7,PHDA4,2,KEIL ST,11338,Brentwood,Archontophoenix cunninghamiana,King palm,PES
8,PHDA4,2,KEIL ST,11338,Brentwood,Archontophoenix cunninghamiana,King palm,PES
9,PHDA4,3,DOROTHY ST,12228,Brentwood,Archontophoenix cunninghamiana,King palm,PES
10,PYCA_B,1,SUNSET BLVD,11690,Brentwood,Arbutus unedo,Strawberry tree,BEM
11,BEPE,2,DOROTHY ST,12314,Brentwood,Betula species,Birch,BDM
12,BRED,6,BUNDY AV,731,Brentwood,Brahea armata,Mexican blue palm,PES
13,BRED,6,BUNDY AV,730,Brentwood,Brahea armata,Mexican blue palm,PES
14,BRED,6,BUNDY AV,730,Brentwood,Brahea armata,Mexican blue palm,PES
15,BRED,3,BUNDY AV,731,Brentwood,Brahea armata,Mexican blue palm,PES
16,BRED,4,DOROTHY ST,12245,Brentwood,Brahea brandegeei,SAN JOSE HESPER PALM,PES
17,MAGR,3,26TH ST,801,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
18,MAGR,2,26TH ST,801,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
19,MAGR,2,26TH ST,811,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
20,MAGR,3,MONTANA AVE,2612,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
21,MAGR,1,MONTANA AVE,2618,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
22,MAGR,3,MONTANA AVE,2618,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
23,MAGR,3,MONTANA AVE,2622,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
24,MAGR,3,MONTANA AVE,2622,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
25,MAGR,4,MONTANA AVE,2626,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
26,MAGR,3,MONTANA AVE,2626,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
27,MAGR,3,MONTANA AVE,2632,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
28,MAGR,4,MONTANA AVE,2704,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
29,MAGR,2,MONTANA AVE,2704,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
30,MAGR,4,MONTANA AVE,2704,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
31,MAGR,3,MONTANA AVE,2704,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
32,MAGR,3,MONTANA AVE,2712,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
33,MAGR,4,MONTANA AVE,2716,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
34,MAGR,3,MONTANA AVE,2722,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
35,MAGR,3,MONTANA AVE,2722,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
36,MAGR,1,MONTANA AVE,2726,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
37,MAGR,3,MONTANA AVE,2726,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
38,MAGR,4,BURLINGAME AVE,802,Brentwood,Brachychiton populneus,Bottletree; Kurrajong,BEM
