Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
60397,BES OTHER,2,N DEWITT AVE,542,Clovis,Acacia baileyana,,BES
60399,BES OTHER,2,N DEWITT AVE,542,Clovis,Acacia baileyana,,BES
34157,ACBU,1,THIRD ST,610,Clovis,Acer buergerianum,,BDS
34159,ACBU,1,THIRD ST,610,Clovis,Acer buergerianum,,BDS
34211,ACBU,1,WOODWORTH AVE,425,Clovis,Acer buergerianum,,BDS
34213,ACBU,1,WOODWORTH AVE,425,Clovis,Acer buergerianum,,BDS
34215,ACBU,1,WOODWORTH AVE,425,Clovis,Acer buergerianum,,BDS
34235,ACBU,1,WOODWORTH AVE,425,Clovis,Acer buergerianum,,BDS
34237,ACBU,1,WOODWORTH AVE,425,Clovis,Acer buergerianum,,BDS
34239,ACBU,1,WOODWORTH AVE,425,Clovis,Acer buergerianum,,BDS
34241,ACBU,1,WOODWORTH AVE,425,Clovis,Acer buergerianum,,BDS
34243,ACBU,1,WOODWORTH AVE,425,Clovis,Acer buergerianum,,BDS
34245,ACBU,1,WOODWORTH AVE,425,Clovis,Acer buergerianum,,BDS
56551,ACBU,1,POWERS AVE,2988,Clovis,Acer buergerianum,,BDS
56553,ACBU,1,POWERS AVE,2988,Clovis,Acer buergerianum,,BDS
57129,ACBU,1,N HORNET AVE,1871,Clovis,Acer buergerianum,,BDS
58119,ACBU,1,Enterprise Trail,400,Clovis,Acer buergerianum,,BDS
63522,ACBU,1,N MINNEWAWA AVE,1801,Clovis,Acer buergerianum,,BDS
68238,ACBU,1,N HALIFAX AVE,1957,Clovis,Acer buergerianum,,BDS
32290,ACNE,3,POLLASKY AVE,947,Clovis,Acer negundo,,BDL
32303,ACNE,4,POLLASKY AVE,930,Clovis,Acer negundo,,BDL
32306,ACNE,1,POLLASKY AVE,806,Clovis,Acer negundo,,BDL
32401,ACNE,3,LINCOLN AVE,603,Clovis,Acer negundo,,BDL
32500,ACNE,2,VILLA AVE,908,Clovis,Acer negundo,,BDL
31701,ACPA,1,DEWITT AVE,425,Clovis,Acer palmatum,,BDS
31817,ACPA,1,THIRD ST,625,Clovis,Acer palmatum,,BDS
32492,ACPA,1,FIFTH ST,1033,Clovis,Acer palmatum,,BDS
32494,ACPA,1,FIFTH ST,1033,Clovis,Acer palmatum,,BDS
32496,ACPA,1,FIFTH ST,1033,Clovis,Acer palmatum,,BDS
32498,ACPA,1,FIFTH ST,1033,Clovis,Acer palmatum,,BDS
34329,ACPA,1,FIFTH ST,625,Clovis,Acer palmatum,,BDS
37765,ACPA,2,FIFTH ST,625,Clovis,Acer palmatum,,BDS
37902,ACPA,1,ARMSTRONG AVE,2427,Clovis,Acer palmatum,,BDS
38418,ACPA,1,PARK AVE,826,Clovis,Acer palmatum,,BDS
38420,ACPA,1,PARK AVE,826,Clovis,Acer palmatum,,BDS
38667,ACPA,1,PISTACHIO AVE,1134,Clovis,Acer palmatum,,BDS
46916,ACPA,1,LOS ALTOS AVE,155,Clovis,Acer palmatum,,BDS
46922,ACPA,1,LOS ALTOS AVE,155,Clovis,Acer palmatum,,BDS
58767,ACPA,1,N VILLA AVE,555,Clovis,Acer palmatum,,BDS
59749,ACPA,2,FIFTH ST,1033,Clovis,Acer palmatum,,BDS
