Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
335,BES OTHER,2,VINTAGE PKWY,801,Oakley,Acacia longifolia,Sydney Golden Wattle,BES
336,BES OTHER,2,VINTAGE PKWY,801,Oakley,Acacia longifolia,Sydney Golden Wattle,BES
309,BES OTHER,1,VINTAGE PKWY,901,Oakley,Acacia longifolia,Sydney Golden Wattle,BES
307,BES OTHER,1,VINTAGE PKWY,901,Oakley,Acacia longifolia,Sydney Golden Wattle,BES
498,BES OTHER,1,VINTAGE PKWY,1100,Oakley,Acacia longifolia,Sydney Golden Wattle,BES
497,BES OTHER,1,VINTAGE PKWY,1100,Oakley,Acacia longifolia,Sydney Golden Wattle,BES
496,BES OTHER,1,VINTAGE PKWY,1100,Oakley,Acacia longifolia,Sydney Golden Wattle,BES
494,BES OTHER,1,VINTAGE PKWY,1100,Oakley,Acacia longifolia,Sydney Golden Wattle,BES
4591,ACSP2,1,NUTMEG PARK,1,Oakley,Acacia melanoxylon,Blackwood Acacia,BEL
4592,ACSP2,1,NUTMEG PARK,1,Oakley,Acacia melanoxylon,Blackwood Acacia,BEL
4595,ACSP2,1,NUTMEG PARK,1,Oakley,Acacia melanoxylon,Blackwood Acacia,BEL
4597,ACSP2,1,NUTMEG PARK,1,Oakley,Acacia melanoxylon,Blackwood Acacia,BEL
4598,ACSP2,1,NUTMEG PARK,1,Oakley,Acacia melanoxylon,Blackwood Acacia,BEL
4599,ACSP2,1,NUTMEG PARK,1,Oakley,Acacia melanoxylon,Blackwood Acacia,BEL
4232,ACNE,5,OHARA AVE,1801,Oakley,Acer negundo,Box Elder,BDL
2601,ACRU,1,CARPENTER RD,1501,Oakley,Acer rubrum,Red Maple,BDM
2602,ACRU,1,CARPENTER RD,1501,Oakley,Acer rubrum,Red Maple,BDM
2603,ACRU,1,CARPENTER RD,1501,Oakley,Acer rubrum,Red Maple,BDM
2604,ACRU,1,CARPENTER RD,1501,Oakley,Acer rubrum,Red Maple,BDM
2605,ACRU,1,CARPENTER RD,1501,Oakley,Acer rubrum,Red Maple,BDM
2606,ACRU,1,CARPENTER RD,1501,Oakley,Acer rubrum,Red Maple,BDM
2607,ACRU,1,CARPENTER RD,1501,Oakley,Acer rubrum,Red Maple,BDM
2608,ACRU,1,CARPENTER RD,1501,Oakley,Acer rubrum,Red Maple,BDM
2609,ACRU,1,CARPENTER RD,1501,Oakley,Acer rubrum,Red Maple,BDM
2610,ACRU,1,CARPENTER RD,1501,Oakley,Acer rubrum,Red Maple,BDM
2611,ACRU,1,CARPENTER RD,1501,Oakley,Acer rubrum,Red Maple,BDM
2469,ACRU,1,MAGNOLIA PARK,1,Oakley,Acer rubrum,Red Maple,BDM
2470,ACRU,1,MAGNOLIA PARK,1,Oakley,Acer rubrum,Red Maple,BDM
2471,ACRU,1,MAGNOLIA PARK,1,Oakley,Acer rubrum,Red Maple,BDM
2472,ACRU,1,MAGNOLIA PARK,1,Oakley,Acer rubrum,Red Maple,BDM
2473,ACRU,1,MAGNOLIA PARK,1,Oakley,Acer rubrum,Red Maple,BDM
2474,ACRU,1,MAGNOLIA PARK,1,Oakley,Acer rubrum,Red Maple,BDM
2475,ACRU,1,MAGNOLIA PARK,1,Oakley,Acer rubrum,Red Maple,BDM
2477,ACRU,1,MAGNOLIA PARK,1,Oakley,Acer rubrum,Red Maple,BDM
2478,ACRU,1,MAGNOLIA PARK,1,Oakley,Acer rubrum,Red Maple,BDM
2481,ACRU,1,MAGNOLIA PARK,1,Oakley,Acer rubrum,Red Maple,BDM
2482,ACRU,1,MAGNOLIA PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3556,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3557,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3558,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3559,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3560,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3564,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3565,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3665,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3666,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3667,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3668,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3669,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3733,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3734,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3735,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3736,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3737,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3779,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3780,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3781,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3782,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3833,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3834,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3835,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3836,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3837,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3883,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3884,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
3885,ACRU,1,SUMMER LAKE COMMUNITY PARK,1,Oakley,Acer rubrum,Red Maple,BDM
2536,AECA3_B,1,BROWN RD,50,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2537,AECA3_B,1,BROWN RD,50,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2543,AECA3_B,1,BROWN RD,50,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2544,AECA3_B,1,BROWN RD,50,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2847,AECA3_B,1,BROWN RD,50,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2848,AECA3_B,1,BROWN RD,50,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2849,AECA3_B,1,BROWN RD,50,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2855,AECA3_B,1,BROWN RD,50,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2856,AECA3_B,1,BROWN RD,50,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2857,AECA3_B,1,BROWN RD,50,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2526,AECA3_B,1,BROWN RD,51,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2525,AECA3_B,1,BROWN RD,51,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2524,AECA3_B,1,BROWN RD,51,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2523,AECA3_B,1,BROWN RD,51,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2522,AECA3_B,1,BROWN RD,51,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2514,AECA3_B,1,BROWN RD,51,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2513,AECA3_B,1,BROWN RD,51,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2512,AECA3_B,1,BROWN RD,51,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2840,AECA3_B,1,BROWN RD,51,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2839,AECA3_B,1,BROWN RD,51,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2838,AECA3_B,1,BROWN RD,51,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2837,AECA3_B,1,BROWN RD,51,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2832,AECA3_B,1,BROWN RD,51,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2831,AECA3_B,1,BROWN RD,51,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2825,AECA3_B,1,BROWN RD,51,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2824,AECA3_B,1,BROWN RD,51,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2823,AECA3_B,1,BROWN RD,51,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2817,AECA3_B,1,BROWN RD,51,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
2816,AECA3_B,1,BROWN RD,51,Oakley,Aesculus x carnea,Red Horsechestnut,BDM
