Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
40465,ACSP2,2,PLEASANT GROVE BL,1450,Roseville,Acacia melanoxylon,,BEL
40466,ACSP2,2,PLEASANT GROVE BL,1450,Roseville,Acacia melanoxylon,,BEL
40485,ACSP2,3,PLEASANT GROVE BL,1450,Roseville,Acacia melanoxylon,,BEL
40486,ACSP2,2,PLEASANT GROVE BL,1450,Roseville,Acacia melanoxylon,,BEL
40487,ACSP2,3,PLEASANT GROVE BL,1450,Roseville,Acacia melanoxylon,,BEL
40504,ACSP2,2,PLEASANT GROVE BL,1460,Roseville,Acacia melanoxylon,,BEL
40538,ACSP2,2,PLEASANT GROVE BL,1460,Roseville,Acacia melanoxylon,,BEL
40539,ACSP2,3,PLEASANT GROVE BL,1460,Roseville,Acacia melanoxylon,,BEL
40540,ACSP2,3,PLEASANT GROVE BL,1460,Roseville,Acacia melanoxylon,,BEL
41971,ACSP2,6,TAYLOR ST,300,Roseville,Acacia melanoxylon,,BEL
41973,ACSP2,4,TAYLOR ST,300,Roseville,Acacia melanoxylon,,BEL
46048,ACSP2,2,COMMUNITY DR,401,Roseville,Acacia melanoxylon,,BEL
46049,ACSP2,3,COMMUNITY DR,401,Roseville,Acacia melanoxylon,,BEL
46053,ACSP2,2,COMMUNITY DR,401,Roseville,Acacia melanoxylon,,BEL
64983,ACSP2,4,DIAMOND OAKS RD,349,Roseville,Acacia melanoxylon,,BEL
65104,ACSP2,3,DIAMOND OAKS RD,349,Roseville,Acacia melanoxylon,,BEL
65181,ACSP2,2,DIAMOND OAKS RD,349,Roseville,Acacia melanoxylon,,BEL
65251,ACSP2,3,DIAMOND OAKS RD,349,Roseville,Acacia melanoxylon,,BEL
65403,ACSP2,3,DIAMOND OAKS RD,349,Roseville,Acacia melanoxylon,,BEL
65419,ACSP2,3,DIAMOND OAKS RD,349,Roseville,Acacia melanoxylon,,BEL
40474,ACSP2,2,PLEASANT GROVE BL,1450,Roseville,Acacia salicina,,BEM
