Id.x,SpsCode,DBH,StreetName,StreetNumber,City
48274,ACSP2,1,2ND AVE,2949,Sacramento
12267,ACSP2,1,LOS ROBLES BLVD,1012,Sacramento
72420,ACSP2,1,ROANOKE AVE,1140,Sacramento
42634,ACSP2,1,LOS ROBLES BLVD,1012,Sacramento
26691,ACSP2,1,VINCI AVE,1315,Sacramento
92879,ACSP2,1,21ST AVE,5800x,Sacramento
3677,ACSP2,1,DEL PASO BLVD,3232,Sacramento
28883,ACSP2,1,21ST AVE,7700x,Sacramento
24461,ACSP2,1,LOS ROBLES BLVD,1012,Sacramento
91346,ACSP2,2,26TH ST,2675,Sacramento
28873,ACSP2,1,21ST AVE,7100x,Sacramento
33886,ACSP2,1,DEL PASO BLVD,3236,Sacramento
72423,ACSP2,2,BELDEN ST,1044,Sacramento
84035,ACSP2,1,ALHAMBRA BLVD,601,Sacramento
42633,ACSP2,1,BALSAM ST,1544,Sacramento
73124,ACSP2,1,RIO LINDA BLVD,4535,Sacramento
24433,ACSP2,1,ROANOKE AVE,1140,Sacramento
45940,ACSP2,3,LOS ROBLES BLVD,1833,Sacramento
42351,ACSP2,1,5TH AVE,3500,Sacramento
50746,ACSP2,1,VINCI AVE,1315,Sacramento
43118,ACSP2,1,CUTTING WAY,614,Sacramento
70913,ACSP2,1,LOS ROBLES BLVD,1944,Sacramento
38776,ACSP2,1,VINCI AVE,1315,Sacramento
93946,ACSP2,3,7TH ST,703,Sacramento
84321,ACSP2,2,WOODLAKE DR,2142,Sacramento
6710,ACSP2,4,34TH AVE,2140,Sacramento
22881,ACSP2,1,DEL PASO BLVD,3236,Sacramento
9357,ACSP2,1,DEL PASO BLVD,3236,Sacramento
84364,ACSP2,3,ELM ST,3809,Sacramento
4659,ACSP2,1,DEL PASO BLVD,3236,Sacramento
46141,ACSP2,1,IVY ST,3546,Sacramento
90243,ACSP2,1,ROANOKE AVE,1140,Sacramento
87770,ACSP2,2,DEL PASO BLVD,3232,Sacramento
6293,ACSP2,2,RIVERA DR,1200,Sacramento
43720,ACSP2,2,5TH AVE,3500,Sacramento
88855,ACSP2,1,8TH AVE,2524,Sacramento
47525,ACSP2,5,POCKET CANAL,700,Sacramento
30134,ACSP2,5,ALHAMBRA BLVD,601,Sacramento
54582,ACSP2,1,ROANOKE AVE,1140,Sacramento
36231,ACSP2,1,ALHAMBRA BLVD,601,Sacramento
93338,ACSP2,1,21ST AVE,7300x,Sacramento
