Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
17445,CEL OTHER,1,G ST /N,360,Tulare,Abies species,FIR,CEL
3024,ACSP2,2,TULARE CHRISTMAS TREE PARK,2,Tulare,Acacia melanoxylon,BLACK ACACIA,BEL
17189,ACSP2,3,TULARE AV /W,200,Tulare,Acacia species,ACACIA,BEM
17190,ACSP2,3,TULARE AV /W,200,Tulare,Acacia species,ACACIA,BEM
11365,ACSP2,1,PORT CT,1650,Tulare,Acacia species,ACACIA,BEM
11366,ACSP2,1,PORT CT,1650,Tulare,Acacia species,ACACIA,BEM
11367,ACSP2,2,PORT CT,1650,Tulare,Acacia species,ACACIA,BEM
11368,ACSP2,1,PORT CT,1650,Tulare,Acacia species,ACACIA,BEM
11369,ACSP2,1,PORT CT,1650,Tulare,Acacia species,ACACIA,BEM
11370,ACSP2,1,PORT CT,1650,Tulare,Acacia species,ACACIA,BEM
8568,ACSP2,1,BELLA OAKS DR /E,1800,Tulare,Acacia species,ACACIA,BEM
16568,ACBU,1,EATON ST,1727,Tulare,Acer buergerianum,TRIDENT MAPLE,BDS
16578,ACBU,1,PETERSON ST,1742,Tulare,Acer buergerianum,TRIDENT MAPLE,BDS
16585,ACBU,1,PETERSON ST,1775,Tulare,Acer buergerianum,TRIDENT MAPLE,BDS
16872,ACBU,1,KING AV /E,405,Tulare,Acer buergerianum,TRIDENT MAPLE,BDS
16873,ACBU,1,KING AV /E,405,Tulare,Acer buergerianum,TRIDENT MAPLE,BDS
16874,ACBU,1,KING AV /E,405,Tulare,Acer buergerianum,TRIDENT MAPLE,BDS
16917,ACBU,1,M ST /N,164,Tulare,Acer buergerianum,TRIDENT MAPLE,BDS
16918,ACBU,1,M ST /N,164,Tulare,Acer buergerianum,TRIDENT MAPLE,BDS
16919,ACBU,1,M ST /N,164,Tulare,Acer buergerianum,TRIDENT MAPLE,BDS
16920,ACBU,1,M ST /N,164,Tulare,Acer buergerianum,TRIDENT MAPLE,BDS
6074,ACBU,1,ACADEMY WK,2,Tulare,Acer buergerianum,TRIDENT MAPLE,BDS
6075,ACBU,1,ACADEMY WK,2,Tulare,Acer buergerianum,TRIDENT MAPLE,BDS
6080,ACBU,1,ACADEMY WK,2,Tulare,Acer buergerianum,TRIDENT MAPLE,BDS
6081,ACBU,1,ACADEMY WK,2,Tulare,Acer buergerianum,TRIDENT MAPLE,BDS
6082,ACBU,1,ACADEMY WK,2,Tulare,Acer buergerianum,TRIDENT MAPLE,BDS
6087,ACBU,1,ACADEMY WK,2,Tulare,Acer buergerianum,TRIDENT MAPLE,BDS
6088,ACBU,1,ACADEMY WK,2,Tulare,Acer buergerianum,TRIDENT MAPLE,BDS
6089,ACBU,1,ACADEMY WK,2,Tulare,Acer buergerianum,TRIDENT MAPLE,BDS
2851,ACBU,1,N ST /S,202,Tulare,Acer buergerianum,TRIDENT MAPLE,BDS
16477,ACPA,1,MARICOPA DR,212,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
16845,ACPA,1,DOWNTOWN BREEZEWAY,2,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
16846,ACPA,1,DOWNTOWN BREEZEWAY,2,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
16847,ACPA,1,DOWNTOWN BREEZEWAY,2,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
16850,ACPA,1,DOWNTOWN BREEZEWAY,2,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
17162,ACPA,2,J ST /S PARKING LOT,2,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
17163,ACPA,2,J ST /S PARKING LOT,2,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
17167,ACPA,1,J ST /S PARKING LOT,2,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
17514,ACPA,2,G ST /N,429,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
17776,ACPA,1,DURANGO CT,1828,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
17777,ACPA,1,DURANGO CT,1828,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
17778,ACPA,1,DURANGO CT,1828,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
12593,ACPA,1,TAHOE AV,1859,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
14257,ACPA,1,TUOHY ST,651,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
14258,ACPA,1,TUOHY ST,651,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
15734,ACPA,2,AUGUSTA CT,1945,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
2820,ACPA,1,POLICE DEPARTMENT,2,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
2821,ACPA,1,POLICE DEPARTMENT,2,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
3023,ACPA,2,TULARE CHRISTMAS TREE PARK,2,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
3158,ACPA,1,TULARE PUBLIC LIBRARY,2,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
3495,ACPA,1,SENIOR CENTER/OLD LIBRARY,2,Tulare,Acer palmatum,JAPANESE MAPLE,BDS
2779,ACPL,2,CITY HALL,2,Tulare,Acer platanoides,NORWAY MAPLE,BDL
2780,ACPL,2,CITY HALL,2,Tulare,Acer platanoides,NORWAY MAPLE,BDL
2781,ACPL,2,CITY HALL,2,Tulare,Acer platanoides,NORWAY MAPLE,BDL
2782,ACPL,2,CITY HALL,2,Tulare,Acer platanoides,NORWAY MAPLE,BDL
16579,ACRU,1,PETERSON ST,1726,Tulare,Acer rubrum,RED MAPLE,BDM
12688,ACRU,1,TAHOE AV,2306,Tulare,Acer rubrum,RED MAPLE,BDM
12689,ACRU,1,TAHOE AV,2306,Tulare,Acer rubrum,RED MAPLE,BDM
12691,ACRU,2,TAHOE AV,2326,Tulare,Acer rubrum,RED MAPLE,BDM
12692,ACRU,2,TAHOE AV,2326,Tulare,Acer rubrum,RED MAPLE,BDM
12786,ACRU,2,SAND HILLS AV,2664,Tulare,Acer rubrum,RED MAPLE,BDM
12787,ACRU,2,SAND HILLS AV,2630,Tulare,Acer rubrum,RED MAPLE,BDM
12793,ACRU,2,TORREY PINES ST /N,157,Tulare,Acer rubrum,RED MAPLE,BDM
12794,ACRU,2,TORREY PINES ST /N,195,Tulare,Acer rubrum,RED MAPLE,BDM
12795,ACRU,1,TORREY PINES ST /N,249,Tulare,Acer rubrum,RED MAPLE,BDM
12796,ACRU,1,TORREY PINES ST /N,293,Tulare,Acer rubrum,RED MAPLE,BDM
12805,ACRU,1,PINE VALLEY CT,2566,Tulare,Acer rubrum,RED MAPLE,BDM
12806,ACRU,1,PINE VALLEY CT,2566,Tulare,Acer rubrum,RED MAPLE,BDM
12811,ACRU,1,PINE VALLEY CT,2698,Tulare,Acer rubrum,RED MAPLE,BDM
12812,ACRU,1,PINE VALLEY CT,2695,Tulare,Acer rubrum,RED MAPLE,BDM
12813,ACRU,1,PINE VALLEY CT,2663,Tulare,Acer rubrum,RED MAPLE,BDM
12814,ACRU,2,PINE VALLEY CT,2637,Tulare,Acer rubrum,RED MAPLE,BDM
12817,ACRU,2,PINE VALLEY CT,2561,Tulare,Acer rubrum,RED MAPLE,BDM
12818,ACRU,2,PINE VALLEY CT,2561,Tulare,Acer rubrum,RED MAPLE,BDM
12824,ACRU,1,CRYSTAL DOWNS AV /E,2631,Tulare,Acer rubrum,RED MAPLE,BDM
12825,ACRU,1,INVERNESS ST,502,Tulare,Acer rubrum,RED MAPLE,BDM
12826,ACRU,1,INVERNESS ST,526,Tulare,Acer rubrum,RED MAPLE,BDM
12827,ACRU,1,INVERNESS ST,564,Tulare,Acer rubrum,RED MAPLE,BDM
12828,ACRU,1,CRYSTAL DOWNS AV /E,2628,Tulare,Acer rubrum,RED MAPLE,BDM
12829,ACRU,1,CRYSTAL DOWNS AV /E,2628,Tulare,Acer rubrum,RED MAPLE,BDM
12830,ACRU,1,INVERNESS ST,592,Tulare,Acer rubrum,RED MAPLE,BDM
12831,ACRU,1,INVERNESS ST,610,Tulare,Acer rubrum,RED MAPLE,BDM
12832,ACRU,1,RIVIERA CT /E,2629,Tulare,Acer rubrum,RED MAPLE,BDM
12833,ACRU,2,RIVIERA CT /E,2629,Tulare,Acer rubrum,RED MAPLE,BDM
12834,ACRU,1,RIVIERA CT /E,2591,Tulare,Acer rubrum,RED MAPLE,BDM
12835,ACRU,1,RIVIERA CT /E,2563,Tulare,Acer rubrum,RED MAPLE,BDM
12836,ACRU,1,RIVIERA CT /E,2535,Tulare,Acer rubrum,RED MAPLE,BDM
12837,ACRU,1,RIVIERA CT /E,2522,Tulare,Acer rubrum,RED MAPLE,BDM
12838,ACRU,1,RIVIERA CT /E,2538,Tulare,Acer rubrum,RED MAPLE,BDM
12839,ACRU,1,RIVIERA CT /E,2568,Tulare,Acer rubrum,RED MAPLE,BDM
12840,ACRU,1,RIVIERA CT /E,2596,Tulare,Acer rubrum,RED MAPLE,BDM
12846,ACRU,1,INVERNESS ST,676,Tulare,Acer rubrum,RED MAPLE,BDM
