Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,ULPA,4,4TH ST,525,West Sacramento,Ulmus americana,AMERICAN ELM,BDL
2,ULPA,3,4TH ST,525,West Sacramento,Ulmus americana,AMERICAN ELM,BDL
3,ULPA,4,4TH ST,525,West Sacramento,Ulmus americana,AMERICAN ELM,BDL
4,ULPA,4,4TH ST,525,West Sacramento,Ulmus americana,AMERICAN ELM,BDL
5,ULPA,4,4TH ST,525,West Sacramento,Ulmus americana,AMERICAN ELM,BDL
6,ULPA,3,4TH ST,525,West Sacramento,Ulmus americana,AMERICAN ELM,BDL
7,ULPA,4,4TH ST,525,West Sacramento,Ulmus americana,AMERICAN ELM,BDL
8,ULPA,2,WALNUT ST,470,West Sacramento,Ulmus americana,AMERICAN ELM,BDL
9,ULPA,5,STONE BL,2150,West Sacramento,Ulmus americana,AMERICAN ELM,BDL
10,ULPA,4,STONE BL,2150,West Sacramento,Ulmus americana,AMERICAN ELM,BDL
11,ULPA,5,STONE BL,2150,West Sacramento,Ulmus americana,AMERICAN ELM,BDL
12,ULPA,6,STONE BL,2286,West Sacramento,Ulmus americana,AMERICAN ELM,BDL
13,ULPA,3,MEADOWDALE PARK,2,West Sacramento,Ulmus americana,AMERICAN ELM,BDL
14,ULPA,3,WESTFIELD PLAYFIELDS,2,West Sacramento,Ulmus americana,AMERICAN ELM,BDL
15,ULPA,3,WESTFIELD PLAYFIELDS,2,West Sacramento,Ulmus americana,AMERICAN ELM,BDL
16,ULPA,6,REDWOOD PARK,2,West Sacramento,Ulmus americana,AMERICAN ELM,BDL
17,ULPA,5,REDWOOD PARK,2,West Sacramento,Ulmus americana,AMERICAN ELM,BDL
18,PI2,1,CARRIE ST,1111,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
19,PI2,5,PECAN ST,450,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
20,PI2,5,PECAN ST,450,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
21,PI2,4,PECAN ST,450,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
22,PI2,4,WEST CAPITOL AV,1029,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
23,PI2,3,WEST CAPITOL AV,1029,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
24,PI2,5,EVERGREEN AV,2319,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
25,PI2,6,CANNA WY,1011,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
26,PI2,3,SUMMERFIELD PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
27,PI2,3,SUMMERFIELD PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
28,PI2,2,SUMMERFIELD PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
29,PI2,3,SUMMERFIELD PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
30,PI2,3,LINDEN PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
31,PI2,4,LINDEN PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
32,PI2,3,LINDEN PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
33,PI2,2,SAM COMBS PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
34,PI2,3,SAM COMBS PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
35,PI2,1,SAM COMBS PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
36,PI2,2,SAM COMBS PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
37,PI2,2,SAM COMBS PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
38,PI2,4,SAM COMBS PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
39,PI2,3,SAM COMBS PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
40,PI2,3,SAM COMBS PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
41,PI2,3,SAM COMBS PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
42,PI2,3,SAM COMBS PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
43,PI2,6,ELKHORN PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
44,PI2,3,ELKHORN PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
45,PI2,3,ELKHORN PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
46,PI2,3,ELKHORN PARK,2,West Sacramento,Pinus halepensis,ALEPPO PINE,CEL
