Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
0,ACSA3,1,SANTA ROSA WAY,73-875,Palm Desert,Acacia salicina,Acacia  Willow),BEM
0,ACST,1,SANTA ROSA WAY,73-875,Palm Desert,Acacia stenophylla,Acacia  Shoestring),BES
0,ACST,1,SANTA ROSA WAY,73-875,Palm Desert,Acacia stenophylla,Acacia  Shoestring),BES
0,ACST,1,SANTA ROSA WAY,73-875,Palm Desert,Acacia stenophylla,Acacia  Shoestring),BES
0,ACST,1,SANTA ROSA WAY,73-875,Palm Desert,Acacia stenophylla,Acacia  Shoestring),BES
0,CEFL,1,SANTA ROSA WAY,73-875,Palm Desert,Parkinsonia florida,Palo Verde  Blue),BDS
0,CEFL,1,SANTA ROSA WAY,73-875,Palm Desert,Parkinsonia florida,Palo Verde  Blue),BDS
0,CEFL,1,SANTA ROSA WAY,73-875,Palm Desert,Parkinsonia florida,Palo Verde  Blue),BDS
0,CEFL,1,SANTA ROSA WAY,73-875,Palm Desert,Parkinsonia florida,Palo Verde  Blue),BDS
0,LYMI,1,SANTA ROSA WAY,73-875,Palm Desert,Lysiloma microphylla,Feather tree),BES
0,LYMI,1,SANTA ROSA WAY,73-875,Palm Desert,Lysiloma microphylla,Feather tree),BES
0,LYMI,1,SANTA ROSA WAY,73-875,Palm Desert,Lysiloma microphylla,Feather tree),BES
0,WAFI,5,SANTA ROSA WAY,73-875,Palm Desert,Washingtonia filifera,Palm  California Fan),PES
0,WAFI,4,SANTA ROSA WAY,73-875,Palm Desert,Washingtonia filifera,Palm  California Fan),PES
0,WAFI,5,SANTA ROSA WAY,73-875,Palm Desert,Washingtonia filifera,Palm  California Fan),PES
0,WAFI,5,SANTA ROSA WAY,73-875,Palm Desert,Washingtonia filifera,Palm  California Fan),PES
1,WAFI,6,FRONTAGE ROAD,47-900,Palm Desert,Washingtonia filifera,Palm  California Fan),PES
2,WAFI,5,FRONTAGE ROAD,47-900,Palm Desert,Washingtonia filifera,Palm  California Fan),PES
3,WAFI,4,FRONTAGE ROAD,47-900,Palm Desert,Washingtonia filifera,Palm  California Fan),PES
4,WAFI,6,FRONTAGE ROAD,47-900,Palm Desert,Washingtonia filifera,Palm  California Fan),PES
5,WAFI,6,FRONTAGE ROAD,47-900,Palm Desert,Washingtonia filifera,Palm  California Fan),PES
6,BES OTHER,2,FRONTAGE ROAD,47-900,Palm Desert,Dalea spinosa,Smoke Tree),BES
7,WAFI,4,FRONTAGE ROAD,47-900,Palm Desert,Washingtonia filifera,Palm  California Fan),PES
8,WAFI,4,FRONTAGE ROAD,47-900,Palm Desert,Washingtonia filifera,Palm  California Fan),PES
9,WARO,3,FRONTAGE ROAD,47-900,Palm Desert,Washingtonia robusta,Palm  Mexican Fan),PES
10,WARO,3,FRONTAGE ROAD,47-900,Palm Desert,Washingtonia robusta,Palm  Mexican Fan),PES
11,WARO,3,FRONTAGE ROAD,47-900,Palm Desert,Washingtonia robusta,Palm  Mexican Fan),PES
12,WAFI,5,FRONTAGE ROAD,47-900,Palm Desert,Washingtonia filifera,Palm  California Fan),PES
13,WAFI,6,FRONTAGE ROAD,47-900,Palm Desert,Washingtonia filifera,Palm  California Fan),PES
14,WAFI,5,FRONTAGE ROAD,47-900,Palm Desert,Washingtonia filifera,Palm  California Fan),PES
15,WAFI,5,FRONTAGE ROAD,47-900,Palm Desert,Washingtonia filifera,Palm  California Fan),PES
16,BES OTHER,2,FRONTAGE ROAD,47-900,Palm Desert,Dalea spinosa,Smoke Tree),BES
17,BES OTHER,1,FRONTAGE ROAD,47-900,Palm Desert,Dalea spinosa,Smoke Tree),BES
18,BES OTHER,1,FRONTAGE ROAD,47-900,Palm Desert,Dalea spinosa,Smoke Tree),BES
19,WAFI,5,FRONTAGE ROAD,47-900,Palm Desert,Washingtonia filifera,Palm  California Fan),PES
20,WAFI,5,FRONTAGE ROAD,47-900,Palm Desert,Washingtonia filifera,Palm  California Fan),PES
21,WAFI,5,FRONTAGE ROAD,47-900,Palm Desert,Washingtonia filifera,Palm  California Fan),PES
