Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,LAIN,1,CERRITOS AV,14960,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
2,FRVE,3,CERRITOS AV,14954,Bellflower,Fraxinus velutina,ARIZONA ASH,BDM
3,FRVE,3,CERRITOS AV,14954,Bellflower,Fraxinus velutina,ARIZONA ASH,BDM
4,WARO,3,CERRITOS AV,14954,Bellflower,Washingtonia robusta,MEXICAN FAN PALM,PES
5,LILU,1,CERRITOS AV,14954,Bellflower,Ligustrum lucidum,GLOSSY PRIVET,BEM
7,FRVE,4,CERRITOS AV,14948,Bellflower,Fraxinus velutina,ARIZONA ASH,BDM
8,BDL OTHER,2,CERRITOS AV,14936,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
9,GEPA,3,CERRITOS AV,14930,Bellflower,Geijera parviflora,AUSTRALIAN WILLOW,BES
10,CUAN,3,CERRITOS AV,14920,Bellflower,Cupaniopsis anacardioides,CARROTWOOD,BEM
11,CUAN,3,CERRITOS AV,14920,Bellflower,Cupaniopsis anacardioides,CARROTWOOD,BEM
14,FRVE,3,FAYWOOD ST,9200,Bellflower,Fraxinus velutina,ARIZONA ASH,BDM
15,FRVE,4,CERRITOS AV,14838,Bellflower,Fraxinus velutina,ARIZONA ASH,BDM
16,FRVE,4,CERRITOS AV,14838,Bellflower,Fraxinus velutina,ARIZONA ASH,BDM
17,BDL OTHER,2,CERRITOS AV,14822,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
18,BDL OTHER,3,CERRITOS AV,14816,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
19,BDL OTHER,3,CERRITOS AV,14808,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
20,LAIN,1,MANDALE ST,9204,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
21,LAIN,1,MANDALE ST,9203,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
27,LAIN,1,CERRITOS AV,14522,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
28,LAIN,2,CERRITOS AV,14514,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
29,FIBE,1,CERRITOS AV,14432,Bellflower,Ficus benjamina,WEEPING FIG,BEM
30,FIBE,2,CERRITOS AV,14432,Bellflower,Ficus benjamina,WEEPING FIG,BEM
31,FIBE,2,CERRITOS AV,14432,Bellflower,Ficus benjamina,WEEPING FIG,BEM
33,GIBI,2,PRICHARD ST,9303,Bellflower,Ginkgo biloba,MAIDENHAIR TREE,BDL
34,CUSE,2,CERRITOS AV,14400,Bellflower,Cupressus sempervirens,ITALIAN CYPRESS,CEM
36,BDL OTHER,2,CERRITOS AV,14328,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
39,JAMI,3,CERRITOS AV,14314,Bellflower,Jacaranda mimosifolia,JACARANDA,BDM
40,BDL OTHER,3,CERRITOS AV,14310,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
41,LAIN,1,ROSECRANS AV,9222,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
42,CACI,2,CERRITOS AV,14323,Bellflower,Hymenosporum flavum,SWEETSHADE,BEM
44,BRPO,4,CERRITOS AV,14405,Bellflower,Brachychiton populneus,BOTTLE TREE,BEM
47,BDL OTHER,3,CERRITOS AV,14423,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
48,BDL OTHER,1,CERRITOS AV,14431,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
50,BDL OTHER,3,CERRITOS AV,14509,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
52,BDL OTHER,2,ROSSER ST,9191,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
53,BDL OTHER,2,ROSSER ST,9191,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
54,BDL OTHER,2,ROSSER ST,9191,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
55,BDL OTHER,1,ROSSER ST,9192,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
56,BDL OTHER,1,ROSSER ST,9192,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
57,CACI,2,SCOTT ST,9139,Bellflower,Callistemon citrinus,LEMON BOTTLEBRUSH,BES
58,CACI,2,SCOTT ST,9138,Bellflower,Callistemon citrinus,LEMON BOTTLEBRUSH,BES
59,CACI,2,SCOTT ST,9138,Bellflower,Callistemon citrinus,LEMON BOTTLEBRUSH,BES
60,CHSP,3,SCOTT ST,9138,Bellflower,Chorisia speciosa,SILK-FLOSS TREE,BDM
63,BDL OTHER,1,CERRITOS AV,14731,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
66,TRFO,2,CERRITOS AV,14815,Bellflower,Trachycarpus fortunei,WINDMILL PALM,PES
67,TRFO,2,CERRITOS AV,14815,Bellflower,Trachycarpus fortunei,WINDMILL PALM,PES
68,ARCU,1,CERRITOS AV,14815,Bellflower,Archontophoenix cunninghamiana,KING PALM,PES
69,TRFO,2,CERRITOS AV,14815,Bellflower,Trachycarpus fortunei,WINDMILL PALM,PES
70,TRFO,2,CERRITOS AV,14815,Bellflower,Trachycarpus fortunei,WINDMILL PALM,PES
71,ARCU,1,CERRITOS AV,14815,Bellflower,Archontophoenix cunninghamiana,KING PALM,PES
72,ARCU,2,CERRITOS AV,14815,Bellflower,Archontophoenix cunninghamiana,KING PALM,PES
73,BDL OTHER,2,FAYWOOD ST,9161,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
74,BDL OTHER,2,FAYWOOD ST,9161,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
75,FRVE,3,FAYWOOD ST,9160,Bellflower,Fraxinus velutina,ARIZONA ASH,BDM
76,FRVE,3,FAYWOOD ST,9160,Bellflower,Fraxinus velutina,ARIZONA ASH,BDM
77,BDL OTHER,2,CERRITOS AV,14929,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
78,MEEX,2,CERRITOS AV,14929,Bellflower,Metrosideros excelsus,NEW ZEALAND CHRISTMAS TREE,BEM
79,BDL OTHER,2,CERRITOS AV,14929,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
80,MEEX,2,CERRITOS AV,14929,Bellflower,Metrosideros excelsus,NEW ZEALAND CHRISTMAS TREE,BEM
81,BDL OTHER,3,CERRITOS AV,14929,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
82,MEEX,2,CERRITOS AV,14929,Bellflower,Metrosideros excelsus,NEW ZEALAND CHRISTMAS TREE,BEM
84,BDL OTHER,2,CERRITOS AV,14955,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
85,BDL OTHER,2,CERRITOS AV,14961,Bellflower,Zelkova serrata,SAWTOOTH ZELKOVA,BDL
87,PRCA,2,SOMERSET BL,9051,Bellflower,Photinia x fraseri,FRASERS PHOTINIA,BES
88,LAIN,2,PRICHARD ST,9303,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
89,LAIN,1,PRICHARD ST,9309,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
90,LAIN,1,PRICHARD ST,9313,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
91,LAIN,1,PRICHARD ST,9319,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
93,LAIN,1,PRICHARD ST,9331,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
95,LAIN,1,PRICHARD ST,9339,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
96,LAIN,2,PRICHARD ST,9345,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
97,LAIN,2,PRICHARD ST,9349,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
98,LAIN,2,PRICHARD ST,9355,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
99,LAIN,2,PRICHARD ST,9361,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
100,LAIN,2,PRICHARD ST,9365,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
101,PHDA4,1,PRICHARD ST,9373,Bellflower,Syagrus romanzoffiana,QUEEN PALM,PEL
102,PHDA4,1,PRICHARD ST,9373,Bellflower,Syagrus romanzoffiana,QUEEN PALM,PEL
103,GEPA,3,PRICHARD ST,9379,Bellflower,Geijera parviflora,AUSTRALIAN WILLOW,BES
104,LAIN,1,PRICHARD ST,9380,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
105,LAIN,1,PRICHARD ST,9378,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
106,LAIN,1,PRICHARD ST,9370,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
107,PHDA4,2,PRICHARD ST,9368,Bellflower,Syagrus romanzoffiana,QUEEN PALM,PEL
108,PHDA4,2,PRICHARD ST,9368,Bellflower,Syagrus romanzoffiana,QUEEN PALM,PEL
109,LAIN,2,PRICHARD ST,9362,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
110,LAIN,2,PRICHARD ST,9356,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
111,LAIN,2,PRICHARD ST,9352,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
112,PRAR,4,PRICHARD ST,9348,Bellflower,Pyrus calleryana,ORNAMENTAL PEAR,BDM
113,LAIN,1,PRICHARD ST,9342,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
114,LIST,4,PRICHARD ST,9338,Bellflower,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
115,WARO,1,PRICHARD ST,9332,Bellflower,Washingtonia robusta,MEXICAN FAN PALM,PES
116,WARO,1,PRICHARD ST,9332,Bellflower,Washingtonia robusta,MEXICAN FAN PALM,PES
117,WARO,1,PRICHARD ST,9332,Bellflower,Washingtonia robusta,MEXICAN FAN PALM,PES
118,LIST,4,PRICHARD ST,9332,Bellflower,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
119,CEDE,1,PRICHARD ST,9332,Bellflower,Cedrus deodara,DEODAR CEDAR,CEL
121,LAIN,1,PRICHARD ST,9320,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
122,LAIN,2,PRICHARD ST,9316,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
123,LAIN,2,PRICHARD ST,9312,Bellflower,Lagerstroemia indica,CRAPE MYRTLE,BDS
124,GEPA,3,PRICHARD ST,9306,Bellflower,Geijera parviflora,AUSTRALIAN WILLOW,BES
125,FIBE,2,CERRITOS AV,14432,Bellflower,Ficus benjamina,WEEPING FIG,BEM
126,TRCO,3,HEINER ST,9283,Bellflower,Tristaniopsis conferta,BRISBANE BOX,BEM
128,BRPO,3,HEINER ST,9293,Bellflower,Brachychiton populneus,BOTTLE TREE,BEM
129,PHDA4,1,HEINER ST,9303,Bellflower,Syagrus romanzoffiana,QUEEN PALM,PEL
