Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,PLRA,4,VENTURA BL /E,1604,Camarillo,Platanus acerifolia,LONDON PLANE,BDL
2,PLRA,4,VENTURA BL /E,1604,Camarillo,Platanus acerifolia,LONDON PLANE,BDL
3,PLRA,2,VENTURA BL /E,1604,Camarillo,Platanus acerifolia,LONDON PLANE,BDL
4,PLRA,2,VENTURA BL /E,1604,Camarillo,Platanus acerifolia,LONDON PLANE,BDL
5,PICA,3,VENTURA BL /E,800,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
6,PICA,4,VENTURA BL /E,800,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
7,PICA,4,VENTURA BL /E,800,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
8,PICA,4,VENTURA BL /E,800,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
9,PICA,4,VENTURA BL /E,800,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
10,PICA,4,VENTURA BL /E,800,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
11,PICA,4,VENTURA BL /E,800,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
12,PICA,4,VENTURA BL /E,800,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
13,PICA,4,VENTURA BL /E,800,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
14,PICA,4,VENTURA BL /E,800,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
15,PICA,4,VENTURA BL /E,800,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
16,PICA,4,VENTURA BL /E,800,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
17,PICA,4,VENTURA BL /E,800,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
18,LAIN,1,VENTURA BL /W,700,Camarillo,Lagerstroemia indica,CRAPE MYRTLE,BDS
19,PICA,1,VENTURA BL /W,700,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
20,LAIN,1,VENTURA BL /W,700,Camarillo,Lagerstroemia indica,CRAPE MYRTLE,BDS
21,JAMI,1,VENTURA BL /W,450,Camarillo,Jacaranda mimosifolia,JACARANDA,BDM
22,JAMI,1,VENTURA BL /W,450,Camarillo,Jacaranda mimosifolia,JACARANDA,BDM
23,JAMI,1,VENTURA BL /W,450,Camarillo,Jacaranda mimosifolia,JACARANDA,BDM
24,PICA,1,VENTURA BL /W,450,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
25,PICA,1,VENTURA BL /W,450,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
26,JAMI,1,VENTURA BL /W,450,Camarillo,Jacaranda mimosifolia,JACARANDA,BDM
27,JAMI,1,VENTURA BL /W,450,Camarillo,Jacaranda mimosifolia,JACARANDA,BDM
28,JAMI,1,VENTURA BL /W,450,Camarillo,Jacaranda mimosifolia,JACARANDA,BDM
29,LAIN,1,VENTURA BL /W,500,Camarillo,Lagerstroemia indica,CRAPE MYRTLE,BDS
30,LAIN,1,VENTURA BL /W,500,Camarillo,Lagerstroemia indica,CRAPE MYRTLE,BDS
31,LAIN,1,VENTURA BL /W,500,Camarillo,Lagerstroemia indica,CRAPE MYRTLE,BDS
32,LAIN,1,VENTURA BL /W,500,Camarillo,Lagerstroemia indica,CRAPE MYRTLE,BDS
33,LAIN,1,VENTURA BL /W,500,Camarillo,Lagerstroemia indica,CRAPE MYRTLE,BDS
34,LAIN,1,VENTURA BL /W,500,Camarillo,Lagerstroemia indica,CRAPE MYRTLE,BDS
35,LAIN,1,VENTURA BL /W,500,Camarillo,Lagerstroemia indica,CRAPE MYRTLE,BDS
36,LAIN,1,VENTURA BL /W,500,Camarillo,Lagerstroemia indica,CRAPE MYRTLE,BDS
37,LAIN,1,VENTURA BL /W,500,Camarillo,Lagerstroemia indica,CRAPE MYRTLE,BDS
38,LAIN,1,VENTURA BL /W,600,Camarillo,Lagerstroemia indica,CRAPE MYRTLE,BDS
39,LAIN,1,VENTURA BL /W,600,Camarillo,Lagerstroemia indica,CRAPE MYRTLE,BDS
40,LAIN,1,VENTURA BL /W,600,Camarillo,Lagerstroemia indica,CRAPE MYRTLE,BDS
41,LAIN,1,VENTURA BL /W,600,Camarillo,Lagerstroemia indica,CRAPE MYRTLE,BDS
42,LAIN,1,VENTURA BL /W,600,Camarillo,Lagerstroemia indica,CRAPE MYRTLE,BDS
43,JAMI,1,VENTURA BL /W,650,Camarillo,Jacaranda mimosifolia,JACARANDA,BDM
44,PICA,1,VENTURA BL /W,650,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
45,PICA,1,VENTURA BL /W,650,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
46,PICA,1,VENTURA BL /W,650,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
47,PICA,1,VENTURA BL /W,650,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
48,JAMI,1,VENTURA BL /W,650,Camarillo,Jacaranda mimosifolia,JACARANDA,BDM
49,JAMI,2,ADOLFO RD,4350,Camarillo,Jacaranda mimosifolia,JACARANDA,BDM
50,JAMI,2,ADOLFO RD,4350,Camarillo,Jacaranda mimosifolia,JACARANDA,BDM
51,PICA,2,ADOLFO RD,4350,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
52,PICA,2,ADOLFO RD,4350,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
53,PICA,2,ADOLFO RD,4350,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
54,PICA,3,ADOLFO RD,4350,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
55,PICA,3,ADOLFO RD,4350,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
56,PICA,3,ADOLFO RD,4350,Camarillo,Pinus canariensis,CANARY ISLAND PINE,CEL
57,JAMI,2,ADOLFO RD,4350,Camarillo,Jacaranda mimosifolia,JACARANDA,BDM
58,JAMI,2,ADOLFO RD,4350,Camarillo,Jacaranda mimosifolia,JACARANDA,BDM
59,PLRA,3,ADOLFO RD,4420,Camarillo,Platanus acerifolia,LONDON PLANE,BDL
60,PLRA,2,ADOLFO RD,4420,Camarillo,Platanus acerifolia,LONDON PLANE,BDL
61,PLRA,3,ADOLFO RD,4420,Camarillo,Platanus acerifolia,LONDON PLANE,BDL
