Id.x,SpCode,DBH,StreetName,StreetNumber,City
495,ACBA2,1,Cadencia St,3300,Carlsbad
5696,ACBA2,1,PIRAGUA ST,3250,Carlsbad
5693,ACBA2,1,ESFERA ST,7511,Carlsbad
493,ACBA2,1,Cadencia St,3300,Carlsbad
5692,ACBA2,2,PIRAGUA ST,3261,Carlsbad
6033,ACBA2,2,CATALINA DR,3455,Carlsbad
494,ACBA2,1,Cadencia St,3300,Carlsbad
7514,ACBA2,1,CHINQUAPIN,1110,Carlsbad
8255,ACBA2,1,CHESTNUT AV,2505,Carlsbad
837,ACLO,1,Kelly & Park Dr, ,Carlsbad
1293,ACLO,2,Las Palmas Dr,2075,Carlsbad
12503,ACLO,2,Orion Wy,2560,Carlsbad
13454,ACLO,1,, ,Carlsbad
13526,ACLO,1,, ,Carlsbad
819,ACLO,2,Kelly & Park Dr, ,Carlsbad
13616,ACLO,1,, ,Carlsbad
13369,ACLO,1,, ,Carlsbad
13453,ACLO,1,, ,Carlsbad
13529,ACLO,1,, ,Carlsbad
11050,ACLO,1,, ,Carlsbad
11059,ACLO,1,, ,Carlsbad
13619,ACLO,1,, ,Carlsbad
1260,ACLO,3,Las Palmas Dr,2075,Carlsbad
1538,ACLO,1,Orion Wy,2560,Carlsbad
11665,ACLO,2,Las Palmas Dr,2075,Carlsbad
4963,ACLO,1,Hidden Valley Rd,6651,Carlsbad
1539,ACLO,2,Orion Wy,2560,Carlsbad
13277,ACLO,1,, ,Carlsbad
9425,ACLO,2,RECODO CT,2203,Carlsbad
13418,ACLO,1,, ,Carlsbad
1551,ACLO,3,Orion Wy,2560,Carlsbad
812,ACLO,2,Kelly & Park Dr, ,Carlsbad
12543,ACLO,1,Kelly & Park Dr, ,Carlsbad
1684,ACLO,1,Orion Wy,2560,Carlsbad
839,ACLO,1,Kelly & Park Dr, ,Carlsbad
824,ACLO,1,Kelly & Park Dr, ,Carlsbad
13366,ACLO,1,, ,Carlsbad
13532,ACLO,1,, ,Carlsbad
1301,ACLO,1,Las Palmas Dr,2075,Carlsbad
1295,ACLO,1,Las Palmas Dr,2075,Carlsbad
1303,ACLO,2,Las Palmas Dr,2075,Carlsbad
