Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,ARCU,2,CARPINTERIA AV,5310,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
2,ARCU,2,CARPINTERIA AV,5310,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
3,ARCU,2,CARPINTERIA AV,5310,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
4,ARCU,2,CARPINTERIA AV,5292,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
5,ARCU,2,CARPINTERIA AV,5292,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
6,ARCU,2,CARPINTERIA AV,5292,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
7,ARCU,2,CARPINTERIA AV,5292,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
8,KOBI,2,CARPINTERIA AV,5250,Carpinteria,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
9,ARCU,2,CARPINTERIA AV,5250,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
10,ARCU,2,CARPINTERIA AV,5250,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
11,ARCU,2,CARPINTERIA AV,5250,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
12,KOBI,2,CARPINTERIA AV,5250,Carpinteria,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
13,KOBI,2,CARPINTERIA AV,5212,Carpinteria,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
14,KOBI,2,CARPINTERIA AV,5212,Carpinteria,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
15,ARCU,2,CARPINTERIA AV,5210,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
16,ARCU,2,CARPINTERIA AV,5210,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
17,ARCU,2,CARPINTERIA AV,5100,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
18,ARCU,2,CARPINTERIA AV,5100,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
19,ARCU,2,CARPINTERIA AV,5100,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
20,KOBI,2,CARPINTERIA AV,5096,Carpinteria,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
21,KOBI,2,CARPINTERIA AV,5096,Carpinteria,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
22,ARCU,2,CARPINTERIA AV,5050,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
23,ARCU,2,CARPINTERIA AV,5050,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
24,ARCU,2,CARPINTERIA AV,5050,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
25,KOBI,1,CARPINTERIA AV,5050,Carpinteria,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
26,KOBI,2,CARPINTERIA AV,5050,Carpinteria,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
27,KOBI,2,CARPINTERIA AV,5050,Carpinteria,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
28,ARCU,2,CARPINTERIA AV,5036,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
29,ARCU,1,CARPINTERIA AV,5030,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
30,ARCU,2,CARPINTERIA AV,5030,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
31,CALE,2,MILLS CORNER,2,Carpinteria,Cassia leptophylla,GOLD MEDALLION TREE,BDS
32,CALE,2,MILLS CORNER,2,Carpinteria,Cassia leptophylla,GOLD MEDALLION TREE,BDS
33,KOBI,3,CARPINTERIA AV,4962,Carpinteria,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
34,TRFO,2,CARPINTERIA AV,4958,Carpinteria,Trachycarpus fortunei,WINDMILL PALM,PES
35,ARCU,1,CARPINTERIA AV,4954,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
36,ARCU,1,CARPINTERIA AV,4954,Carpinteria,Archontophoenix cunninghamiana,KING PALM,PES
37,KOBI,3,CARPINTERIA AV,4930,Carpinteria,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
38,KOBI,3,CARPINTERIA AV,4930,Carpinteria,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
39,TRFO,2,CARPINTERIA AV,4924,Carpinteria,Trachycarpus fortunei,WINDMILL PALM,PES
40,TRFO,2,CARPINTERIA AV,4920,Carpinteria,Trachycarpus fortunei,WINDMILL PALM,PES
41,TRFO,2,CARPINTERIA AV,4920,Carpinteria,Trachycarpus fortunei,WINDMILL PALM,PES
42,ULPA,3,CARPINTERIA AV,4904,Carpinteria,Ulmus parvifolia,CHINESE ELM,BDM
43,TRFO,2,CARPINTERIA AV,4890,Carpinteria,Trachycarpus fortunei,WINDMILL PALM,PES
44,TRFO,2,CARPINTERIA AV,4890,Carpinteria,Trachycarpus fortunei,WINDMILL PALM,PES
45,KOBI,2,CARPINTERIA AV,4890,Carpinteria,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
46,QUAG,1,CARPINTERIA AV,4801,Carpinteria,Quercus agrifolia,COAST LIVE OAK,BEL
47,TRFO,2,CARPINTERIA AV,4801,Carpinteria,Trachycarpus fortunei,WINDMILL PALM,PES
48,TRFO,2,CARPINTERIA AV,4801,Carpinteria,Trachycarpus fortunei,WINDMILL PALM,PES
49,TRFO,1,CARPINTERIA AV,4801,Carpinteria,Trachycarpus fortunei,WINDMILL PALM,PES
50,KOBI,2,CARPINTERIA AV,4835,Carpinteria,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
51,KOBI,2,CARPINTERIA AV,4835,Carpinteria,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
52,TRFO,2,CARPINTERIA AV,4859,Carpinteria,Trachycarpus fortunei,WINDMILL PALM,PES
53,TRFO,2,CARPINTERIA AV,4859,Carpinteria,Trachycarpus fortunei,WINDMILL PALM,PES
54,KOBI,2,CARPINTERIA AV,4869,Carpinteria,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
55,KOBI,1,CARPINTERIA AV,4897,Carpinteria,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
56,TRFO,2,CARPINTERIA AV,4897,Carpinteria,Trachycarpus fortunei,WINDMILL PALM,PES
57,TRFO,2,CARPINTERIA AV,4897,Carpinteria,Trachycarpus fortunei,WINDMILL PALM,PES
58,TRFO,2,CARPINTERIA AV,4897,Carpinteria,Trachycarpus fortunei,WINDMILL PALM,PES
59,ULPA,2,CARPINTERIA AV,4897,Carpinteria,Ulmus parvifolia,CHINESE ELM,BDM
60,ULPA,2,CARPINTERIA AV,4915,Carpinteria,Ulmus parvifolia,CHINESE ELM,BDM
61,TRFO,2,CARPINTERIA AV,4915,Carpinteria,Trachycarpus fortunei,WINDMILL PALM,PES
62,TRFO,1,CARPINTERIA AV,4915,Carpinteria,Trachycarpus fortunei,WINDMILL PALM,PES
63,TRFO,2,CARPINTERIA AV,4915,Carpinteria,Trachycarpus fortunei,WINDMILL PALM,PES
64,KOBI,2,CARPINTERIA AV,4945,Carpinteria,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
65,KOBI,2,CARPINTERIA AV,4945,Carpinteria,Koelreuteria bipinnata,CHINESE FLAME TREE,BDM
66,TRFO,2,CARPINTERIA AV,4945,Carpinteria,Trachycarpus fortunei,WINDMILL PALM,PES
67,TRFO,2,CARPINTERIA AV,4945,Carpinteria,Trachycarpus fortunei,WINDMILL PALM,PES
