Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,LAIN,2,15TH ST /E,206,Costa Mesa,Lagerstroemia indica,CRAPE MYRTLE,BDS
5,PICA,2,15TH ST /E,226,Costa Mesa,Pinus canariensis,CANARY ISLAND PINE,CEL
6,PHDA4,2,15TH ST /E,226,Costa Mesa,Syagrus romanzoffiana,QUEEN PALM,PEL
24,CACI,2,15TH ST /E,368,Costa Mesa,Callistemon citrinus,LEMON BOTTLEBRUSH,BES
26,PICA,3,15TH ST /E,380,Costa Mesa,Pinus canariensis,CANARY ISLAND PINE,CEL
27,PICA,3,15TH ST /E,392,Costa Mesa,Pinus canariensis,CANARY ISLAND PINE,CEL
29,PRAR,2,16TH PL,200,Costa Mesa,Pyrus calleryana,ORNAMENTAL PEAR,BDM
30,PRAR,1,16TH PL,200,Costa Mesa,Pyrus calleryana,ORNAMENTAL PEAR,BDM
31,PHDA4,2,16TH PL,204,Costa Mesa,Syagrus romanzoffiana,QUEEN PALM,PEL
32,ARCU,1,16TH PL,207,Costa Mesa,Archontophoenix cunninghamiana,KING PALM,PES
33,PYKA,2,16TH PL,210,Costa Mesa,Pyrus kawakamii,EVERGREEN PEAR,BDS
34,PYKA,2,16TH PL,210,Costa Mesa,Pyrus kawakamii,EVERGREEN PEAR,BDS
35,ARCU,1,16TH PL,211,Costa Mesa,Archontophoenix cunninghamiana,KING PALM,PES
37,PHDA4,2,16TH PL,217,Costa Mesa,Syagrus romanzoffiana,QUEEN PALM,PEL
38,PRAR,2,16TH PL,217,Costa Mesa,Pyrus calleryana,ORNAMENTAL PEAR,BDM
40,ULPA,3,16TH PL,233,Costa Mesa,Ulmus parvifolia,CHINESE ELM,BDM
43,MEQU,2,16TH PL,240,Costa Mesa,Melaleuca quinquenervia,CAJEPUT TREE,BEL
44,MEQU,3,16TH PL,240,Costa Mesa,Melaleuca quinquenervia,CAJEPUT TREE,BEL
47,MEQU,2,16TH PL,256,Costa Mesa,Melaleuca quinquenervia,CAJEPUT TREE,BEL
48,MEQU,4,16TH PL,256,Costa Mesa,Melaleuca quinquenervia,CAJEPUT TREE,BEL
50,MEQU,3,16TH PL,260,Costa Mesa,Melaleuca quinquenervia,CAJEPUT TREE,BEL
55,MEQU,3,16TH PL,268,Costa Mesa,Melaleuca quinquenervia,CAJEPUT TREE,BEL
59,MEQU,3,16TH PL,280,Costa Mesa,Melaleuca quinquenervia,CAJEPUT TREE,BEL
60,MEQU,2,16TH PL,284,Costa Mesa,Melaleuca quinquenervia,CAJEPUT TREE,BEL
61,MEQU,2,16TH PL,284,Costa Mesa,Melaleuca quinquenervia,CAJEPUT TREE,BEL
62,MEQU,3,16TH PL,288,Costa Mesa,Melaleuca quinquenervia,CAJEPUT TREE,BEL
63,MEQU,3,16TH PL,292,Costa Mesa,Melaleuca quinquenervia,CAJEPUT TREE,BEL
65,MEQU,2,16TH PL,296,Costa Mesa,Melaleuca quinquenervia,CAJEPUT TREE,BEL
66,LIST,2,16TH PL,296,Costa Mesa,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
67,LIST,2,16TH PL,296,Costa Mesa,Liquidambar styraciflua,AMERICAN SWEETGUM,BDL
68,LIST,2,16TH PL,296,Costa Mesa,Liquidambar styraciflua,ROUND-LEAFED SWEETGUM,BDL
