Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,PHCA,5,COUGAR PARK,2,Culver City,Phoenix canariensis,CANARY ISLAND DATE PALM,PEL
2,CAVI,1,COUGAR PARK,2,Culver City,Callistemon viminalis,WEEPING BOTTLEBRUSH,BES
3,ERCA,3,COUGAR PARK,2,Culver City,Erythrina caffra,KAFFIRBOOM CORAL TREE,BDM
4,PICA,3,COUGAR PARK,2,Culver City,Pinus canariensis,CANARY ISLAND PINE,CEL
5,WARO,3,COUGAR PARK,2,Culver City,Washingtonia robusta,MEXICAN FAN PALM,PES
6,ERCA,2,COUGAR PARK,2,Culver City,Erythrina caffra,KAFFIRBOOM CORAL TREE,BDM
7,PHCA,5,COUGAR PARK,2,Culver City,Phoenix canariensis,CANARY ISLAND DATE PALM,PEL
8,PICA,3,COUGAR PARK,2,Culver City,Pinus canariensis,CANARY ISLAND PINE,CEL
9,PHCA,1,COUGAR PARK,2,Culver City,Phoenix canariensis,CANARY ISLAND DATE PALM,PEL
10,BRPO,3,COUGAR PARK,2,Culver City,Brachychiton populneus,BOTTLE TREE,BEM
11,PICA,3,COUGAR PARK,2,Culver City,Pinus canariensis,CANARY ISLAND PINE,CEL
12,BRPO,2,COUGAR PARK,2,Culver City,Brachychiton populneus,BOTTLE TREE,BEM
13,PICA,3,COUGAR PARK,2,Culver City,Pinus canariensis,CANARY ISLAND PINE,CEL
14,PIRA,2,COUGAR PARK,2,Culver City,Pinus radiata,MONTEREY PINE,CEL
15,PICA,3,COUGAR PARK,2,Culver City,Pinus canariensis,CANARY ISLAND PINE,CEL
16,PICA,4,COUGAR PARK,2,Culver City,Pinus canariensis,CANARY ISLAND PINE,CEL
17,BRPO,2,COUGAR PARK,2,Culver City,Brachychiton populneus,BOTTLE TREE,BEM
18,ERCA,4,COUGAR PARK,2,Culver City,Erythrina caffra,KAFFIRBOOM CORAL TREE,BDM
19,BRPO,2,COUGAR PARK,2,Culver City,Brachychiton populneus,BOTTLE TREE,BEM
20,PICA,3,COUGAR PARK,2,Culver City,Pinus canariensis,CANARY ISLAND PINE,CEL
21,CUAN,1,COUGAR PARK,2,Culver City,Cupaniopsis anacardioides,CARROTWOOD,BEM
22,PHCA,1,COUGAR PARK,2,Culver City,Phoenix canariensis,CANARY ISLAND DATE PALM,PEL
23,PHCA,1,COUGAR PARK,2,Culver City,Phoenix canariensis,CANARY ISLAND DATE PALM,PEL
24,BRPO,2,COUGAR PARK,2,Culver City,Brachychiton populneus,BOTTLE TREE,BEM
25,ERCA,3,COUGAR PARK,2,Culver City,Erythrina caffra,KAFFIRBOOM CORAL TREE,BDM
26,PHCA,1,COUGAR PARK,2,Culver City,Phoenix canariensis,CANARY ISLAND DATE PALM,PEL
27,PHCA,1,COUGAR PARK,2,Culver City,Phoenix canariensis,CANARY ISLAND DATE PALM,PEL
28,PIRA,3,COUGAR PARK,2,Culver City,Pinus radiata,MONTEREY PINE,CEL
29,PICA,3,COUGAR PARK,2,Culver City,Pinus canariensis,CANARY ISLAND PINE,CEL
30,PICA,3,COUGAR PARK,2,Culver City,Pinus canariensis,CANARY ISLAND PINE,CEL
31,ERCA,4,COUGAR PARK,2,Culver City,Erythrina caffra,KAFFIRBOOM CORAL TREE,BDM
32,PICA,4,COUGAR PARK,2,Culver City,Pinus canariensis,CANARY ISLAND PINE,CEL
33,PICA,3,COUGAR PARK,2,Culver City,Pinus canariensis,CANARY ISLAND PINE,CEL
34,PICA,4,COUGAR PARK,2,Culver City,Pinus canariensis,CANARY ISLAND PINE,CEL
35,BRPO,2,COUGAR PARK,2,Culver City,Brachychiton populneus,BOTTLE TREE,BEM
36,PIRA,2,COUGAR PARK,2,Culver City,Pinus radiata,MONTEREY PINE,CEL
37,CAVI,1,COUGAR PARK,2,Culver City,Callistemon viminalis,WEEPING BOTTLEBRUSH,BES
38,PICA,3,COUGAR PARK,2,Culver City,Pinus canariensis,CANARY ISLAND PINE,CEL
39,PHCA,1,COUGAR PARK,2,Culver City,Phoenix canariensis,CANARY ISLAND DATE PALM,PEL
40,SCTE,2,COUGAR PARK,2,Culver City,Schinus terebinthifolius,BRAZILIAN PEPPER,BES
41,PICA,3,COUGAR PARK,2,Culver City,Pinus canariensis,CANARY ISLAND PINE,CEL
42,PICA,3,COUGAR PARK,2,Culver City,Pinus canariensis,CANARY ISLAND PINE,CEL
43,PHCA,1,COUGAR PARK,2,Culver City,Phoenix canariensis,CANARY ISLAND DATE PALM,PEL
44,PHCA,1,COUGAR PARK,2,Culver City,Phoenix canariensis,CANARY ISLAND DATE PALM,PEL
45,BRPO,2,COUGAR PARK,2,Culver City,Brachychiton populneus,BOTTLE TREE,BEM
46,ERCA,3,COUGAR PARK,2,Culver City,Erythrina caffra,KAFFIRBOOM CORAL TREE,BDM
47,PHCA,1,COUGAR PARK,2,Culver City,Phoenix canariensis,CANARY ISLAND DATE PALM,PEL
48,PHCA,1,COUGAR PARK,2,Culver City,Phoenix canariensis,CANARY ISLAND DATE PALM,PEL
49,PICA,1,COUGAR PARK,2,Culver City,Pinus canariensis,CANARY ISLAND PINE,CEL
50,WARO,3,COUGAR PARK,2,Culver City,Washingtonia robusta,MEXICAN FAN PALM,PES
51,PICA,3,COUGAR PARK,2,Culver City,Pinus canariensis,CANARY ISLAND PINE,CEL
52,ERCA,3,COUGAR PARK,2,Culver City,Erythrina caffra,KAFFIRBOOM CORAL TREE,BDM
53,JAMI,3,RANCH RD,10721,Culver City,Jacaranda mimosifolia,JACARANDA,BDM
54,FIRU,5,RANCH RD,10748,Culver City,Ficus microcarpa nitida,INDIAN LAUREL FIG,BEM
55,FIRU,5,RANCH RD,10748,Culver City,Ficus microcarpa nitida,INDIAN LAUREL FIG,BEM
56,FIRU,5,RANCH RD,10750,Culver City,Ficus microcarpa nitida,INDIAN LAUREL FIG,BEM
57,FIRU,5,RANCH RD,10752,Culver City,Ficus microcarpa nitida,INDIAN LAUREL FIG,BEM
58,FIRU,5,RANCH RD,10752,Culver City,Ficus microcarpa nitida,INDIAN LAUREL FIG,BEM
59,FIRU,5,RANCH RD,10752,Culver City,Ficus microcarpa nitida,INDIAN LAUREL FIG,BEM
60,FIRU,5,RANCH RD,10752,Culver City,Ficus microcarpa nitida,INDIAN LAUREL FIG,BEM
61,FIRU,5,RANCH RD,10775,Culver City,Ficus microcarpa nitida,INDIAN LAUREL FIG,BEM
