Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,EURU,3,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
2,EURU,3,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
3,SCTE,2,NATURE PARK,2,Cypress,Schinus terebinthifolius,BRAZILIAN PEPPER,BES
4,SCTE,2,NATURE PARK,2,Cypress,Schinus terebinthifolius,BRAZILIAN PEPPER,BES
5,EURU,3,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
6,EURU,3,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
7,ACDE,3,NATURE PARK,2,Cypress,Acacia species,ACACIA,BEM
8,ACDE,3,NATURE PARK,2,Cypress,Acacia species,ACACIA,BEM
9,ACDE,3,NATURE PARK,2,Cypress,Acacia species,ACACIA,BEM
10,WARO,2,NATURE PARK,2,Cypress,Washingtonia robusta,MEXICAN FAN PALM,PES
11,EURU,3,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
12,EURU,4,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
13,EURU,4,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
14,EURU,4,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
15,EURU,4,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
16,EURU,4,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
17,SCTE,2,NATURE PARK,2,Cypress,Schinus terebinthifolius,BRAZILIAN PEPPER,BES
18,SCTE,2,NATURE PARK,2,Cypress,Schinus terebinthifolius,BRAZILIAN PEPPER,BES
19,SCTE,2,NATURE PARK,2,Cypress,Schinus terebinthifolius,BRAZILIAN PEPPER,BES
20,EURU,3,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
21,EURU,5,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
22,WARO,3,NATURE PARK,2,Cypress,Washingtonia robusta,MEXICAN FAN PALM,PES
23,EUCA1,3,NATURE PARK,2,Cypress,Eucalyptus camaldulensis,RED GUM,BEL
24,EUCA1,3,NATURE PARK,2,Cypress,Eucalyptus camaldulensis,RED GUM,BEL
25,EUCA1,3,NATURE PARK,2,Cypress,Eucalyptus camaldulensis,RED GUM,BEL
26,ACDE,3,NATURE PARK,2,Cypress,Acacia species,ACACIA,BEM
27,EURU,3,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
28,EURU,3,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
29,EURU,3,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
30,SCTE,3,NATURE PARK,2,Cypress,Schinus terebinthifolius,BRAZILIAN PEPPER,BES
31,SCTE,3,NATURE PARK,2,Cypress,Schinus terebinthifolius,BRAZILIAN PEPPER,BES
32,EURU,3,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
33,EURU,3,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
34,EURU,3,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
35,EURU,4,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
36,CESI3,3,NATURE PARK,2,Cypress,Ceratonia siliqua,CAROB,BEM
37,EUCA1,4,NATURE PARK,2,Cypress,Eucalyptus camaldulensis,RED GUM,BEL
38,EURU,4,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
39,EUCA1,3,NATURE PARK,2,Cypress,Eucalyptus camaldulensis,RED GUM,BEL
40,EUCA1,3,NATURE PARK,2,Cypress,Eucalyptus camaldulensis,RED GUM,BEL
41,EUCA1,3,NATURE PARK,2,Cypress,Eucalyptus camaldulensis,RED GUM,BEL
42,EURU,3,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
43,WARO,3,NATURE PARK,2,Cypress,Washingtonia robusta,MEXICAN FAN PALM,PES
44,WARO,3,NATURE PARK,2,Cypress,Washingtonia robusta,MEXICAN FAN PALM,PES
45,WARO,3,NATURE PARK,2,Cypress,Washingtonia robusta,MEXICAN FAN PALM,PES
46,SCTE,2,NATURE PARK,2,Cypress,Schinus terebinthifolius,BRAZILIAN PEPPER,BES
47,CESI3,3,NATURE PARK,2,Cypress,Ceratonia siliqua,CAROB,BEM
48,EURU,3,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
49,EURU,5,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
50,WARO,3,NATURE PARK,2,Cypress,Washingtonia robusta,MEXICAN FAN PALM,PES
51,EURU,3,NATURE PARK,2,Cypress,Eucalyptus rudis,DESERT GUM,BEL
52,WARO,3,NATURE PARK,2,Cypress,Washingtonia robusta,MEXICAN FAN PALM,PES
