Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,PICA,2,WOTAN DR,1096,Encinitas,Pinus canariensis,CANARY ISLAND PINE,CEL
2,CALE,1,LEGAYE DR,1637,Encinitas,Cassia leptophylla,GOLD MEDALLION TREE,BDS
3,PHDA4,2,LEGAYE DR,1605,Encinitas,Syagrus romanzoffiana,QUEEN PALM,PEL
4,PHDA4,2,LEGAYE DR,1605,Encinitas,Syagrus romanzoffiana,QUEEN PALM,PEL
5,CALE,1,LEGAYE DR,1727,Encinitas,Cassia leptophylla,GOLD MEDALLION TREE,BDS
6,ERDE,1,LEGAYE DR,1644,Encinitas,Eriobotrya deflexa,BRONZE LOQUAT,BES
7,ERDE,1,LEGAYE DR,1644,Encinitas,Eriobotrya deflexa,BRONZE LOQUAT,BES
8,PHDA4,2,CREST DR,1658,Encinitas,Syagrus romanzoffiana,QUEEN PALM,PEL
9,PIRA,1,WOTAN DR,1005,Encinitas,Pinus radiata,MONTEREY PINE,CEL
10,PHCA,5,CREST DR,1378,Encinitas,Phoenix canariensis,CANARY ISLAND DATE PALM,PEL
11,CALE,1,LEGAYE DR,1612,Encinitas,Cassia leptophylla,GOLD MEDALLION TREE,BDS
12,BAVA,1,LEGAYE DR,1612,Encinitas,Bauhinia variegata,PURPLE ORCHID TREE,BEM
14,PHDA4,2,LEGAYE DR,1636,Encinitas,Syagrus romanzoffiana,QUEEN PALM,PEL
15,PHDA4,2,LEGAYE DR,1660,Encinitas,Syagrus romanzoffiana,QUEEN PALM,PEL
16,BES OTHER,1,LEGAYE DR,1718,Encinitas,Rhaphiolepis 'Majestic Beauty',INDIAN HAWTHORNE,BES
17,BES OTHER,1,LEGAYE DR,1718,Encinitas,Rhaphiolepis 'Majestic Beauty',INDIAN HAWTHORNE,BES
18,BES OTHER,1,LEGAYE DR,1718,Encinitas,Rhaphiolepis 'Majestic Beauty',INDIAN HAWTHORNE,BES
19,PHDA4,2,LEGAYE DR,1711,Encinitas,Syagrus romanzoffiana,QUEEN PALM,PEL
20,GIBI,1,LEGAYE DR,1628,Encinitas,Tabebuia chrysotricha,GOLDEN TRUMPET TREE,BDM
21,PITO2,3,DEWITT AV,1012,Encinitas,Pinus torreyana,TORREY PINE,CEL
22,FIBE,2,DEWITT AV,1020,Encinitas,Ficus benjamina,WEEPING FIG,BEM
24,FIRU,5,LA MESA AV,181,Encinitas,Ficus microcarpa nitida,INDIAN LAUREL FIG,BEM
25,FIRU,5,LA MESA AV,181,Encinitas,Ficus microcarpa nitida,INDIAN LAUREL FIG,BEM
