Id.x,SpsCode,DBH,StreetName,City
59007,ACBA2,1,Turtle Rock Community Park,Irvine
57737,ACBA2,1,Turtle Rock Community Park,Irvine
59008,ACBA2,1,Turtle Rock Community Park,Irvine
58141,ACBA2,1,Turtle Rock Community Park,Irvine
58000,ACBA2,1,Turtle Rock Community Park,Irvine
57738,ACBA2,1,Turtle Rock Community Park,Irvine
57698,ACBA2,1,Turtle Rock Community Park,Irvine
3673,ACBA2,1,Turtle Rock Community Park,Irvine
58140,ACBA2,1,Turtle Rock Community Park,Irvine
58043,ACBA2,1,Turtle Rock Community Park,Irvine
57736,ACBA2,1,Turtle Rock Community Park,Irvine
58001,ACBA2,1,Turtle Rock Community Park,Irvine
57699,ACBA2,1,Turtle Rock Community Park,Irvine
57771,ACBA2,1,Turtle Rock Community Park,Irvine
48499,ACME,1,Heritage Community Park,Irvine
48756,ACME,1,Heritage Community Park,Irvine
48515,ACME,1,Heritage Community Park,Irvine
50376,ACME,1,Heritage Community Park,Irvine
16155,ACME,2,,Irvine
18008,ACME,1,Heritage Community Park,Irvine
48431,ACME,1,Heritage Community Park,Irvine
5218,ACME,1,Btwn. Michelson Dr. and 405 Fwy.,Irvine
48559,ACME,1,Heritage Community Park,Irvine
48563,ACME,1,Heritage Community Park,Irvine
57210,ACME,1,Heritage Community Park,Irvine
49422,ACME,1,Heritage Community Park,Irvine
48602,ACME,1,Heritage Community Park,Irvine
48430,ACME,1,Heritage Community Park,Irvine
48520,ACME,1,Heritage Community Park,Irvine
57178,ACME,1,Heritage Community Park,Irvine
48521,ACME,1,Heritage Community Park,Irvine
50377,ACME,1,Heritage Community Park,Irvine
49424,ACME,1,Heritage Community Park,Irvine
48503,ACME,1,Heritage Community Park,Irvine
48482,ACME,2,Heritage Community Park,Irvine
48485,ACME,1,Heritage Community Park,Irvine
48422,ACME,1,Heritage Community Park,Irvine
48486,ACME,1,Heritage Community Park,Irvine
48433,ACME,1,Heritage Community Park,Irvine
48516,ACME,1,Heritage Community Park,Irvine
48560,ACME,1,Heritage Community Park,Irvine
57347,ACME,2,Heritage Community Park,Irvine
48487,ACME,1,Heritage Community Park,Irvine
48600,ACME,2,Heritage Community Park,Irvine
48484,ACME,1,Heritage Community Park,Irvine
48518,ACME,2,Heritage Community Park,Irvine
49423,ACME,1,Heritage Community Park,Irvine
49421,ACME,1,Heritage Community Park,Irvine
48613,ACME,1,Heritage Community Park,Irvine
47610,ACME,1,Heritage Community Park,Irvine
48432,ACME,1,Heritage Community Park,Irvine
48434,ACME,1,Heritage Community Park,Irvine
48502,ACME,1,Heritage Community Park,Irvine
48517,ACME,1,Heritage Community Park,Irvine
2619,ACPA,2,Civic Center,Irvine
50255,ACPA,1,,Irvine
17900,ACSA1,3,Ranch Park,Irvine
17799,ACSA1,2,Ranch Park,Irvine
17901,ACSA1,2,Ranch Park,Irvine
17778,ACSA1,3,Ranch Park,Irvine
8208,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
29900,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
29946,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
29899,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
29564,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
19487,AGFL,1,Sand Canyon Pkwy w/s btw Trabuco & Towngate,Irvine
29385,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
29890,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
29422,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
7812,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
29368,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
31135,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
29876,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
