Id.x,SpsCode,DBH,StreetName,StreetNumber,City
4,ACBA2,1,ORIEN AV,7450,La Mesa
17,ACBA2,1,DUGAN AV,5930,La Mesa
5,ACBA2,1,ORIEN AV,7450,La Mesa
1,ACBA2,1,ORIEN AV,7450,La Mesa
8,ACBA2,1,ORIEN AV,7450,La Mesa
9,ACBA2,1,ORIEN AV,7450,La Mesa
2,ACBA2,1,ORIEN AV,7450,La Mesa
16,ACBA2,1,ORIEN AV,7450,La Mesa
11,ACBA2,1,ORIEN AV,7450,La Mesa
18,ACBA2,1,DUGAN AV,5930,La Mesa
13,ACBA2,1,ORIEN AV,7450,La Mesa
14,ACBA2,1,ORIEN AV,7450,La Mesa
10,ACBA2,1,ORIEN AV,7450,La Mesa
7,ACBA2,1,ORIEN AV,7450,La Mesa
6,ACBA2,1,ORIEN AV,7450,La Mesa
20,ACBA2,1,JUNIOR HIGH DR,7700,La Mesa
15,ACBA2,1,ORIEN AV,7450,La Mesa
12,ACBA2,1,ORIEN AV,7450,La Mesa
3,ACBA2,1,ORIEN AV,7450,La Mesa
19,ACBA2,2,ZORA ST,5980,La Mesa
21,ACDE,2,PORTER HALL,2,La Mesa
25,ACLO,1,SUN VALLEY GOLF COURSE,2,La Mesa
24,ACLO,1,SUN VALLEY GOLF COURSE,2,La Mesa
22,ACLO,1,JUNIOR HIGH DR,7700,La Mesa
23,ACLO,1,JUNIOR HIGH DR,7700,La Mesa
33,ACME,2,HIGHLAND AV,4775,La Mesa
26,ACME,2,LA MESITA PL,7321,La Mesa
35,ACME,2,ROLANDO PARK,2,La Mesa
27,ACME,2,GUAVA AV,5050,La Mesa
34,ACME,2,ROLANDO PARK,2,La Mesa
30,ACME,2,LEE AV,4849,La Mesa
32,ACME,2,LEE AV,4849,La Mesa
29,ACME,2,LEE AV,4849,La Mesa
28,ACME,2,GUAVA AV,5050,La Mesa
31,ACME,2,LEE AV,4849,La Mesa
36,ACME,4,COLLIER PARK,2,La Mesa
46,ACPA,1,SHIRLEY DR,9225,La Mesa
47,ACRU,1,AMARILLO AV,5735,La Mesa
48,ACSA1,2,SHIRLENE PL,3820,La Mesa
49,AC,3,3RD ST,4560,La Mesa
50,AC,1,FLETCHER PKWY,8200,La Mesa
56,AGFL,2,MICHELLE DR,8025,La Mesa
53,AGFL,1,73RD ST,4610,La Mesa
52,AGFL,2,PRINCETON AV,7334,La Mesa
54,AGFL,1,GLEN ST,4670,La Mesa
57,AGFL,1,CRESTHAVEN DR,6250,La Mesa
58,AGFL,1,HARRY GRIFFEN PARK,2,La Mesa
55,AGFL,3,LAIRD ST,8120,La Mesa
51,AGFL,2,LA MESITA PL,7370,La Mesa
62,ALJU,2,LA MESITA PL,7300,La Mesa
82,ALJU,2,HARRY GRIFFEN PARK,2,La Mesa
68,ALJU,1,LUBBOCK AV MINI PARK,2,La Mesa
63,ALJU,1,4TH ST,4677,La Mesa
72,ALJU,2,HARRY GRIFFEN PARK,2,La Mesa
80,ALJU,2,HARRY GRIFFEN PARK,2,La Mesa
65,ALJU,3,LAKE MURRAY BL,5990,La Mesa
81,ALJU,2,HARRY GRIFFEN PARK,2,La Mesa
70,ALJU,2,HARRY GRIFFEN PARK,2,La Mesa
78,ALJU,2,HARRY GRIFFEN PARK,2,La Mesa
71,ALJU,2,HARRY GRIFFEN PARK,2,La Mesa
69,ALJU,2,HARRY GRIFFEN PARK,2,La Mesa
67,ALJU,1,LUBBOCK AV MINI PARK,2,La Mesa
64,ALJU,2,EL PASO ST,7513,La Mesa
77,ALJU,1,HARRY GRIFFEN PARK,2,La Mesa
75,ALJU,2,HARRY GRIFFEN PARK,2,La Mesa
66,ALJU,1,LUBBOCK AV MINI PARK,2,La Mesa
74,ALJU,1,HARRY GRIFFEN PARK,2,La Mesa
76,ALJU,1,HARRY GRIFFEN PARK,2,La Mesa
73,ALJU,2,HARRY GRIFFEN PARK,2,La Mesa
79,ALJU,1,HARRY GRIFFEN PARK,2,La Mesa
101,ALRH,1,WATER ST,9401,La Mesa
87,ALRH,3,AZTEC PARK,2,La Mesa
102,ALRH,3,SUN VALLEY GOLF COURSE,2,La Mesa
83,ALRH,2,MARENGO AV,5630,La Mesa
85,ALRH,3,AZTEC PARK,2,La Mesa
86,ALRH,4,AZTEC PARK,2,La Mesa
84,ALRH,2,MARENGO AV,5630,La Mesa
95,ALRH,1,WATER ST,9401,La Mesa
96,ALRH,1,WATER ST,9401,La Mesa
94,ALRH,3,NAN COUTS COTTAGE,2,La Mesa
98,ALRH,1,WATER ST,9401,La Mesa
99,ALRH,1,WATER ST,9401,La Mesa
100,ALRH,2,WATER ST,9401,La Mesa
90,ALRH,3,LA MESITA PARK,2,La Mesa
92,ALRH,3,HARRY GRIFFEN PARK,2,La Mesa
88,ALRH,2,AZTEC PARK,2,La Mesa
89,ALRH,3,NORTHMONT PARK,2,La Mesa
93,ALRH,4,HARRY GRIFFEN PARK,2,La Mesa
97,ALRH,1,WATER ST,9401,La Mesa
91,ALRH,3,HARRY GRIFFEN PARK,2,La Mesa
107,ARCO24,3,HARRY GRIFFEN PARK,2,La Mesa
105,ARCO24,2,AZTEC PARK,2,La Mesa
109,ARCO24,1,HARRY GRIFFEN PARK,2,La Mesa
110,ARCO24,1,ROLANDO PARK,2,La Mesa
108,ARCO24,2,HARRY GRIFFEN PARK,2,La Mesa
103,ARCO24,2,EL PASO ST,8280,La Mesa
106,ARCO24,3,NORTHMONT PARK,2,La Mesa
104,ARCO24,2,AZTEC PARK,2,La Mesa
112,ARHE,3,SOUTHERN RD,9185,La Mesa
113,ARHE,2,SEVERIN DR,6391,La Mesa
115,ARHE,1,HARRY GRIFFEN PARK,2,La Mesa
