Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,WARO,5,MARSALA,23661,Laguna Hills,Washingtonia robusta,MEXICAN FAN PALM,PES
2,WARO,5,MARSALA,23661,Laguna Hills,Washingtonia robusta,MEXICAN FAN PALM,PES
3,EUSI,4,FORMELLO,23812,Laguna Hills,Eucalyptus sideroxylon,RED IRONBARK,BEL
4,PYKA,2,FORMELLO,23812,Laguna Hills,Pyrus kawakamii,EVERGREEN PEAR,BDS
7,BDM OTHER,1,SUNSET PL /W,24982,Laguna Hills,Pistacia chinensis,CHINESE PISTACHE,BDM
9,QUIL2,3,MACKENZIE ST,25031,Laguna Hills,Quercus ilex,HOLLY OAK,BEL
10,PLRA,2,SUNSET PL /W,24931,Laguna Hills,Platanus acerifolia,LONDON PLANE,BDL
11,PLRA,3,SUNSET PL /W,24941,Laguna Hills,Platanus acerifolia,LONDON PLANE,BDL
12,PLRA,3,SUNSET PL /W,24951,Laguna Hills,Platanus acerifolia,LONDON PLANE,BDL
13,PLRA,3,SUNSET PL /W,24975,Laguna Hills,Platanus acerifolia,LONDON PLANE,BDL
14,PLRA,3,SUNSET PL /W,24981,Laguna Hills,Platanus acerifolia,LONDON PLANE,BDL
15,PLRA,3,SUNSET PL /W,24985,Laguna Hills,Platanus acerifolia,LONDON PLANE,BDL
16,PLRA,3,SUNSET PL /W,25011,Laguna Hills,Platanus acerifolia,LONDON PLANE,BDL
17,PLRA,2,SUNSET PL /W,25015,Laguna Hills,Platanus acerifolia,LONDON PLANE,BDL
18,PLRA,3,SUNSET PL /W,25031,Laguna Hills,Platanus acerifolia,LONDON PLANE,BDL
19,PLRA,3,SUNSET PL /W,25041,Laguna Hills,Platanus acerifolia,LONDON PLANE,BDL
20,PLRA,3,SUNSET PL /W,25045,Laguna Hills,Platanus acerifolia,LONDON PLANE,BDL
21,PLRA,3,SUNSET PL /W,25081,Laguna Hills,Platanus acerifolia,LONDON PLANE,BDL
