Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
2,LAIN,1,EMERSON AV /W,731,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
3,LAIN,1,EMERSON AV /W,725,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
5,LAIN,2,EMERSON AV /W,719,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
8,LAIN,2,CHANDLER AV /N,403,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
9,LAIN,1,CHANDLER AV /N,403,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
10,LAIN,1,CHANDLER AV /N,400,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
11,LAIN,2,CHANDLER AV /N,400,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
12,LAIN,2,CHANDLER AV /N,400,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
13,LAIN,2,CHANDLER AV /N,400,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
14,LAIN,1,EMERSON AV /W,609,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
15,LAIN,2,EMERSON AV /W,601,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
16,JAMI,3,EMERSON AV /W,601,Monterey Park,Jacaranda mimosifolia,JACARANDA,BDM
17,LAIN,2,EMERSON AV /W,601,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
18,LAIN,2,MOORE AV /N,400,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
20,LAIN,1,EMERSON AV /W,519,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
21,WARO,3,EMERSON AV /W,517,Monterey Park,Washingtonia robusta,MEXICAN FAN PALM,PES
23,LAIN,1,YNEZ AV /N,401,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
25,LAIN,2,EMERSON AV /W,508,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
27,LAIN,2,EMERSON AV /W,520,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
28,LAIN,2,MOORE AV /N,330,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
29,LAIN,2,MOORE AV /N,330,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
30,LAIN,2,MOORE AV /N,333,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
32,LAIN,2,EMERSON AV /W,608,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
33,LAIN,2,EMERSON AV /W,616,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
34,LAIN,2,CHANDLER AV /N,332,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
35,LAIN,2,CHANDLER AV /N,332,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
36,LAIN,2,EMERSON AV /W,700,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
37,LAIN,2,EMERSON AV /W,712,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
38,LAIN,2,EMERSON AV /W,716,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
39,LAIN,2,EMERSON AV /W,720,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
40,LAIN,2,EMERSON AV /W,730,Monterey Park,Lagerstroemia indica,CRAPE MYRTLE,BDS
