Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,MAGR,2,ORANGE AV,13687,Paramount,Magnolia grandiflora,SOUTHERN MAGNOLIA,BEL
4,LILU,2,CLOVERLAWN DR,7141,Paramount,Ligustrum lucidum,GLOSSY PRIVET,BEM
12,WARO,4,CLOVERLAWN DR,7102,Paramount,Washingtonia robusta,MEXICAN FAN PALM,PES
13,WARO,5,CLOVERLAWN DR,7147,Paramount,Washingtonia robusta,MEXICAN FAN PALM,PES
14,MAGR,4,CLOVERLAWN DR,7147,Paramount,Magnolia grandiflora,SOUTHERN MAGNOLIA,BEL
15,ULPA,4,CLOVERLAWN DR,7147,Paramount,Ulmus parvifolia,CHINESE ELM,BDM
17,PHRO,2,ORANGE AV,13653,Paramount,Phoenix roebelenii,PYGMY DATE PALM,PES
18,PHRO,2,ORANGE AV,13653,Paramount,Phoenix roebelenii,PYGMY DATE PALM,PES
19,PHRO,2,ORANGE AV,13653,Paramount,Phoenix roebelenii,PYGMY DATE PALM,PES
20,LILU,3,ORANGE AV,13653,Paramount,Ligustrum lucidum,GLOSSY PRIVET,BEM
21,ARCU,2,ORANGE AV,13653,Paramount,Archontophoenix cunninghamiana,KING PALM,PES
22,ARCU,2,ORANGE AV,13653,Paramount,Archontophoenix cunninghamiana,KING PALM,PES
23,ARCU,2,ORANGE AV,13653,Paramount,Archontophoenix cunninghamiana,KING PALM,PES
24,ARCU,2,ORANGE AV,13653,Paramount,Archontophoenix cunninghamiana,KING PALM,PES
25,ARCU,2,ORANGE AV,13653,Paramount,Archontophoenix cunninghamiana,KING PALM,PES
26,ARCU,2,ORANGE AV,13653,Paramount,Archontophoenix cunninghamiana,KING PALM,PES
27,ARCU,2,ORANGE AV,13653,Paramount,Archontophoenix cunninghamiana,KING PALM,PES
28,ARCU,2,ORANGE AV,13653,Paramount,Archontophoenix cunninghamiana,KING PALM,PES
29,MAGR,4,CORTLAND ST,7137,Paramount,Magnolia grandiflora,SOUTHERN MAGNOLIA,BEL
30,POGR2,2,CORTLAND ST,7134,Paramount,Podocarpus gracilior,FERN PINE,CEL
31,POGR2,2,CORTLAND ST,7130,Paramount,Podocarpus gracilior,FERN PINE,CEL
39,PHRO,2,CORTLAND ST,7103,Paramount,Phoenix roebelenii,PYGMY DATE PALM,PES
54,PHDA4,3,VANNA DR,7108,Paramount,Syagrus romanzoffiana,QUEEN PALM,PEL
55,TRCO,2,VANNA DR,7108,Paramount,Tristaniopsis conferta,BRISBANE BOX,BEM
56,WARO,4,VANNA DR,7102,Paramount,Washingtonia robusta,MEXICAN FAN PALM,PES
58,LAIN,1,VANNA DR,7103,Paramount,Lagerstroemia indica,CRAPE MYRTLE,BDS
61,MAGR,4,ORANGE AV,13619,Paramount,Magnolia grandiflora,SOUTHERN MAGNOLIA,BEL
63,MAGR,4,ORANGE AV,13603,Paramount,Magnolia grandiflora,SOUTHERN MAGNOLIA,BEL
66,ARCU,1,LUGO ST,7123,Paramount,Archontophoenix cunninghamiana,KING PALM,PES
67,ARCU,1,LUGO ST,7123,Paramount,Archontophoenix cunninghamiana,KING PALM,PES
68,ARCU,1,LUGO ST,7118,Paramount,Archontophoenix cunninghamiana,KING PALM,PES
70,ARCU,2,LUGO ST,7117,Paramount,Archontophoenix cunninghamiana,KING PALM,PES
76,MAGR,4,ORANGE AV,13563,Paramount,Magnolia grandiflora,SOUTHERN MAGNOLIA,BEL
77,MAGR,3,ORANGE AV,13563,Paramount,Magnolia grandiflora,SOUTHERN MAGNOLIA,BEL
78,MAGR,3,ORANGE AV,13553,Paramount,Magnolia grandiflora,SOUTHERN MAGNOLIA,BEL
79,MAGR,3,TREVES DR,7132,Paramount,Magnolia grandiflora,SOUTHERN MAGNOLIA,BEL
80,CUSE,4,TREVES DR,7133,Paramount,Cupressus sempervirens,ITALIAN CYPRESS,CEM
81,CACI,2,TREVES DR,7133,Paramount,Callistemon citrinus,LEMON BOTTLEBRUSH,BES
82,MAGR,4,TREVES DR,7133,Paramount,Magnolia grandiflora,SOUTHERN MAGNOLIA,BEL
83,MAGR,4,TREVES DR,7133,Paramount,Magnolia grandiflora,SOUTHERN MAGNOLIA,BEL
89,PHRO,2,TREVES DR,7108,Paramount,Phoenix roebelenii,PYGMY DATE PALM,PES
95,WARO,4,HOGEE DR,7120,Paramount,Washingtonia robusta,MEXICAN FAN PALM,PES
96,WARO,4,HOGEE DR,7120,Paramount,Washingtonia robusta,MEXICAN FAN PALM,PES
97,GEPA,2,HOGEE DR,7119,Paramount,Geijera parviflora,AUSTRALIAN WILLOW,BES
98,ERJA,1,HOGEE DR,7119,Paramount,Eriobotrya japonica,EDIBLE LOQUAT,BES
