Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,PITO2,1,Double Peak Dr,1103,San Marcos,Pinus torreyana,TORREY PINE,CEL
2,BDM OTHER,1,Double Peak Dr,1103,San Marcos,Pistacia chinensis,CHINESE PISTACHE,BDM
3,PITO2,1,Double Peak Dr,1103,San Marcos,Pinus torreyana,TORREY PINE,CEL
4,BDM OTHER,1,Double Peak Dr,1103,San Marcos,Pistacia chinensis,CHINESE PISTACHE,BDM
5,PITO2,1,Double Peak Dr,1103,San Marcos,Pinus torreyana,TORREY PINE,CEL
6,PITO2,1,Double Peak Dr,1103,San Marcos,Pinus torreyana,TORREY PINE,CEL
7,PITO2,1,Double Peak Dr,1103,San Marcos,Pinus torreyana,TORREY PINE,CEL
8,PITO2,1,Double Peak Dr,1103,San Marcos,Pinus torreyana,TORREY PINE,CEL
9,PITO2,2,Double Peak Dr,1103,San Marcos,Pinus torreyana,TORREY PINE,CEL
10,BDM OTHER,1,Double Peak Dr,1103,San Marcos,Pistacia chinensis,CHINESE PISTACHE,BDM
11,PITO2,2,Double Peak Dr,1103,San Marcos,Pinus torreyana,TORREY PINE,CEL
12,PITO2,2,Double Peak Dr,1103,San Marcos,Pinus torreyana,TORREY PINE,CEL
13,BDM OTHER,1,Double Peak Dr,1175,San Marcos,Pistacia chinensis,CHINESE PISTACHE,BDM
14,PITO2,2,Double Peak Dr,1175,San Marcos,Pinus torreyana,TORREY PINE,CEL
15,PITO2,2,Double Peak Dr,1175,San Marcos,Pinus torreyana,TORREY PINE,CEL
16,BDM OTHER,1,Double Peak Dr,1175,San Marcos,Pistacia chinensis,CHINESE PISTACHE,BDM
17,PITO2,2,Double Peak Dr,1175,San Marcos,Pinus torreyana,TORREY PINE,CEL
18,PITO2,2,Double Peak Dr,1175,San Marcos,Pinus torreyana,TORREY PINE,CEL
19,BDM OTHER,1,Double Peak Dr,1175,San Marcos,Pistacia chinensis,CHINESE PISTACHE,BDM
21,PITO2,1,Double Peak Dr,1175,San Marcos,Pinus torreyana,TORREY PINE,CEL
22,PITO2,2,Double Peak Dr,1175,San Marcos,Pinus torreyana,TORREY PINE,CEL
23,BDM OTHER,1,Double Peak Dr,1175,San Marcos,Pistacia chinensis,CHINESE PISTACHE,BDM
24,PITO2,2,Double Peak Dr,1175,San Marcos,Pinus torreyana,TORREY PINE,CEL
25,PITO2,2,Double Peak Dr,1175,San Marcos,Pinus torreyana,TORREY PINE,CEL
27,PITO2,1,Double Peak Dr,1175,San Marcos,Pinus torreyana,TORREY PINE,CEL
28,BDM OTHER,1,Double Peak Dr,1175,San Marcos,Pistacia chinensis,CHINESE PISTACHE,BDM
29,PITO2,2,Double Peak Dr,1175,San Marcos,Pinus torreyana,TORREY PINE,CEL
30,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
31,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
32,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
33,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
34,BDS OTHER,1,Double Peak Dr,1175,San Marcos,Chitalpa tashkentensis,CHITALPA,BDS
35,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
36,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
37,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
38,BDS OTHER,1,Double Peak Dr,1175,San Marcos,Chitalpa tashkentensis,CHITALPA,BDS
39,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
40,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
41,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
42,BDS OTHER,1,Double Peak Dr,1175,San Marcos,Chitalpa tashkentensis,CHITALPA,BDS
43,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
44,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
45,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
46,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
47,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
48,BDS OTHER,1,Double Peak Dr,1175,San Marcos,Chitalpa tashkentensis,CHITALPA,BDS
49,BDS OTHER,1,Double Peak Dr,1175,San Marcos,Chitalpa tashkentensis,CHITALPA,BDS
50,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
51,BDS OTHER,1,Double Peak Dr,1175,San Marcos,Chitalpa tashkentensis,CHITALPA,BDS
52,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
53,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
54,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
55,BDS OTHER,1,Double Peak Dr,1175,San Marcos,Chitalpa tashkentensis,CHITALPA,BDS
56,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
57,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
58,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
59,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
60,BDS OTHER,1,Double Peak Dr,1175,San Marcos,Chitalpa tashkentensis,CHITALPA,BDS
61,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
62,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
63,BDS OTHER,1,Double Peak Dr,1175,San Marcos,Chitalpa tashkentensis,CHITALPA,BDS
64,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
65,BDS OTHER,1,Double Peak Dr,1175,San Marcos,Chitalpa tashkentensis,CHITALPA,BDS
66,BDS OTHER,1,Double Peak Dr,1175,San Marcos,Chitalpa tashkentensis,CHITALPA,BDS
67,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
68,BDS OTHER,1,Double Peak Dr,1175,San Marcos,Chitalpa tashkentensis,CHITALPA,BDS
69,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
70,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
71,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
72,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
73,BDS OTHER,1,Double Peak Dr,1175,San Marcos,Chitalpa tashkentensis,CHITALPA,BDS
74,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
75,BDS OTHER,1,Double Peak Dr,1175,San Marcos,Chitalpa tashkentensis,CHITALPA,BDS
76,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
77,BDS OTHER,1,Double Peak Dr,1175,San Marcos,Chitalpa tashkentensis,CHITALPA,BDS
78,BDS OTHER,1,Double Peak Dr,1175,San Marcos,Chitalpa tashkentensis,CHITALPA,BDS
79,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
80,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
81,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
82,BDS OTHER,1,Double Peak Dr,1175,San Marcos,Chitalpa tashkentensis,CHITALPA,BDS
83,GEPA,1,Double Peak Dr,1175,San Marcos,Geijera parviflora,AUSTRALIAN WILLOW,BES
