Id.x,SpCode,DBH,StreetName,StreetNumber,City,Botanic Name,Common Name,Tree Type
1,WARO,3,WILSHIRE BL,335,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
2,WARO,3,WILSHIRE BL,325,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
3,WARO,3,WILSHIRE BL,325,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
4,WARO,3,WILSHIRE BL,321,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
5,WARO,3,WILSHIRE BL,319,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
6,WARO,3,WILSHIRE BL,315,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
7,WARO,3,WILSHIRE BL,309,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
8,WARO,3,WILSHIRE BL,301,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
9,WARO,3,WILSHIRE BL,301,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
10,WARO,3,WILSHIRE BL,233,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
11,WARO,3,WILSHIRE BL,233,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
12,WARO,3,WILSHIRE BL,233,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
13,WARO,3,WILSHIRE BL,233,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
14,WARO,3,WILSHIRE BL,233,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
15,WARO,3,WILSHIRE BL,201,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
16,WARO,3,WILSHIRE BL,201,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
17,WARO,3,WILSHIRE BL,201,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
18,WARO,3,WILSHIRE BL,201,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
19,WARO,3,WILSHIRE BL,201,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
20,WARO,3,WILSHIRE BL,101,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
21,WARO,3,WILSHIRE BL,101,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
22,WARO,3,WILSHIRE BL,101,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
23,WARO,3,WILSHIRE BL,101,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
24,WARO,3,WILSHIRE BL,101,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
25,WARO,3,WILSHIRE BL,101,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
26,WARO,3,WILSHIRE BL,100,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
27,WARO,3,WILSHIRE BL,100,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
28,WARO,3,WILSHIRE BL,100,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
29,WARO,3,WILSHIRE BL,100,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
30,WARO,3,WILSHIRE BL,100,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
31,WARO,3,WILSHIRE BL,120,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
32,WARO,3,WILSHIRE BL,120,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
33,WARO,3,WILSHIRE BL,120,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
34,WARO,3,WILSHIRE BL,202,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
35,WARO,3,WILSHIRE BL,214,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
36,WARO,3,WILSHIRE BL,230,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
37,WARO,3,WILSHIRE BL,230,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
38,WARO,3,WILSHIRE BL,230,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
39,WARO,3,WILSHIRE BL,230,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
40,WARO,3,WILSHIRE BL,230,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
41,WARO,3,3RD STREET PROMENADE,1201,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
42,WARO,3,3RD STREET PROMENADE,1201,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
43,WARO,3,3RD STREET PROMENADE,1201,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
44,WARO,3,WILSHIRE BL,312,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
45,WARO,3,WILSHIRE BL,320,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
46,WARO,3,WILSHIRE BL,322,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
47,WARO,3,WILSHIRE BL,326,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
48,WARO,3,WILSHIRE BL,326,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
49,WARO,3,WILSHIRE BL,400,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
50,WARO,3,WILSHIRE BL,400,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
51,WARO,3,WILSHIRE BL,406,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
52,WARO,3,WILSHIRE BL,408,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
53,WARO,3,WILSHIRE BL,410,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
54,WARO,2,WILSHIRE BL,418,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
55,WARO,3,WILSHIRE BL,424,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
56,WARO,3,WILSHIRE BL,432,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
57,WARO,3,WILSHIRE BL,500,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
58,WARO,3,WILSHIRE BL,500,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
59,WARO,3,WILSHIRE BL,500,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
60,WARO,3,WILSHIRE BL,510,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
61,WARO,3,WILSHIRE BL,514,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
62,WARO,3,WILSHIRE BL,522,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
63,WARO,3,WILSHIRE BL,524,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
64,WARO,3,WILSHIRE BL,524,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
65,WARO,3,WILSHIRE BL,524,Santa Monica,Washingtonia robusta,MEXICAN FAN PALM,PES
