ClimateZone,SpeciesCode,ScientificName,CommonName,TreeType,SppValueAssignment
SWDistrict,ACAN,Acacia aneura,Mulga,BES,ACSA3
SWDistrict,ACFA,Acacia farnesiana,Sweet acacia,BDS,ACFA
SWDistrict,ACMI,Acacia millefolia,Milfoil wattle,BES,ACSA3
SWDistrict,ACSA3,Acacia salicina,Willow acacia,BEM,ACSA3
SWDistrict,ACSA,Acacia saligna,Orange wattle,BES,ACSA3
SWDistrict,ACSP2,Acacia  species,Acacia,BES,ACSA3
SWDistrict,ACST,Acacia stenophylla,Shoestring acacia,BES,BES OTHER
SWDistrict,ALJU,Albizia julibrissin,Mimosa,BDM,BDM OTHER
SWDistrict,ARRO,Arecastrum romanzoffianum,Queen palm,PES,PES OTHER
SWDistrict,BAVA,Bauhinia variegata,Mountain ebony,BDS,BDS OTHER
SWDistrict,BRPO,Brachychiton populneum,Bottle tree,BEM,BRPO
SWDistrict,BRAR,Brahea armata,Mexican blue palm,PES,PES OTHER
SWDistrict,CAVI,Callistemon viminalis,Weeping bottlebrush,BES,BES OTHER
SWDistrict,CAIL,Carya illinoinensis,Pecan,BDL,BDL OTHER
SWDistrict,CAEQ,Casuarina equisetifolia,Australian pine,CEL,CEL OTHER
SWDistrict,CESI3,Ceratonia siliqua,Algarrobo europeo,BEM,BEM OTHER
SWDistrict,CEFL,Parkinsonia florida,Blue paloverde,BDM,CEFL
SWDistrict,CEMI,Parkinsonia microphylla,Yellow paloverde,BDS,CEFL
SWDistrict,CEPR,Cercidium praecox,Sonoran palo verde,BDS,CEFL
SWDistrict,CHHU,Chamaerops humilis,Mediterranean fan palm,BES,BES OTHER
SWDistrict,CHLI,Chilopsis linearis,Desert willow,BDS,CHLI
SWDistrict,CISP,Citrus  species,Citrus,BES,BES OTHER
SWDistrict,CUGU,Cupressus guadalupensis,Guadaluoe cypress,CEL,CEL OTHER
SWDistrict,CUSE,Cupressus sempervirens,Italian cypress,CEL,CEL OTHER
SWDistrict,CYOB,Cydonia oblonga,Quince,BDS,BDS OTHER
SWDistrict,DASI,Dalbergia sissoo,India rosewood,BEL,BEM OTHER
SWDistrict,EBEB,Ebenopsis ebano,Texas ebony,BES,BES OTHER
SWDistrict,EUCA1,Eucalyptus camaldulensis,Red gum eucalyptus,BEL,EUMI2
SWDistrict,EULE,Eucalyptus leucoxylon,White ironbark,BEL,EUMI2
SWDistrict,EUMI2,Eucalyptus microtheca,Coolibah tree,BEL,EUMI2
SWDistrict,EUPO,Eucalyptus polyanthemos,Sliver dollar gum eucalyptus,BEL,BEL OTHER
