Species,Author notes,Source URL,Kingdom,Subkingdom,Infrakingdom,Superdivision,Division,Subdivision,Phylum,Subphylum,Class,Subclass,Superorder,Order,Family,subfamily,Genus
Abies pinsapo ,,http://www.gbif.org/species/2685464,Plantae,,,,,,Tracheophyta,,Pinopsida,,,Pinales,Pinaceae,,Abies
Abutilon x hybridum ,,http://www.gbif.org/species/103103085,Plantae,,,,,,Streptophyta,,,,,Malvales,Malvaceae,,Abutilon
Acacia subporosa ,This is asynonym for Acacia supporosa,http://arctos.database.museum/name/Acacia%20supporosa,Plantae,,,,,,,,,,,Fabales,Mimosaceae,,Acacia
Acer capillipes ,,http://www.gbif.org/species/7262936,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Sapindales,Sapindaceae,,Acer
Acer davidii ,,http://www.gbif.org/species/7262943,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Sapindales,Sapindaceae,,Acer
Acer negundo var californicum ,,http://www.gbif.org/species/3768664,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Sapindales,Sapindaceae,,Acer
Acer oblongum ,,http://www.gbif.org/species/7262960,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Sapindales,Sapindaceae,,Acer
Acer paxii ,,http://www.gbif.org/species/118444178,Plantae,,,,,,,,,,,,Sapindaceae,,Acer
Acer saccharum subsp. grandidentatum ,,http://en.hortipedia.com/wiki/Acer_saccharum_subsp._grandidentatum,,,,,Magnoliophyta,Magnoliophytina,,,Rosopsida,Rosidae,Rutanae,Sapindales,,,
Acer saccharum ssp. nigrum 'Green Column' ,This is for Acer saccharum subsp. nigrum as there is not taxonomy info for this variey.,https://selectree.calpoly.edu/tree-detail/acer-saccharum-nigrum,,,,,,,,,,,,,Sapindaceae,,Acer
Acer tataricum subsp. ginnala ,,http://www.gbif.org/species/4925890,Plantae,,,,,,Tracheophyta,,,,,Sapindales,Sapindaceae,,Acer
Acer truncatum ,,http://www.gbif.org/species/7263012,Plantae,,,,,,Tracheophyta,,,,,Sapindales,Sapindaceae,,Acer
Acmena smithii ,Synonym for Syzygium smithii,http://www.gbif.org/species/3184410,Plantae,,,,,,Tracheophyta,,,,,Myrtales,Myrtaceae,,Syzygium
Acrocarpus fraxinifolius ,,http://www.gbif.org/species/5353870,Plantae,,,,,,Tracheophyta,,,,,Fabales,Fabaceae,,Acrocarpus
Agonis flexuosa ,,http://www.gbif.org/species/5419920, Plantae,,,,,, Tracheophyta,,,,,Myrtales,Myrtaceae,,Agonis
Araucaria cunninghamiana ,"Misspelled in data file, should be Araucaria cunninghamii",http://www.gbif.org/species/2684996,Plantae,,,,,,Tracheophyta,,,,,Pinales,Araucariaceae,,Araucaria
Arbutus var. marina ,,https://selectree.calpoly.edu/tree-detail/arbutus-marina,,,,,,,,,,,,,Ericaceae,,
Archontophoenix cunninghamiana ,,http://www.gbif.org/species/2732621,Plantae,,,,,,Tracheophyta,,,,,Arecales,Arecaceae,,Archontophoenix H. Wendl. & Drude
Bahinia variegata ,"Misspelled in data file, should be Bauhinia variegata",http://www.gbif.org/species/2953251,Plantae,,,,,,Tracheophyta,,,,,Fabales,Fabaceae,,Bauhinia
Beaucarnea longifolia ,Synonum of Nolina parviflora,http://www.gbif.org/species/2777048,Plantae,,,,,,Tracheophyta,,,,,Asparagales,Asparagaceae,,Nolina
Beaucarnea stricta ,,http://www.gbif.org/species/2768029,Plantae,,,,,,Tracheophyta,,,,,Asparagales,Asparagaceae,,Beaucarnea
Betula albo-sinensis ,"Misspelled in data file, should be Betula albosinensis",http://www.gbif.org/species/5331592,Plantae,,,,,,Tracheophyta,,,,,Fagales,Betulaceae,,Betula
Betula jacquemontii ,,http://www.gbif.org/species/5332168,Plantae,,,,,,Tracheophyta,,,,,Fagales,Betulaceae,,Betula
Bismarckia nobilis ,,http://www.gbif.org/species/2733941,Plantae,,,,,,Tracheophyta,,,,,Arecales,Arecaceae,,Bismarckia
Brachychiton discolor ,,http://www.gbif.org/species/7426033,Plantae,,,,,,Tracheophyta,,,,,Malvales,Malvaceae,,Brachychiton
Brachychiton populneus ,,http://www.gbif.org/species/7323035,Plantae,,,,,,Tracheophyta,,,,,Malvales,Malvaceae,,Brachychiton
Brachychiton rupestris ,,http://www.gbif.org/species/113631302,Plantae,,,,,,,,,,,Malvales,Malvaceae,,Brachychiton
Brahea armata ,,http://www.gbif.org/species/2736794,Plantae,,,,,,Tracheophyta,,,,,Arecales,Arecaceae,,Brahea
Brahea brandegeei ,,http://www.gbif.org/species/2736835/,Plantae,,,,,,Tracheophyta,,,,,Arecales,Arecaceae,,Brahea
